schema_version	dimension_id	requirement_status	requirement_basis	fixed_release_entries	stateless_signed_frame_grant	stateful_successor_snapshot	decision_effect
gate-admission-pareto-v2	GENERIC_UNAPPROVED_DIRECT_FRAME	LIMIT	D1_D4_D11	FAIL_OR_REQUIRES_COPY_ISOLATION	FAIL_OR_REQUIRES_COPY_ISOLATION	FAIL_OR_REQUIRES_COPY_ISOLATION	DOES_NOT_REPLACE_EXACT_FRAME_REVIEW
gate-admission-pareto-v2	PINNED_BUILD_BYTE_REPRODUCIBILITY	REQUIRED	D7C	PASS_WITH_EXACT_BUILD_AND_TOOLCHAIN_INPUT_CLOSURE	PASS_WITH_EXACT_BUILD_AND_TOOLCHAIN_INPUT_CLOSURE	PASS_WITH_EXACT_BUILD_AND_TOOLCHAIN_INPUT_CLOSURE	CONTENT_ID_EXCLUDES_AUTHORIZATION
gate-admission-pareto-v2	OFFLINE_HERMETIC_BUILD	DESIRABLE	D14_RESEARCH_GOAL	PASS	PASS	PASS_FOR_RELEASE_ONLY_OR_EXPLICIT_ARCHIVED_GRANT_STATE	FAVORS_STATELESS_FOR_GRANT_USES
gate-admission-pareto-v2	HISTORICAL_REPRODUCTION	REQUIRED	D7C	PASS_WITH_ARCHIVED_RELEASE	PASS_WITH_ARCHIVED_RELEASE_AND_GRANTS	PASS_WITH_ARCHIVED_RELEASE_STATE_AND_GRANTS	NO_HARD_SEPARATION
gate-admission-pareto-v2	SAME_POLICY_LOCAL_EXTENSION_GRANT_REVOCATION	NOT_REQUIRED	NO_OWNER_RULING	NOT_APPLICABLE_NO_EXTENSION_GRANTS	FAIL_NEW_AUTH_POLICY_REQUIRED	PASS_AFTER_VALID_SUCCESSOR_OBSERVED	UNIQUE_STATEFUL_BENEFIT
gate-admission-pareto-v2	GLOBAL_FRESHNESS	NOT_REQUIRED	NO_OWNER_RULING	FAIL_WITHOUT_ORACLE	FAIL_WITHOUT_ORACLE	FAIL_WITHOUT_ORACLE	NO_SEPARATION
gate-admission-pareto-v2	EMITTED_BINARY_RECALL	NOT_REQUIRED	NO_OWNER_RULING	FAIL_WITHOUT_DEPLOYMENT_CONTROL	FAIL_WITHOUT_DEPLOYMENT_CONTROL	FAIL_WITHOUT_DEPLOYMENT_CONTROL	NO_SEPARATION
gate-admission-pareto-v2	WITHIN_SCOPE_EXTENSION_GRANT_REPLAY	LIMIT	STATELESS_AUTHENTICATION_BOUNDARY	NOT_APPLICABLE_NO_EXTENSION_GRANTS	VALID_INDEFINITELY_UNDER_EXACT_POLICY_AND_SCOPE	REJECTED_AFTER_OBSERVED_REVOCATION	STATELESS_REPLAY_EXPLICIT
gate-admission-pareto-v2	KEY_COMPROMISE_RECOVERY	REQUIRED	D1A_D14	NEW_RELEASE_TRUST_ROOT_AND_REVIEW	NEW_APPROVAL_POLICY_AND_REVIEW	LOCAL_SUCCESSOR_IF_THRESHOLD_SAFE_ELSE_NEW_POLICY	NO_OLD_SIGNATURE_TRUST_INHERITANCE
gate-admission-pareto-v2	KEY_ROTATION_WITHOUT_SEMANTIC_CHANGE	REQUIRED	IDENTITY_SEPARATION	PASS_NEW_RELEASE_TRUST_POLICY	PASS_NEW_APPROVAL_POLICY_RELEASE	PASS_PROTECTED_SUCCESSOR	SEPARATE_SEMANTICS_FROM_AUTHORIZATION
gate-admission-pareto-v2	KEY_ROTATION_WITHOUT_GRANT_REISSUE	DESIRABLE	PARETO_ACCOUNTING	PASS_RELEASE_ENTRIES_UNCHANGED	PASS_ONLY_WITH_EXACT_REVIEWED_MIGRATION	PASS_WITH_VALID_SUCCESSOR_CHAIN	NO_SELECTION_ALL_SATISFY
gate-admission-pareto-v2	COMPILER_UPDATE_WITHOUT_SEMANTIC_CHURN	REQUIRED	D7C_D14	PASS_SEPARATE_RELEASE_ID	PASS_SEPARATE_RELEASE_ID	PASS_SEPARATE_RELEASE_ID	MANDATORY_IDENTITY_SPLIT
gate-admission-pareto-v2	APPROVAL_CHANGE_PRESERVES_CONTENT_ID	REQUIRED	D7C_D14	PASS_SEPARATE_RECEIPT	PASS_SEPARATE_RECEIPT	PASS_SEPARATE_RECEIPT	MANDATORY_IDENTITY_SPLIT
gate-admission-pareto-v2	AUTH_CHANGE_RECEIPT_REUSE	REQUIRED	D7C_D14	CONTENT_REUSABLE_NEW_RECEIPT_REQUIRED_ON_TOOLCHAIN_RELEASE_CHANGE	CONTENT_REUSABLE_NEW_RECEIPT_REQUIRED_ON_APPROVAL_POLICY_OR_TOOLCHAIN_RELEASE_CHANGE	RELEASE_ONLY_REUSABLE_ACROSS_SNAPSHOT_CHANGE_NEW_RECEIPT_ON_POLICY_OR_RELEVANT_SNAPSHOT_CHANGE	OLD_RECEIPT_NEVER_REUSED_ACROSS_RELEVANT_AUTH_CHANGE
gate-admission-pareto-v2	SEMANTIC_POLICY_MIGRATION_BLAST_RADIUS	COST	D12_PARETO_ACCOUNTING	INVALIDATES_POLICY_BOUND_ENTRIES_PROOFS_AND_CONTENT	INVALIDATES_POLICY_BOUND_ENTRIES_PROOFS_AND_CONTENT	INVALIDATES_POLICY_BOUND_ENTRIES_PROOFS_AND_CONTENT	COMMON_SEMANTIC_CHANGE_COST
gate-admission-pareto-v2	AUTHORIZATION_SUPPLY_CHAIN_EXPOSURE	COST	D12_PARETO_ACCOUNTING	RELEASE_DISTRIBUTION	RELEASE_PLUS_GRANT_SIGNING_AND_DISTRIBUTION	RELEASE_GRANT_SIGNING_AND_STATE_UPDATE_DISTRIBUTION	STATEFUL_HIGHEST
gate-admission-pareto-v2	STAGE_INDEXED_FINAL_BINDING	REQUIRED	D1A_D14	PASS_IF_PENDING_BOUND_ACTIVATED	PASS_IF_PENDING_BOUND_ACTIVATED	PASS_IF_PENDING_BOUND_ACTIVATED	MANDATORY_COMMON_RULE
gate-admission-pareto-v2	DYNAMIC_PROVIDER_POLICY_BINDING	REQUIRED	D4_D14	PASS_IF_ACTUAL_PROVIDER_RECEIPTED	PASS_IF_ACTUAL_PROVIDER_RECEIPTED	PASS_IF_ACTUAL_PROVIDER_RECEIPTED	MANDATORY_COMMON_RULE
gate-admission-pareto-v2	ADMISSION_INVOCATION_SEPARATION	REQUIRED	D1_D14	PASS_WITH_RUNTIME_CAPABILITY_VALUES	PASS_WITH_RUNTIME_CAPABILITY_VALUES	PASS_WITH_RUNTIME_CAPABILITY_VALUES	MANDATORY_COMMON_RULE
gate-admission-pareto-v2	EXTERNAL_FRAME_REPACKAGING_RESISTANCE	REQUIRED	D4_D12_D14	PASS_IF_AUTHORITY_BOUNDED_AND_MINIMAL_CUT_VERIFIED	PASS_IF_AUTHORITY_BOUNDED_AND_MINIMAL_CUT_VERIFIED	PASS_IF_AUTHORITY_BOUNDED_AND_MINIMAL_CUT_VERIFIED	MANDATORY_COMMON_RULE
gate-admission-pareto-v2	NO_ORDINARY_RUNTIME_TAX	REQUIRED	CONSTITUTION_P0_D14	PASS_ZERO_HOT_PATH_AUTH_CHECK	PASS_ZERO_HOT_PATH_AUTH_CHECK	PASS_ZERO_HOT_PATH_AUTH_CHECK	AUTHORIZATION_IS_BUILD_LOAD_TIME
gate-admission-pareto-v2	ADMISSION_AND_LOAD_VERIFICATION_COST	COST	D12_PARETO_ACCOUNTING	CANONICAL_RELEASE_MEMBERSHIP_AND_CONES	SIGNATURE_PLUS_CANONICAL_GRANT_AND_CONES	RELEASE_PATH_FIXED_COST_OR_GRANT_PATH_PLUS_RELEVANT_STATE	STATEFUL_GRANT_PATH_HIGHEST_FIXED_LOWEST
gate-admission-pareto-v2	AUTHORIZATION_VERIFIER_TCB	COST	D12_PARETO_ACCOUNTING	CANONICAL_DECODER_AND_RELEASE_MEMBERSHIP	FIXED_PLUS_SIGNATURE_VERIFICATION	STATELESS_PLUS_STATE_TRANSITION_VERIFICATION	FAVORS_FIXED_OR_STATELESS
gate-admission-pareto-v2	MUTABLE_PROTECTED_AUTH_STATE	COST	D12_PARETO_ACCOUNTING	NONE	NONE	REQUIRED	FAVORS_STATELESS
gate-admission-pareto-v2	ATOMIC_AUTH_STATE_PERSISTENCE	COST	D12_PARETO_ACCOUNTING	NONE	NONE	REQUIRED	FAVORS_STATELESS
gate-admission-pareto-v2	EXTENSION_DISTRIBUTION_BURDEN	COST	D12_PARETO_ACCOUNTING	AUTH_RELEASE	IMMUTABLE_GRANT_INPUT	GRANT_PLUS_CURRENT_STATE_UPDATE	C_FAVORED_IF_EXTENSION_REQUIRED
gate-admission-pareto-v2	SCOPE_CHURN	COST	D12_PARETO_ACCOUNTING	AUTH_RELEASE_FOR_CHANGED_SCOPE	RESIGN_EXACT_PROJECT_SCOPE	RESIGN_AND_PUBLISH_SUCCESSOR	FAVORS_PUBLIC_SCOPE_WHEN_SAFE
gate-admission-pareto-v2	GRANT_REVIEW_AND_ARTIFACT_COST	COST	D0A_D12	REVIEW_PLUS_RELEASE_ARTIFACT	REVIEW_PLUS_GRANT_AND_RECEIPT	REVIEW_PLUS_GRANT_STATE_AND_RECEIPT	STATEFUL_HIGHEST
gate-admission-pareto-v2	BOOTSTRAP_ROOT_INSTALLATION	LIMIT	D1A_D14	TRUST_EXACT_RELEASE_INSTALLATION	TRUST_EXACT_RELEASE_AND_APPROVAL_POLICY	TRUST_RELEASE_POLICY_AND_PROTECTED_STATE	OUTSIDE_IN_LANGUAGE_GATE
gate-admission-pareto-v2	RUST_DELTA	REQUIRED	CONSTITUTION_R0_D3	ONE_PRIVATE_RELEASE_PATH_NO_PUBLIC_UNSAFE	ONE_PRIVATE_SIGNED_FRAME_PATH_NO_PUBLIC_UNSAFE	ONE_PRIVATE_STATEFUL_FRAME_PATH_NO_PUBLIC_UNSAFE	ALL_UNIFY_RUST_MULTIPLE_BACK_DOORS
gate-admission-pareto-v2	PARETO_IF_EXTENSION_REQUIRED	DECISION	OWNER_CHOICE_YES	ELIMINATED_BY_REQUIRED_AUTH_RELEASE	RECOMMENDED	ELIMINATED_BY_UNREQUIRED_STATEFUL_COST	C_IF_OWNER_SAYS_YES
gate-admission-pareto-v2	PARETO_IF_RELEASE_UPDATE_ACCEPTED	DECISION	OWNER_CHOICE_NO	RECOMMENDED	ELIMINATED_BY_EXTRA_EXTENSION_MACHINERY	ELIMINATED_BY_EXTRA_STATEFUL_MACHINERY	F_IF_OWNER_SAYS_NO
