baseline_path,current_path,affected_rules,source_migration,baseline_expectation,current_expectation
research/experiments/container-representation/families/shared-option-view.wf,research/experiments/container-representation/families/shared-option-view.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3;GRAM-2,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds; Rename source identifiers that conflict with the entry former where present,Existing program or snapshot expectation,Unchanged expectation
research/experiments/container-representation/foundation/large-result.wf,research/experiments/container-representation/foundation/large-result.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,Existing program or snapshot expectation,Unchanged expectation
research/experiments/container-representation/lifecycle/linear_failure_run.wf,research/experiments/container-representation/lifecycle/linear_failure_run.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,Existing program or snapshot expectation,Unchanged expectation
research/experiments/container-representation/lifecycle/linear_pop_empty.wf,research/experiments/container-representation/lifecycle/linear_pop_empty.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,Existing program or snapshot expectation,Unchanged expectation
research/experiments/container-representation/lifecycle/pool_boundary_capacity.wf,research/experiments/container-representation/lifecycle/pool_boundary_capacity.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,Existing program or snapshot expectation,Unchanged expectation
research/experiments/container-representation/lifecycle/pool_boxed_capacity.wf,research/experiments/container-representation/lifecycle/pool_boxed_capacity.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,Existing program or snapshot expectation,Unchanged expectation
research/experiments/container-representation/lifecycle/pool_boxed_helper.wf,research/experiments/container-representation/lifecycle/pool_boxed_helper.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,Existing program or snapshot expectation,Unchanged expectation
research/experiments/container-representation/lifecycle/pool_conservation.wf,research/experiments/container-representation/lifecycle/pool_conservation.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,Existing program or snapshot expectation,Unchanged expectation
research/experiments/container-representation/lifecycle/pool_false_conservation.wf,research/experiments/container-representation/lifecycle/pool_false_conservation.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,Existing program or snapshot expectation,Unchanged expectation
research/experiments/container-representation/lifecycle/pool_helpers.wf,research/experiments/container-representation/lifecycle/pool_helpers.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,Existing program or snapshot expectation,Unchanged expectation
research/experiments/container-representation/lifecycle/pool_known_capacity.wf,research/experiments/container-representation/lifecycle/pool_known_capacity.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,Existing program or snapshot expectation,Unchanged expectation
research/experiments/container-representation/lifecycle/pool_static_capacity.wf,research/experiments/container-representation/lifecycle/pool_static_capacity.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,Existing program or snapshot expectation,Unchanged expectation
research/experiments/container-representation/lifecycle/ring_helpers.wf,research/experiments/container-representation/lifecycle/ring_helpers.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,Existing program or snapshot expectation,Unchanged expectation
tests/conformance/cases/accept-par3-staged-denied-carried-scratch-byte.wf,tests/conformance/cases/accept-par3-staged-denied-carried-scratch-byte.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""accept""}","{""kind"":""accept""}"
tests/conformance/cases/accept-par3-staged-denied-exit-in-remainder.wf,tests/conformance/cases/accept-par3-staged-denied-exit-in-remainder.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""accept""}","{""kind"":""accept""}"
tests/conformance/cases/accept-par3-staged-denied-hoisted-scratch.wf,tests/conformance/cases/accept-par3-staged-denied-hoisted-scratch.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""accept""}","{""kind"":""accept""}"
tests/conformance/cases/accept-par3-staged-denied-opaque-cursor.wf,tests/conformance/cases/accept-par3-staged-denied-opaque-cursor.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""accept""}","{""kind"":""accept""}"
tests/conformance/cases/accept-par3-staged-denied-read-before-write.wf,tests/conformance/cases/accept-par3-staged-denied-read-before-write.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""accept""}","{""kind"":""accept""}"
tests/conformance/cases/accept-par3-staged-iteration-own-scratch.wf,tests/conformance/cases/accept-par3-staged-iteration-own-scratch.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""accept""}","{""kind"":""accept""}"
tests/conformance/cases/accept-par3-staged-loop-with-prologue-break.wf,tests/conformance/cases/accept-par3-staged-loop-with-prologue-break.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""accept""}","{""kind"":""accept""}"
tests/conformance/cases/blk0-neg-a-row-does-not-discharge-its-caller-s-obligations.wf,tests/conformance/cases/blk0-neg-a-row-does-not-discharge-its-caller-s-obligations.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""reject"",""rule"":""OP-4""}","{""kind"":""reject"",""rule"":""OP-4""}"
tests/conformance/cases/blk0-neg-a-row-requirement-is-not-discharged.wf,tests/conformance/cases/blk0-neg-a-row-requirement-is-not-discharged.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""reject"",""rule"":""BLK-0""}","{""kind"":""reject"",""rule"":""BLK-0""}"
tests/conformance/cases/blk0-neg-a-view-over-a-wrapped-run.wf,tests/conformance/cases/blk0-neg-a-view-over-a-wrapped-run.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""reject"",""rule"":""BLK-0""}","{""kind"":""reject"",""rule"":""BLK-0""}"
tests/conformance/cases/blk0-neg-a-written-argument-the-row-does-not-declare.wf,tests/conformance/cases/blk0-neg-a-written-argument-the-row-does-not-declare.wf,BLK-3;BLK-4;MSR-3;CALL-6,Adapt the surrounding helper/borrow scope to exclusive run mutation; preserve its behavioral assertion,"{""kind"":""reject"",""rule"":""BLK-0""}","{""kind"":""reject"",""rule"":""BLK-0""}"
tests/conformance/cases/blk0-neg-full-array-freeze-requires-fullness.wf,tests/conformance/cases/blk0-neg-full-array-freeze-requires-fullness.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""reject"",""rule"":""BLK-0""}","{""kind"":""reject"",""rule"":""BLK-0""}"
tests/conformance/cases/blk0-neg-the-refusing-formation-row-discharges-nothing-either.wf,tests/conformance/cases/blk0-neg-the-refusing-formation-row-discharges-nothing-either.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""reject"",""rule"":""OP-4""}","{""kind"":""reject"",""rule"":""OP-4""}"
tests/conformance/cases/blk0-pos-a-routed-row-publishes-its-payload-on-the-some-arm.wf,tests/conformance/cases/blk0-pos-a-routed-row-publishes-its-payload-on-the-some-arm.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""run"",""exit"":0}","{""kind"":""run"",""exit"":0}"
tests/conformance/cases/blk1-pos-a-run-element-is-a-run.wf,tests/conformance/cases/blk1-pos-a-run-element-is-a-run.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""run"",""exit"":0}","{""kind"":""run"",""exit"":0}"
tests/conformance/cases/blk1-pos-a-run-element-type-is-a-type-parameter.wf,tests/conformance/cases/blk1-pos-a-run-element-type-is-a-type-parameter.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""run"",""exit"":0}","{""kind"":""run"",""exit"":0}"
tests/conformance/cases/blk1-pos-a-store-backed-run-is-a-run-element.wf,tests/conformance/cases/blk1-pos-a-store-backed-run-is-a-run-element.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""run"",""exit"":0}","{""kind"":""run"",""exit"":0}"
tests/conformance/cases/blk1-pos-a-wrapped-window-subscripts-against-len.wf,tests/conformance/cases/blk1-pos-a-wrapped-window-subscripts-against-len.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""run"",""exit"":0}","{""kind"":""run"",""exit"":0}"
tests/conformance/cases/blk3-pos-a-boundary-row-moves-the-back-boundary.wf,tests/conformance/cases/blk3-pos-a-boundary-row-moves-the-back-boundary.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""accept""}","{""kind"":""accept""}"
tests/conformance/cases/blk3-pos-a-deque-moves-both-boundaries.wf,tests/conformance/cases/blk3-pos-a-deque-moves-both-boundaries.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""run"",""exit"":0}","{""kind"":""run"",""exit"":0}"
tests/conformance/cases/blk3-pos-a-queue-preserves-its-order.wf,tests/conformance/cases/blk3-pos-a-queue-preserves-its-order.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""run"",""exit"":0}","{""kind"":""run"",""exit"":0}"
tests/conformance/cases/blk3-pos-full-array-owning-round-trip.wf,tests/conformance/cases/blk3-pos-full-array-owning-round-trip.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""run"",""exit"":0}","{""kind"":""run"",""exit"":0}"
tests/conformance/cases/blk4-neg-a-unique-parameter-reaches-a-run-through-a-field.wf,tests/conformance/cases/blk4-pos-a-unique-parameter-reaches-a-run-through-a-field.wf,BLK-4,Replace the former refusal witness with an admitted exclusive contract/parameter witness,"{""kind"":""reject"",""rule"":""BLK-4""}","{""kind"":""run"",""exit"":0}"
tests/conformance/cases/blk4-neg-a-unique-parameter-reaches-a-run.wf,tests/conformance/cases/blk4-pos-a-unique-parameter-reaches-a-run.wf,BLK-4,Replace the former refusal witness with an admitted exclusive contract/parameter witness,"{""kind"":""reject"",""rule"":""BLK-4""}","{""kind"":""run"",""exit"":0}"
tests/conformance/cases/blk4-neg-a-unique-parameter-reaches-a-type-parameter.wf,tests/conformance/cases/blk4-pos-a-unique-parameter-reaches-a-type-parameter.wf,BLK-4,Replace the former refusal witness with an admitted exclusive contract/parameter witness,"{""kind"":""reject"",""rule"":""BLK-4""}","{""kind"":""run"",""exit"":0}"
tests/conformance/cases/blk4-pos-a-provider-is-the-one-unique-parameter-admitted.wf,tests/conformance/cases/blk4-pos-an-exclusive-provider-parameter-preserves-store-identity.wf,BLK-4,Retain provider behavior and remove the obsolete exception label,"{""kind"":""run"",""exit"":0}","{""kind"":""run"",""exit"":0}"
tests/conformance/cases/blk4-pos-a-reference-holder-over-a-store-resident-run.wf,tests/conformance/cases/blk4-pos-a-reference-holder-over-a-store-resident-run.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""run"",""exit"":0}","{""kind"":""run"",""exit"":0}"
tests/conformance/cases/blk4-pos-a-run-reached-through-a-shared-borrow-of-a-nominal.wf,tests/conformance/cases/blk4-pos-a-run-reached-through-a-shared-borrow-of-a-nominal.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""run"",""exit"":0}","{""kind"":""run"",""exit"":0}"
tests/conformance/cases/blk4-pos-a-shared-borrow-of-a-run-parameter.wf,tests/conformance/cases/blk4-pos-a-shared-borrow-of-a-run-parameter.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""run"",""exit"":0}","{""kind"":""run"",""exit"":0}"
tests/conformance/cases/call1-pos-a-shared-borrow-keeps-every-fact.wf,tests/conformance/cases/call1-pos-a-shared-borrow-keeps-every-fact.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""run"",""exit"":0}","{""kind"":""run"",""exit"":0}"
tests/conformance/cases/call2-neg-a-result-carries-only-the-contract.wf,tests/conformance/cases/call2-neg-a-result-carries-only-the-contract.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""reject"",""rule"":""OP-4""}","{""kind"":""reject"",""rule"":""OP-4""}"
tests/conformance/cases/call2-pos-a-copy-actual-at-an-own-parameter-is-not-a-consume.wf,tests/conformance/cases/call2-pos-a-copy-actual-at-an-own-parameter-is-not-a-consume.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""run"",""exit"":0}","{""kind"":""run"",""exit"":0}"
tests/conformance/cases/call2-pos-an-own-operand-measure-reaches-the-result.wf,tests/conformance/cases/call2-pos-an-own-operand-measure-reaches-the-result.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""run"",""exit"":0}","{""kind"":""run"",""exit"":0}"
tests/conformance/cases/call3-pos-a-fill-through-an-exclusive-view-keeps-both-lengths.wf,tests/conformance/cases/call3-pos-a-fill-through-an-exclusive-view-keeps-both-lengths.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""run"",""exit"":0}","{""kind"":""run"",""exit"":0}"
tests/conformance/cases/call4-neg-measured-result-not-admitted.wf,tests/conformance/cases/call4-neg-measured-result-not-admitted.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""reject"",""rule"":""FN-9""}","{""kind"":""reject"",""rule"":""FN-9""}"
tests/conformance/cases/call4-pos-omitted-route-binder-with-one-enum-ordinal.wf,tests/conformance/cases/call4-pos-omitted-route-binder-with-one-enum-ordinal.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""run"",""exit"":0}","{""kind"":""run"",""exit"":0}"
tests/conformance/cases/call4-pos-route-names-a-result-ordinal.wf,tests/conformance/cases/call4-pos-route-names-a-result-ordinal.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""run"",""exit"":0}","{""kind"":""run"",""exit"":0}"
tests/conformance/cases/call6-neg-contradictory-published-relations.wf,tests/conformance/cases/call6-neg-contradictory-published-relations.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""reject"",""rule"":""CALL-6""}","{""kind"":""reject"",""rule"":""CALL-6""}"
tests/conformance/cases/call6-pos-a-row-relation-establishes-at-a-caller.wf,tests/conformance/cases/call6-pos-a-row-relation-establishes-at-a-caller.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""accept""}","{""kind"":""accept""}"
tests/conformance/cases/call6-pos-routed-relation-over-a-call-datum.wf,tests/conformance/cases/call6-pos-routed-relation-over-a-call-datum.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""run"",""exit"":0}","{""kind"":""run"",""exit"":0}"
tests/conformance/cases/const1-pos-forwarded-arithmetic.wf,tests/conformance/cases/const1-pos-forwarded-arithmetic.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""run"",""exit"":0}","{""kind"":""run"",""exit"":0}"
tests/conformance/cases/ent1-neg-instantiation-judged-at-value.wf,tests/conformance/cases/ent1-neg-instantiation-judged-at-value.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""reject"",""rule"":""OP-4""}","{""kind"":""reject"",""rule"":""OP-4""}"
tests/conformance/cases/ent1-pos-instantiation-judged-at-value.wf,tests/conformance/cases/ent1-pos-instantiation-judged-at-value.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""run"",""exit"":0}","{""kind"":""run"",""exit"":0}"
tests/conformance/cases/ent2-pos-a-run-capacity-survives-a-root-replace.wf,tests/conformance/cases/ent2-pos-a-run-capacity-survives-a-root-replace.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""run"",""exit"":0}","{""kind"":""run"",""exit"":0}"
tests/conformance/cases/ent3-pos-band-check-decomposition.wf,tests/conformance/cases/ent3-pos-band-check-decomposition.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""run"",""exit"":0}","{""kind"":""run"",""exit"":0}"
tests/conformance/cases/ent3-pos-bor-guard-decomposition.wf,tests/conformance/cases/ent3-pos-bor-guard-decomposition.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""run"",""exit"":0}","{""kind"":""run"",""exit"":0}"
tests/conformance/cases/ent3-pos-s6-allocation-length-fact.wf,tests/conformance/cases/ent3-pos-s6-allocation-length-fact.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""accept""}","{""kind"":""accept""}"
tests/conformance/cases/ent5-pos-element-write-preserves-length.wf,tests/conformance/cases/ent5-pos-element-write-preserves-length.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""accept""}","{""kind"":""accept""}"
tests/conformance/cases/fn1-pos-returned-slice-inputs-run.wf,tests/conformance/cases/fn1-pos-returned-slice-inputs-run.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""run"",""exit"":0}","{""kind"":""run"",""exit"":0}"
tests/conformance/cases/fn2-pos-a-const-parameter-beside-a-region-parameter.wf,tests/conformance/cases/fn2-pos-a-const-parameter-beside-a-region-parameter.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3;GRAM-2,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds; Rename source identifiers that conflict with the entry former where present,"{""kind"":""run"",""exit"":0}","{""kind"":""run"",""exit"":0}"
tests/conformance/cases/fn6-pos-a-generic-cycle-at-the-callers-own-parameters.wf,tests/conformance/cases/fn6-pos-a-generic-cycle-at-the-callers-own-parameters.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""run"",""exit"":0}","{""kind"":""run"",""exit"":0}"
tests/conformance/cases/fn7-pos-the-entry-receives-the-general-store.wf,tests/conformance/cases/fn7-pos-the-entry-receives-the-general-store.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3;GRAM-2,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds; Rename source identifiers that conflict with the entry former where present,"{""kind"":""run"",""exit"":16}","{""kind"":""run"",""exit"":16}"
tests/conformance/cases/fn8-neg-external-actual-without-fact.wf,tests/conformance/cases/fn8-neg-external-actual-without-fact.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""reject"",""rule"":""FN-8""}","{""kind"":""reject"",""rule"":""FN-8""}"
tests/conformance/cases/fn8-pos-external-actual-after-branch.wf,tests/conformance/cases/fn8-pos-external-actual-after-branch.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""run"",""exit"":0}","{""kind"":""run"",""exit"":0}"
tests/conformance/cases/fn8-pos-requires-affine-row.wf,tests/conformance/cases/fn8-pos-requires-affine-row.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""run"",""exit"":0}","{""kind"":""run"",""exit"":0}"
tests/conformance/cases/fn9-pos-a-measure-reader-in-return-position-over-a-run.wf,tests/conformance/cases/fn9-pos-a-measure-reader-in-return-position-over-a-run.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""run"",""exit"":0}","{""kind"":""run"",""exit"":0}"
tests/conformance/cases/form3-pos-index-ordinary-ident.wf,tests/conformance/cases/form3-pos-index-ordinary-ident.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""accept""}","{""kind"":""accept""}"
tests/conformance/cases/form8-pos-a-run-element-region-is-determined-by-the-actual.wf,tests/conformance/cases/form8-pos-a-run-element-region-is-determined-by-the-actual.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,"{""kind"":""run"",""exit"":0}","{""kind"":""run"",""exit"":0}"
