member_contract_id	contract_statuses	e01_relation_class	e01_input_ids	exact_contract_present_in_e01	new_mandatory_operation_absent_from_e01	exact_reason	status
DENSE-COPY-WITHIN	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-02,E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-DEDUP	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-DEDUP-BY	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-DEDUP-BY-KEY	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-DEFAULT	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-DROP	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-EAGER-EXTRACT	CONDITIONAL_ON_UNRESOLVED_THREE_WAY_OD-4	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-EAGER-SPLICE	BLOCKED_UNKNOWN_LENGTH_RECOVERY_AND_CONDITIONAL_ON_UNRESOLVED_THREE_WAY_OD-4,CONDITIONAL_ON_UNRESOLVED_THREE_WAY_OD-4	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-EXTEND-CLONE	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-08,E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-EXTEND-ITER	BLOCKED_UNTIL_UNKNOWN_LENGTH_RECOVERY_RULE_IS_OWNER_APPROVED,REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-EXTEND-WITHIN	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-08,E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-FILL-CLONE	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-08,E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-FILL-WITH	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-07,E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-FIXED-EACH	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-06,E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-FIXED-MAP	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-06,E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-FIXED-VIEW	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-06,E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-FRESH-CLONE	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-08,E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-HASH-TRAVERSAL	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-INDEX-SHARED	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-INDEX-UNIQ	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-INIT-AUTHORITY-EVIDENCE	EXCLUDED_BLOCKS_NAMED_CLAIM	RAW_OR_INITIALIZATION_AUTHORITY_EVIDENCE	E01-DISP-03,E01-DISP-10	NO	NO	This all-excluded member records a raw, unchecked, alignment, initialization-authority, length-authority, or box evidence route; it remains rejection evidence rather than a mandatory operation.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-INIT-CLONE	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-08,E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-INIT-COPY	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-02,E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-INSERT	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-INSERT-UNIQ	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-INTO-BOXED	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-INTO-FLATTENED	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-INTO-OWNER	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-ITER-OWN	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-ITER-SHARED	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-ITER-UNIQ	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-JOIN	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-08,E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-LAZY-DRAIN-EVIDENCE	EXCLUDED_BLOCKS_NAMED_CLAIM	LAZY_LIFECYCLE_EVIDENCE_NOT_PROMOTED	E01-DISP-09	NO	NO	This all-excluded lazy lifecycle member is OD-4 evidence. It is not raw-state evidence and is not a promoted mandatory operation.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-LAZY-EXTRACT-EVIDENCE	EXCLUDED_BLOCKS_NAMED_CLAIM	LAZY_LIFECYCLE_EVIDENCE_NOT_PROMOTED	E01-DISP-09	NO	NO	This all-excluded lazy lifecycle member is OD-4 evidence. It is not raw-state evidence and is not a promoted mandatory operation.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-LAZY-SPLICE-EVIDENCE	EXCLUDED_BLOCKS_NAMED_CLAIM	LAZY_LIFECYCLE_EVIDENCE_NOT_PROMOTED	E01-DISP-09	NO	NO	This all-excluded lazy lifecycle member is OD-4 evidence. It is not raw-state evidence and is not a promoted mandatory operation.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-LEN-AUTHORITY-EVIDENCE	EXCLUDED_BLOCKS_NAMED_CLAIM	RAW_OR_INITIALIZATION_AUTHORITY_EVIDENCE	E01-DISP-10	NO	NO	This all-excluded member records a raw, unchecked, alignment, initialization-authority, length-authority, or box evidence route; it remains rejection evidence rather than a mandatory operation.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-META	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-NEW	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-OWNER-VIEW	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-POP	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-POP-IF	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-PUSH	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-03,E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-PUSH-UNIQ	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-RAW-SPARE-REJECTED	EXCLUDED_BLOCKS_NAMED_CLAIM	RAW_OR_INITIALIZATION_AUTHORITY_EVIDENCE	E01-DISP-10	NO	NO	This all-excluded member records a raw, unchecked, alignment, initialization-authority, length-authority, or box evidence route; it remains rejection evidence rather than a mandatory operation.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-REMOVE	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-REPEAT	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-07,E01-DISP-08,E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-REPLACE	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-RESERVE	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-RESERVE-EXACT	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-RESIZE-CLONE	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-08,E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-RESIZE-WITH	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-07,E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-RETAIN	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-RETAIN-MUT	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-REVERSE	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-ROTATE	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-SELECT-UNSTABLE	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-SHRINK-TO	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-SHRINK-TO-FIT	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-SORT-STABLE	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-SORT-STABLE-CACHED-KEY	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-SORT-UNSTABLE	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-SPLIT-OFF	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-SWAP	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-SWAP-REMOVE	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-SWAP-WITH-VIEW	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-TAKE-WITH-DEFAULT	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-TRUNCATE	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-TRY-RESERVE	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-TRY-RESERVE-EXACT	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-UNCHECKED-ACCESS-EVIDENCE	EXCLUDED_BLOCKS_NAMED_CLAIM	RAW_OR_INITIALIZATION_AUTHORITY_EVIDENCE	E01-DISP-10	NO	NO	This all-excluded member records a raw, unchecked, alignment, initialization-authority, length-authority, or box evidence route; it remains rejection evidence rather than a mandatory operation.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-VIEW-ARRAY-CHUNKS	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
