contract_id	capability_ids	current_route	status_code	ordinary_library_derivation_sketch	ownership_exit_drop_argument	asymptotic_argument	structural_costs_and_pathology	fact_channels_and_invalidators	negative_canaries	family_lock_or_deferral	evidence_refs
TEXT-ESCAPE-01	ST-REFINE,BR-PROV,BR-RESULT,BR-CURSOR,IT-SHARED,FT-REFINE	Current capability gap: X.	X	An ordinary no-unsafe library needs checked refinement sealing, owner-tied borrow provenance, result-borrow provenance, owner-bound cursor state, shared traversal, refinement-fact integrity to produce Iterator producing deterministic escaped text; the exact public route remains unresolved until the named lock.	No payload owner transfers. Input: Shared borrow. Success: Iterator producing deterministic escaped text. Failure/exit: Abandonment releases borrow. Returned borrows remain tied to the source, and the operation drops no payload.	Required bound: O(output length). A stronger-cost simulation does not cover this contract.	Preserve: Unicode scalar order retained with deterministic expansion. Account allocations, initialized bytes, moved bytes, metadata, checks, branches, code size; reject unchecked privilege or a stronger-cost simulation.	refinement facts arise only from validation/preserving edits and invalidate on non-preserving mutation; provenance facts remain tied to the source owner and expire on incompatible mutation or owner death. Facts-off retains checks and identical semantics.	reject invalid refinement or a non-boundary refined access.	Unresolved: text/refinement, access/reborrow, iteration Family Lock A/prerequisite must freeze exact semantics, costs, canaries, and evidence.	RUST-1.97.0-API-INVENTORY.tsv item_path=std::str members=escape_debug,escape_default,escape_unicode; RUST-DATA-CONTRACT-CENSUS.tsv:TEXT-ESCAPE-01; CAPABILITY-OBLIGATION-REGISTRY.tsv:ST-REFINE,BR-PROV,BR-RESULT,BR-CURSOR,IT-SHARED,FT-REFINE
TEXT-PARSE-01	ST-REFINE,EX-ABORT,BR-PROV,FL-CALLBACK,AB-BEHAVIOR,FT-REFINE	Current capability gap: X; complete callable static-member path and text type absent.	X	An ordinary no-unsafe library needs checked refinement sealing, memory-safe abort edges, owner-tied borrow provenance, invoked-behavior containment, static behavior dispatch, refinement-fact integrity to produce Result<F,F::Err>; the exact public route remains unresolved until the named lock.	No payload owner transfers. Input: Shared borrow; target type behavior selected statically. Success: Result<F,F::Err>. Rust failure evidence: Target-defined recoverable failure; no partial output escapes. Returned borrows remain tied to the source, and the operation drops no payload. Under xlang [EFF-4], an invoked-behavior trap aborts immediately: no post-state or cleanup is promised, but no invalid read or other undefined behavior may occur before abort. Normal behavior Result/error and early-return paths retain the stated owner-validity and exact-drop duties.	Required bound: Target-defined, at least O(input) commonly. A stronger-cost simulation does not cover this contract.	Preserve: No source layout guarantee for result. Account allocations, initialized bytes, moved bytes, metadata, checks, branches, code size; reject unchecked privilege or a stronger-cost simulation.	refinement facts arise only from validation/preserving edits and invalidate on non-preserving mutation; provenance facts remain tied to the source owner and expire on incompatible mutation or owner death. Facts-off retains checks and identical semantics.	reject invalid refinement or a non-boundary refined access; trap/fail the invoked behavior at every call index without corrupting state.	Unresolved: text/refinement, access/reborrow, behavior Family Lock A/prerequisite must freeze exact semantics, costs, canaries, and evidence.	RUST-1.97.0-API-INVENTORY.tsv item_path=std::str member=parse; RUST-DATA-CONTRACT-CENSUS.tsv:TEXT-PARSE-01; spec/kernel-spec-v0.6.md [EFF-4]; CAPABILITY-OBLIGATION-REGISTRY.tsv:ST-REFINE,EX-ABORT,BR-PROV,FL-CALLBACK,AB-BEHAVIOR,FT-REFINE
TEXT-ASCII-01	ST-DENSE,ST-REFINE,OW-INIT,OW-DROP,EX-NORMAL,BR-PROV,FL-CAPACITY,FL-ALLOC,FT-REFINE,NT-FIXED	Current capability gap: X as text contract; byte-only in-place equivalent is E.	X	An ordinary no-unsafe library needs checked refinement sealing, owner-tied borrow provenance, refinement-fact integrity, dense live-prefix state, single-owner initialization, exact live-value destruction, validity on every normal exit, checked capacity arithmetic, explicit allocation-failure policy, fixed-buffer no-tax protection to produce Predicate, in-place validity-preserving edit, or new owned text; the exact public route remains unresolved until the named lock.	No payload owner transfers. Input: Shared or unique borrow; allocation for to_* variants. Success: Predicate, in-place validity-preserving edit, or new owned text. Failure/exit: Allocating forms may fail/OOM; in-place forms total. Returned borrows remain tied to the source, and the operation drops no payload.	Required bound: O(n). A stronger-cost simulation does not cover this contract.	Preserve: Length/order retained in place; allocating result contiguous. Account allocations, initialized bytes, moved bytes, metadata, checks, branches, code size; reject unchecked privilege or a stronger-cost simulation.	refinement facts arise only from validation/preserving edits and invalidate on non-preserving mutation; provenance facts remain tied to the source owner and expire on incompatible mutation or owner death. Facts-off retains checks and identical semantics.	reject invalid refinement or a non-boundary refined access; verify exact live-value drops and zero dead-slot drops; inject allocation/capacity failure only at the contract's allocating points.	Unresolved: text/refinement, access/reborrow, failure-policy Family Lock A/prerequisite must freeze exact semantics, costs, canaries, and evidence.	RUST-1.97.0-API-INVENTORY.tsv item_path=std::str members=is_ascii,eq_ignore_ascii_case,make_ascii_lowercase,make_ascii_uppercase,to_ascii_lowercase,to_ascii_uppercase; RUST-DATA-CONTRACT-CENSUS.tsv:TEXT-ASCII-01; CAPABILITY-OBLIGATION-REGISTRY.tsv:ST-DENSE,ST-REFINE,OW-INIT,OW-DROP,EX-NORMAL,BR-PROV,FL-CAPACITY,FL-ALLOC,FT-REFINE,NT-FIXED
TEXT-UNICASE-01	ST-DENSE,ST-REFINE,OW-INIT,OW-DROP,EX-NORMAL,FL-CAPACITY,FL-ALLOC,FT-REFINE,NT-FIXED	Scoped later-domain route: X.	DEFERRED	No G0 derivation is claimed; a separately authorized domain must expose checked dense live-prefix state, refinement sealing, single-owner initialization, exact live-value destruction, validity on every normal exit, checked capacity arithmetic, explicit allocation-failure policy, refinement-fact integrity, fixed-buffer no-tax protection to produce New owned valid UTF-8 text with Unicode case mapping, and selection remains unresolved there.	Input: Shared borrow. Success: New owned valid UTF-8 text with Unicode case mapping. Failure/abandonment: Allocation failure/OOM; expansion and partial-output cleanup. Every moved value reaches one owner; only live values are dropped, dead/moved locations are skipped, and each reachable owner is valid on normal exit.	Required bound: O(input plus output). A stronger-cost simulation does not cover this contract.	Preserve: Scalar order preserved but output length may expand. Account allocations, initialized bytes, moved bytes, metadata, checks, branches, code size; reject dummy spare T values or per-slot dense tags; equating aborting OOM with recoverable allocation.	refinement facts arise only from validation/preserving edits and invalidate on non-preserving mutation. Facts-off retains checks and identical semantics.	reject invalid refinement or a non-boundary refined access; verify exact live-value drops and zero dead-slot drops; inject allocation/capacity failure only at the contract's allocating points.	Complete-Unicode scoped deferral; byte/UTF-8 closure does not cover it.	RUST-1.97.0-API-INVENTORY.tsv item_path=std::str members=to_lowercase,to_uppercase; RUST-DATA-CONTRACT-CENSUS.tsv:TEXT-UNICASE-01; CAPABILITY-OBLIGATION-REGISTRY.tsv:ST-DENSE,ST-REFINE,OW-INIT,OW-DROP,EX-NORMAL,FL-CAPACITY,FL-ALLOC,FT-REFINE,NT-FIXED
TEXT-REPLACE-01	ST-DENSE,ST-REFINE,OW-INIT,OW-CLONE,OW-DROP,EX-NORMAL,EX-ABORT,FL-CAPACITY,FL-ALLOC,FL-ATOMIC,FL-CALLBACK,AB-BEHAVIOR,FT-REFINE,NT-FIXED	Current capability gap: X.	X	An ordinary no-unsafe library needs checked dense live-prefix state, refinement sealing, single-owner initialization, explicit cloning, exact live-value destruction, validity on every normal exit, checked capacity arithmetic, explicit allocation-failure policy, recoverable failure atomicity, refinement-fact integrity, fixed-buffer no-tax protection, memory-safe abort edges, invoked-behavior containment, static behavior dispatch to produce New valid text with selected matches replaced; the exact public route remains unresolved until the named lock.	Input: Shared borrows plus pattern state. Success: New valid text with selected matches replaced. Rust failure evidence: Checked output sizing, allocation failure/OOM, and partial-output cleanup. Every moved value reaches one owner; only live values are dropped, dead/moved locations are skipped, and each reachable owner is valid on normal exit. Under xlang [EFF-4], an invoked-behavior trap aborts immediately: no post-state or cleanup is promised, but no invalid read or other undefined behavior may occur before abort. Normal behavior Result/error and early-return paths retain the stated owner-validity and exact-drop duties.	Required bound: Pattern-dependent plus O(output). A stronger-cost simulation does not cover this contract.	Preserve: Source order and replacement limit observable. Account allocations, initialized bytes, moved bytes, metadata, checks, branches, code size; reject dummy spare T values or per-slot dense tags; hidden Copy/Clone; equating aborting OOM with recoverable allocation.	refinement facts arise only from validation/preserving edits and invalidate on non-preserving mutation. Facts-off retains checks and identical semantics.	reject invalid refinement or a non-boundary refined access; verify exact live-value drops and zero dead-slot drops; inject allocation/capacity failure only at the contract's allocating points; trap/fail the invoked behavior at every call index without corrupting state.	Unresolved: dense, text/refinement, failure-policy, ownership-transition Family Lock A/prerequisite must freeze exact semantics, costs, canaries, and evidence.	RUST-1.97.0-API-INVENTORY.tsv item_path=std::str members=replace,replacen; RUST-DATA-CONTRACT-CENSUS.tsv:TEXT-REPLACE-01; spec/kernel-spec-v0.6.md [EFF-4]; CAPABILITY-OBLIGATION-REGISTRY.tsv:ST-DENSE,ST-REFINE,OW-INIT,OW-CLONE,OW-DROP,EX-NORMAL,EX-ABORT,FL-CAPACITY,FL-ALLOC,FL-ATOMIC,FL-CALLBACK,AB-BEHAVIOR,FT-REFINE,NT-FIXED
TEXT-REPEAT-01	ST-DENSE,ST-REFINE,OW-INIT,OW-CLONE,OW-DROP,EX-NORMAL,FL-CAPACITY,FL-ALLOC,FL-ATOMIC,FT-REFINE,NT-FIXED	Current capability gap: X.	X	An ordinary no-unsafe library needs checked dense live-prefix state, refinement sealing, single-owner initialization, explicit cloning, exact live-value destruction, validity on every normal exit, checked capacity arithmetic, explicit allocation-failure policy, recoverable failure atomicity, refinement-fact integrity, fixed-buffer no-tax protection to produce New valid text containing n copies; the exact public route remains unresolved until the named lock.	Input: Shared borrow. Success: New valid text containing n copies. Failure/abandonment: Checked multiplication overflow and allocation failure/OOM. Every moved value reaches one owner; only live values are dropped, dead/moved locations are skipped, and each reachable owner is valid on normal exit.	Required bound: O(n*len). A stronger-cost simulation does not cover this contract.	Preserve: Contiguous repeated byte order. Account allocations, initialized bytes, moved bytes, metadata, checks, branches, code size; reject dummy spare T values or per-slot dense tags; hidden Copy/Clone; equating aborting OOM with recoverable allocation.	refinement facts arise only from validation/preserving edits and invalidate on non-preserving mutation. Facts-off retains checks and identical semantics.	reject invalid refinement or a non-boundary refined access; verify exact live-value drops and zero dead-slot drops; inject allocation/capacity failure only at the contract's allocating points.	Unresolved: dense, text/refinement, failure-policy, ownership-transition Family Lock A/prerequisite must freeze exact semantics, costs, canaries, and evidence.	RUST-1.97.0-API-INVENTORY.tsv item_path=std::str member=repeat; RUST-DATA-CONTRACT-CENSUS.tsv:TEXT-REPEAT-01; CAPABILITY-OBLIGATION-REGISTRY.tsv:ST-DENSE,ST-REFINE,OW-INIT,OW-CLONE,OW-DROP,EX-NORMAL,FL-CAPACITY,FL-ALLOC,FL-ATOMIC,FT-REFINE,NT-FIXED
TEXT-BOX-CONVERT-01	ST-REFINE,OW-MOVEOUT,OW-RELOCATE,OW-DROP,EX-NORMAL,FT-REFINE	Current capability gap: X.	X	An ordinary no-unsafe library needs checked refinement sealing, atomic affine move-out, ownership-preserving relocation, exact live-value destruction, validity on every normal exit, refinement-fact integrity to produce Owned bytes box or growable String preserving bytes; the exact public route remains unresolved until the named lock.	Input: Consumes text owner. Success: Owned bytes box or growable String preserving bytes. Failure/abandonment: No semantic failure; representation may be reused. Every moved value reaches one owner; only live values are dropped, dead/moved locations are skipped, and each reachable owner is valid on normal exit.	Required bound: O(1) when allocation reused. A stronger-cost simulation does not cover this contract.	Preserve: Contiguous bytes retained; ownership representation changes. Account allocations, initialized bytes, moved bytes, metadata, checks, branches, code size; reject equating aborting OOM with recoverable allocation.	refinement facts arise only from validation/preserving edits and invalidate on non-preserving mutation. Facts-off retains checks and identical semantics.	reject invalid refinement or a non-boundary refined access; detect moved-from read, lost owner, and double ownership; verify exact live-value drops and zero dead-slot drops.	Unresolved: text/refinement, ownership-transition Family Lock A/prerequisite must freeze exact semantics, costs, canaries, and evidence.	RUST-1.97.0-API-INVENTORY.tsv item_path=std::str members=into_boxed_bytes,into_string; RUST-DATA-CONTRACT-CENSUS.tsv:TEXT-BOX-CONVERT-01; CAPABILITY-OBLIGATION-REGISTRY.tsv:ST-REFINE,OW-MOVEOUT,OW-RELOCATE,OW-DROP,EX-NORMAL,FT-REFINE
BOX-NEW-01	ST-FULL,ST-AOS,OW-INIT,OW-DROP,EX-NORMAL,FL-ALLOC,AB-GENERIC	Unproved ordinary-library route: current box<T> syntax is direct, but the full registered generic owner contract is not established.	U	Current box<T> syntax supplies a direct compiler route, but generic initialization, destruction, allocation policy, and ordinary-instantiation obligations are not jointly established for an ordinary no-unsafe library; no full-contract route is claimed.	Input: Moves T. Success: Unique heap owner containing T. Failure/abandonment: OOM follows Rust global allocation policy; on abort no normal return. Every moved value reaches one owner; only live values are dropped, dead/moved locations are skipped, and each reachable owner is valid on normal exit.	Required bound: O(1) plus allocator. A stronger-cost simulation does not cover this contract.	Preserve: Stable unique allocation address until owner conversion/move of allocation. Account allocations, initialized bytes, moved bytes, metadata, checks, branches, code size; reject equating aborting OOM with recoverable allocation.	No optimizer fact channel is required by this contract; a later implementation may not invent one without hostile review.	verify exact live-value drops and zero dead-slot drops; inject allocation/capacity failure only at the contract's allocating points.	Unresolved: ownership-transition and failure-policy prerequisites must reconcile the direct compiler route with the ordinary-library contract.	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::boxed::Box member=new; https://doc.rust-lang.org/1.97.0/std/boxed/struct.Box.html; RUST-DATA-CONTRACT-CENSUS.tsv:BOX-NEW-01; CAPABILITY-OBLIGATION-REGISTRY.tsv:ST-FULL,ST-AOS,OW-INIT,OW-DROP,EX-NORMAL,FL-ALLOC,AB-GENERIC
BOX-PIN-01	ST-FULL,OW-INIT,OW-DROP,EX-NORMAL,FL-ALLOC,ID-ADDRESS	Scoped later-domain route: X; no pin/address-sensitive type contract.	DEFERRED	No G0 derivation is claimed; a separately authorized domain must expose checked fixed-full validity, single-owner initialization, exact live-value destruction, validity on every normal exit, explicit allocation-failure policy, address-identity semantics to produce Pinned unique owner promising no move of T through safe API, and selection remains unresolved there.	Input: Moves T/Box. Success: Pinned unique owner promising no move of T through safe API. Failure/abandonment: OOM for pin(value); conversion itself total. Every moved value reaches one owner; only live values are dropped, dead/moved locations are skipped, and each reachable owner is valid on normal exit.	Required bound: O(1) plus allocation for pin. A stronger-cost simulation does not cover this contract.	Preserve: Stable address is observable contract. Account allocations, initialized bytes, moved bytes, metadata, checks, branches, code size; reject address-stability tax on logical-identity-only paths; equating aborting OOM with recoverable allocation.	No optimizer fact channel is required by this contract; a later implementation may not invent one without hostile review.	verify exact live-value drops and zero dead-slot drops; inject allocation/capacity failure only at the contract's allocating points; reject use after the contract's address/identity invalidator.	Pin/address scoped deferral; logical identity does not imply address stability.	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::boxed::Box members=pin,into_pin; RUST-DATA-CONTRACT-CENSUS.tsv:BOX-PIN-01; CAPABILITY-OBLIGATION-REGISTRY.tsv:ST-FULL,OW-INIT,OW-DROP,EX-NORMAL,FL-ALLOC,ID-ADDRESS
BOX-DOWNCAST-01	OW-MOVEOUT,EX-NORMAL,AB-SEAL	Scoped later-domain route: runtime type erasure/reflection is outside G0 and has no registered type-identity capability.	DEFERRED	No G0 derivation is claimed; a separately authorized runtime-type domain must preserve the recoverable unique owner transfer, but the required runtime type-identity fact and abstraction capability is not present in the G0 registry.	Input owner is consumed into exactly one result arm. A successful type match returns the same allocation as the concrete owner; a mismatch returns the original owner. This operation performs no payload destruction.	Required bound: O(1) type-id check. A stronger-cost simulation does not cover this contract.	Preserve: Same allocation/identity retained. Account allocations, initialized bytes, moved bytes, metadata, checks, branches, code size; reject unchecked privilege or a stronger-cost simulation.	The registry has no runtime type-identity fact capability; no optimizer fact is claimed for the type match.	exercise matching and mismatching type identities while preserving the same allocation and exactly one returned owner.	Runtime type erasure/reflection is LATER under D13; reopening requires a dedicated runtime type-identity fact/abstraction capability and owner review.	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::boxed::Box member=downcast (three canonical declarations); RUST-DATA-CONTRACT-CENSUS.tsv:BOX-DOWNCAST-01; SYSTEMS-DOMAIN-LEDGER.md D13; CAPABILITY-OBLIGATION-REGISTRY.tsv:OW-MOVEOUT,EX-NORMAL,AB-SEAL
BOX-INIT-01	ST-HOLE,OW-INIT,OW-DROP,EX-NORMAL,EX-ABANDON,FL-CAPACITY,FL-ALLOC,AB-SEAL,FT-STATE	Current capability gap: X; public uninitialized state forbidden.	X	An ordinary no-unsafe library needs checked contained transient-hole state, single-owner initialization, exact live-value destruction, validity on every normal exit, safe protocol abandonment, unforgeable abstraction state, live-state fact integrity, checked capacity arithmetic, explicit allocation-failure policy to produce Uninitialized/zeroed storage owner; write seals a scalar slot into Box<T>; the exact public route remains unresolved until the named lock.	Input: Allocation plus later move-in. Success: Uninitialized/zeroed storage owner; write seals a scalar slot into Box<T>. Failure/abandonment: OOM; slice length overflow; abandonment drops allocation but not nonexistent T. Every moved value reaches one owner; only live values are dropped, dead/moved locations are skipped, and each reachable owner is valid on normal exit.	Required bound: O(1) scalar or O(n) zeroing. A stronger-cost simulation does not cover this contract.	Preserve: Unique stable allocation; slice is contiguous. Account allocations, initialized bytes, moved bytes, metadata, checks, branches, code size; reject unchecked privilege or a stronger-cost simulation.	live/occupancy facts are owner/version scoped and invalidate on structural mutation, relocation, clear, or drop. Facts-off retains checks and identical semantics.	reject payload access after the recorded live-state invalidator; verify exact live-value drops and zero dead-slot drops; abandon the protocol on each normal early-exit edge and verify the base owner; inject allocation/capacity failure only at the contract's allocating points.	Unresolved: ownership-transition, failure-policy Family Lock A/prerequisite must freeze exact semantics, costs, canaries, and evidence.	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::boxed::Box members=new_uninit,new_uninit_slice,new_zeroed,new_zeroed_slice,write; src/alloc/boxed.rs.html#311; RUST-DATA-CONTRACT-CENSUS.tsv:BOX-INIT-01; CAPABILITY-OBLIGATION-REGISTRY.tsv:ST-HOLE,OW-INIT,OW-DROP,EX-NORMAL,EX-ABANDON,FL-CAPACITY,FL-ALLOC,AB-SEAL,FT-STATE
SEQ-META-01	ST-DENSE,OW-DROP,EX-NORMAL,FL-CAPACITY,FL-ALLOC,AB-SEAL,NT-FIXED	Current capability gap: X; current buffer has fixed len and no spare capacity.	X	An ordinary no-unsafe library needs checked dense live-prefix state, unforgeable abstraction state, fixed-buffer no-tax protection, exact live-value destruction, validity on every normal exit, checked capacity arithmetic, explicit allocation-failure policy to produce Empty owner or metadata values; the exact public route remains unresolved until the named lock.	No payload owner transfers. Input: Optional capacity request. Success: Empty owner or metadata values. Failure/exit: Capacity overflow/OOM for allocating constructor. Returned borrows remain tied to the source, and the operation drops no payload.	Required bound: O(1) except allocator. A stronger-cost simulation does not cover this contract.	Preserve: Contiguous [0,len) values with capacity>=len; address may change on later growth. Account allocations, initialized bytes, moved bytes, metadata, checks, branches, code size; reject dummy spare T values or per-slot dense tags.	No optimizer fact channel is required by this contract; a later implementation may not invent one without hostile review.	verify exact live-value drops and zero dead-slot drops; inject allocation/capacity failure only at the contract's allocating points.	Unresolved: dense, failure-policy Family Lock A/prerequisite must freeze exact semantics, costs, canaries, and evidence.	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::vec::Vec members=new,with_capacity,len,is_empty,capacity; https://doc.rust-lang.org/1.97.0/std/vec/struct.Vec.html; RUST-DATA-CONTRACT-CENSUS.tsv:SEQ-META-01; CAPABILITY-OBLIGATION-REGISTRY.tsv:ST-DENSE,OW-DROP,EX-NORMAL,FL-CAPACITY,FL-ALLOC,AB-SEAL,NT-FIXED
SEQ-RESERVE-01	ST-DENSE,OW-RELOCATE,EX-NORMAL,EX-ABORT,BR-INVALIDATE,FL-CAPACITY,FL-ALLOC,AB-SEAL,FT-STATE,NT-FIXED	Current capability gap: X.	X	An ordinary no-unsafe library needs checked dense live-prefix state, ownership-preserving relocation, validity on every normal exit, memory-safe abort edges, structural invalidation, checked capacity arithmetic, explicit allocation-failure policy, unforgeable abstraction state, live-state fact integrity, fixed-buffer no-tax protection to produce Capacity sufficient for at least len+additional; values preserved; the exact public route remains unresolved until the named lock.	Input: Unique owner borrow and additional count. Success: Capacity sufficient for at least len+additional; values preserved. Failure/abandonment: Capacity overflow panics; OOM follows global policy; failure must not expose partial relocation. Every moved value reaches one owner; only live values are dropped, dead/moved locations are skipped, and each reachable owner is valid on normal exit.	Required bound: Amortized O(1) per future push; individual O(n) relocation. A stronger-cost simulation does not cover this contract.	Preserve: Contiguity/order retained; address may change; exact reserve need not allocate exact amount. Account allocations, initialized bytes, moved bytes, metadata, checks, branches, code size; reject dummy spare T values or per-slot dense tags; equating aborting OOM with recoverable allocation.	live/occupancy facts are owner/version scoped and invalidate on structural mutation, relocation, clear, or drop. Facts-off retains checks and identical semantics.	reject payload access after the recorded live-state invalidator; detect moved-from read, lost owner, and double ownership; inject allocation/capacity failure only at the contract's allocating points.	Unresolved: dense, access/reborrow, failure-policy, ownership-transition Family Lock A/prerequisite must freeze exact semantics, costs, canaries, and evidence.	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::vec::Vec members=reserve,reserve_exact; RUST-DATA-CONTRACT-CENSUS.tsv:SEQ-RESERVE-01; CAPABILITY-OBLIGATION-REGISTRY.tsv:ST-DENSE,OW-RELOCATE,EX-NORMAL,EX-ABORT,BR-INVALIDATE,FL-CAPACITY,FL-ALLOC,AB-SEAL,FT-STATE,NT-FIXED
SEQ-TRY-RESERVE-01	ST-DENSE,OW-RELOCATE,EX-NORMAL,BR-INVALIDATE,FL-CAPACITY,FL-ALLOC,FL-ATOMIC,AB-SEAL,FT-STATE,NT-FIXED	Current capability gap: X.	X	An ordinary no-unsafe library needs checked dense live-prefix state, ownership-preserving relocation, validity on every normal exit, structural invalidation, checked capacity arithmetic, explicit allocation-failure policy, recoverable failure atomicity, unforgeable abstraction state, live-state fact integrity, fixed-buffer no-tax protection to produce Success provides capacity; error preserves sequence and ownership; the exact public route remains unresolved until the named lock.	Input: Unique owner borrow and additional count. Success: Success provides capacity; error preserves sequence and ownership. Failure/abandonment: Capacity overflow or allocator failure returns opaque TryReserveError; no input loss. Every moved value reaches one owner; only live values are dropped, dead/moved locations are skipped, and each reachable owner is valid on normal exit.	Required bound: Individual O(n) relocation; amortized policy for non-exact form. A stronger-cost simulation does not cover this contract.	Preserve: Same as reserve. Account allocations, initialized bytes, moved bytes, metadata, checks, branches, code size; reject dummy spare T values or per-slot dense tags; equating aborting OOM with recoverable allocation.	live/occupancy facts are owner/version scoped and invalidate on structural mutation, relocation, clear, or drop. Facts-off retains checks and identical semantics.	reject payload access after the recorded live-state invalidator; detect moved-from read, lost owner, and double ownership; inject allocation/capacity failure only at the contract's allocating points.	Unresolved: dense, access/reborrow, failure-policy, ownership-transition Family Lock A/prerequisite must freeze exact semantics, costs, canaries, and evidence.	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::vec::Vec members=try_reserve,try_reserve_exact; alloc::collections::TryReserveError; RUST-DATA-CONTRACT-CENSUS.tsv:SEQ-TRY-RESERVE-01; CAPABILITY-OBLIGATION-REGISTRY.tsv:ST-DENSE,OW-RELOCATE,EX-NORMAL,BR-INVALIDATE,FL-CAPACITY,FL-ALLOC,FL-ATOMIC,AB-SEAL,FT-STATE,NT-FIXED
SEQ-SHRINK-01	ST-DENSE,OW-RELOCATE,EX-NORMAL,EX-ABORT,BR-INVALIDATE,FL-CAPACITY,FL-ALLOC,AB-SEAL,FT-STATE,NT-FIXED	Current capability gap: X.	X	An ordinary no-unsafe library needs checked dense live-prefix state, ownership-preserving relocation, validity on every normal exit, memory-safe abort edges, structural invalidation, checked capacity arithmetic, explicit allocation-failure policy, unforgeable abstraction state, live-state fact integrity, fixed-buffer no-tax protection to produce Capacity reduced subject to len/minimum; values preserved; the exact public route remains unresolved until the named lock.	Input: Unique owner borrow. Success: Capacity reduced subject to len/minimum; values preserved. Failure/abandonment: Allocator failure behavior is nonrecovering/implementation-defined within Rust guarantees. Every moved value reaches one owner; only live values are dropped, dead/moved locations are skipped, and each reachable owner is valid on normal exit.	Required bound: O(n) relocation when allocation changes. A stronger-cost simulation does not cover this contract.	Preserve: Contiguity/order retained; capacity lower bound observable, exact capacity not promised. Account allocations, initialized bytes, moved bytes, metadata, checks, branches, code size; reject dummy spare T values or per-slot dense tags; equating aborting OOM with recoverable allocation.	live/occupancy facts are owner/version scoped and invalidate on structural mutation, relocation, clear, or drop. Facts-off retains checks and identical semantics.	reject payload access after the recorded live-state invalidator; detect moved-from read, lost owner, and double ownership; inject allocation/capacity failure only at the contract's allocating points.	Unresolved: dense, access/reborrow, failure-policy, ownership-transition Family Lock A/prerequisite must freeze exact semantics, costs, canaries, and evidence.	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::vec::Vec members=shrink_to,shrink_to_fit; RUST-DATA-CONTRACT-CENSUS.tsv:SEQ-SHRINK-01; CAPABILITY-OBLIGATION-REGISTRY.tsv:ST-DENSE,OW-RELOCATE,EX-NORMAL,EX-ABORT,BR-INVALIDATE,FL-CAPACITY,FL-ALLOC,AB-SEAL,FT-STATE,NT-FIXED
SEQ-VIEW-01	ST-DENSE,BR-PROV,BR-RESULT,BR-INVALIDATE,FT-STATE	Current capability gap: X as growable owner; E for current fixed Copy buffer view.	X	An ordinary no-unsafe library needs checked dense live-prefix state, owner-tied borrow provenance, result-borrow provenance, structural invalidation, live-state fact integrity to produce Borrowed view over initialized prefix only; the exact public route remains unresolved until the named lock.	Input: Shared or unique owner borrow. Success: Borrowed view over initialized prefix only. Failure/abandonment: Total. Every moved value reaches one owner; only live values are dropped, dead/moved locations are skipped, and each reachable owner is valid on normal exit.	Required bound: O(1). A stronger-cost simulation does not cover this contract.	Preserve: Contiguous order and addresses stable for borrow lifetime. Account allocations, initialized bytes, moved bytes, metadata, checks, branches, code size; reject dummy spare T values or per-slot dense tags.	live/occupancy facts are owner/version scoped and invalidate on structural mutation, relocation, clear, or drop; provenance facts remain tied to the source owner and expire on incompatible mutation or owner death. Facts-off retains checks and identical semantics.	reject payload access after the recorded live-state invalidator.	Unresolved: dense, access/reborrow Family Lock A/prerequisite must freeze exact semantics, costs, canaries, and evidence.	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::vec::Vec members=as_slice,as_mut_slice; RUST-DATA-CONTRACT-CENSUS.tsv:SEQ-VIEW-01; CAPABILITY-OBLIGATION-REGISTRY.tsv:ST-DENSE,BR-PROV,BR-RESULT,BR-INVALIDATE,FT-STATE
