capability_id	dimension	proof_obligation	caller_contracts	current_xlang_status	current_evidence_or_blocker	semantic_minimum	protected_performance_rule	family_lock_scope
BR-PROV	borrow/provenance	Every borrow retains a singleton owner provenance and outlives its storage.	slices; element references; iterators	established_narrow	OWN-5/6/10 and theorem T-A establish current lexical borrow provenance.	Returned or stored views identify their owner and cannot outlive, relocate, or destroy it.	Proof metadata should erase; no runtime provenance field on ordinary physical borrows.	access prerequisite
BR-REBORROW	borrow/provenance	Repeated calls through one uniq owner create bounded reborrows without consuming the original permanently.	container method chains; recursive traversal	selected_unimplemented	The design tree greenlights reborrow-through-holder, but v0 consumes uniq borrows at calls.	A child borrow is bounded by the parent and cannot be used to retarget or escape it.	No runtime borrow object or refcount on the static path.	access family
BR-RESULT	borrow/provenance	A function may return a borrow tied to an input owner with exact mode and region.	get; first; entry view; iterator next	selected_unimplemented	Result reborrow is greenlit in the design tree but not implemented.	Return provenance is derived from one declared input and respects mutation invalidation.	No runtime owner lookup for physical borrows.	access family
BR-DISJOINT	borrow/provenance	Runtime evidence may prove two or more mutable places disjoint.	swap; get-many-mut; graph rewiring; aligned columns	gap	OWN-7 proves only unequal literal indices and conservatively overlaps slices.	Checked partition/distinctness produces scoped exclusive places and rejects duplicates before mutation.	Retain one dynamic validation, then permit direct accesses without per-use alias checks where proven.	access family
BR-INVALIDATE	borrow/provenance	Structural mutation rejects or expires every incompatible element, slice, entry, and cursor borrow.	reserve; remove; rehash; clear; pool reuse	partial	OWN-5 rejects mutation under current borrows, but no structural container facts or logical cursors exist.	Each transition lists physical and logical invalidators; stale proof state cannot authorize access.	Compile-time invalidation for physical borrows; logical-handle checks priced only where their contract needs them.	all owning families
BR-CURSOR	borrow/provenance	A cursor or entry state remains tied to one owner and cannot survive invalidating mutation or escape illegally.	entry API; list cursor; drain; traversal mutation	gap	No general returned reborrow, guard type, or exact-use cursor protocol.	Cursor state has one owner/provenance; early exit and abandonment preserve container validity.	A logical handle cursor must not pay permanent address-stability cost.	access and family-specific locks
FL-CAPACITY	failure	All size/capacity arithmetic is checked before under-allocation or state mutation.	allocation; reserve; grow; repeat	established_narrow	OP-9 checks buffer allocation multiplication and traps; no growable capacity arithmetic exists.	Overflow is compile-time rejection, trap, or recoverable error exactly as frozen per operation.	Checks may be proof-elided only through machine-verified facts.	global and family-specific failure
FL-ALLOC	failure	The contract distinguishes allocator failure, OOM policy, and checked capacity failure.	try-reserve; clone; rehash; node split	gap_or_scoped	OP-9 leaves OOM at the TCB level; Rust stable itself exposes inconsistent recoverable allocation.	Family Lock A states which allocation points recover, abort, or remain platform policy and how offered ownership is preserved.	Do not compare recoverable and aborting routes as the same contract.	allocator plus each allocating family
FL-ATOMIC	failure	Recoverable failure occurs before destructive commit or proves complete rollback.	push with growth; insert; clone; rehash; ECS migration	gap	No general partial state or recoverable allocator path exists.	Original owner and offered affine inputs retain their documented state on every recoverable failure.	Rollback metadata and traffic are counted; prepare-before-commit is preferred only if evidence selects it.	all allocating families
FL-CALLBACK	failure	User behavior failure or trap cannot corrupt representation invariants.	retain; sort comparator; hash/equality; extract-if	gap	No complete callable static behavior or container transition exists.	Callbacks run only at invariant-safe boundaries or under a checked transaction whose exit policy is explicit.	Broken logical laws may degrade results or complexity but never memory safety.	behavior plus implicated family
ID-LOGICAL	identity/lifetime	A logical name continues to identify one object across permitted relocation.	append-only pool; graph; stable map handle	proved_pattern_narrow	P2 demonstrates non-reused integer indices for append-only SoA; typed handles and general library support are unimplemented.	The contract states owner/pool scope, relocation behavior, and invalidation event.	Protected append-only access has no generation or recycling branch.	stable-identity family
ID-FRESH	identity/lifetime	Reused storage never silently revives a stale freely copied identity.	recyclable pool; dynamic graph; LRU	gap	Append-only indices avoid reuse; no generation or static revocation route exists.	Finite identity must expose exhaustion, retirement, bounded lifetime, or another explicit relinquished guarantee.	No freshness check on the distinct append-only contract.	stable-identity family
ID-POOL	identity/lifetime	The contract states whether a handle from another owner/pool is rejected or only a logic error.	pool and graph access	partial_policy	The design tree permits same-typed cross-pool misuse as a memory-safe logic bug.	Any stronger provenance promise needs an explicit representation and check budget.	Do not claim free global uniqueness or charge it accidentally.	stable-identity family
ID-ADDRESS	identity/lifetime	A value's physical address remains stable until its specified invalidation/drop boundary.	Pin; self-reference; true intrusive links	deferred_domain	No pin/address-sensitive type exists; logical handles do not imply address stability.	Separate logical identity from address and pre-drop notification.	No pinning or indirection tax on contracts that require only logical identity.	pin/address family
ID-SHARED	identity/lifetime	Payload lifetime, allocation lifetime, strong/weak ownership, and mutation authority are tracked separately.	Rc; Arc; Weak; persistent sharing	deferred_domain	STOR-3 explicitly has no reference counting; shared ownership is out of current scope.	Cycles, weak upgrade, exact resource disposition, and concurrent sharing receive an independent lock.	No reference-count traffic on unique-owner structures.	shared-ownership and concurrency families
AB-SEAL	abstraction	Clients cannot forge length, capacity, occupancy, balance, or cross-buffer invariant state.	all safe containers	gap	No module/private-field/opaque-construction mechanism exists.	Ordinary libraries can define opaque representation and expose only invariant-preserving operations.	Sealing must erase; no dynamic access-control branch.	module/abstraction prerequisite
AB-BEHAVIOR	abstraction	Equality, hash, order, clone, and other required behaviors are statically callable and contained.	map/set; sort; clone; iter adapters	partial_specified	FN-3 contracts/conform and FN-2 monomorphization are specified, but the complete callable member path is absent.	Calls are direct after monomorphization; broken logical laws cannot forge storage validity.	No vtable or indirect-call tax on the canonical static path.	behavior prerequisite
AB-STATEFUL	abstraction	A stateful behavior object may be invoked repeatedly with explicit ownership/borrow effects.	stateful comparator; hasher; iterator adapter	gap	FN-5 proposes env-struct behavior but typed operation tables and exact calls are deferred.	State ownership, reborrow, effects, and call directness are checked without general function values.	Direct monomorphized calls; state storage is explicit.	behavior family
AB-GENERIC	abstraction	One checked ordinary library definition instantiates over payload and behavior types.	all generic collections	specified_partial_toolchain	FN-2 specifies explicit monomorphization and concrete rechecking; xlc does not yet implement the general layer.	Instantiation cannot bypass ownership or fact checks; representation specialization remains internal.	Charge monomorphized code size as well as call directness.	global prerequisite
IT-SHARED	traversal	Traverse all elements in frozen order through shared borrows.	slice/map/set/list shared iteration	partial_concrete	Index loops cover concrete contiguous cases; no generic iterator protocol or returned reborrow exists.	Each yield has owner provenance; structural mutation is excluded for the traversal lifetime.	Canonical containers retain their required traversal complexity without per-element allocation.	iteration family
IT-UNIQ	traversal	Traverse and mutate elements one at a time without aliasing or losing owner access.	iter-mut; retain; graph mutation	gap	No result reborrow or reusable uniq cursor exists.	Each yielded uniq borrow ends before the next or disjointness is proved; owner validity persists on early exit.	No dynamic borrow table on the static unique-owner path.	iteration and access families
IT-OWN	traversal	Consume an owner and yield each affine element exactly once, then free storage.	into-iterator; drain-all	gap	No affine-element collection or owning cursor protocol.	Unconsumed elements are disposed exactly once on every normal abandonment path.	No clone and no per-element allocation solely for traversal.	iteration plus owning family
FT-STATE	optimizer fact	Checked live-set state may authorize payload access and check elimination.	dense/sparse/dependent storage	gap	Current facts cover bounds and alias channels, not partial initialization or occupancy.	Fact records producer, proposition, owner/provenance/version scope, invalidators, and consumers.	Facts add no semantic mode switch; facts-off preserves semantics and retains checks.	each implicated family
FT-REFINE	optimizer fact	A checked refinement seal may authorize refined operations without repeated validation.	UTF-8 text; validated protocol values	gap	No refinement fact channel exists.	Only checked validation or preserving transitions mint the fact; raw mutation invalidates it.	No validation tax on raw bytes; no unchecked assertion path.	text and later refinement families
FT-IDENTITY	optimizer fact	A successful identity/occupancy check may authorize scoped repeated access until invalidation.	stable pool; graph cursor	gap	No recyclable identity or logical cursor fact exists.	Fact is tied to pool, slot, generation/version, and mutation epoch as required by the contract.	Append-only handles keep the existing bounds-only path.	stable-identity family
NT-FIXED	protected no-tax law	New capability adds no field, branch, check, allocation, or code-size path to fixed full Copy buffers.	current buffer baseline	protected	D11 explicitly protects the existing fixed buffer.	Family evidence includes unchanged source, layout, optimized body, and structural counters.	Exact non-regression control; no universal storage mode flag.	global protection
NT-P2	protected no-tax law	New capability adds no generation, recycling, sparse, sharing, or relocation tax to append-only P2.	append-only AST/DAG/IR pools	protected	D11 separates append-only and recyclable identity.	Family evidence includes unchanged P2 access and machine-code accounting.	Exact non-regression control; no runtime policy flag.	global protection
