contract_id	family	rust_surfaces	pre_state	input_ownership	post_state_result	invalidation	failure_drop_abandonment	complexity	layout_identity_order	behavior_parameter	implementation_privilege_evidence	xlang_current_status	required_obligations	source_refs
VIEW-SPLIT-01	borrowed_shape_partition	slice::{split_at,split_at_mut}	View and split index	Shared or unique borrow	Two covering subviews [0,mid) and [mid,len)	Outputs tied to source; mutable outputs disjoint and jointly exclusive	mid>len panics in Rust; xlang-equivalent contract must retain checked failure	O(1)	No movement; exact order and contiguity retained	Split index	Safe surface; mutable form creates proven disjoint borrows	X for dynamic unique split; shared split is U	Checked boundary, exact coverage, provenance, and runtime disjointness fact review	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=split_at,split_at_mut; src/core/slice/mod.rs.html#1953
VIEW-SPLIT-02	borrowed_shape_partition	slice::{split_at_checked,split_at_mut_checked}	View and split index	Shared or unique borrow	Option of two covering subviews	Outputs tied to source; unique outputs disjoint	mid>len returns None without mutation	O(1)	No movement; exact order and contiguity retained	Split index	Safe checked partition	X for dynamic unique split; shared form U	Failure must not create partial borrows; same fact-channel review as trapping form	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=split_at_checked,split_at_mut_checked
VIEW-CONSUME-01	borrowed_view_cursor	slice::{split_off,split_off_mut,split_off_first,split_off_last,split_off_first_mut,split_off_last_mut}	Mutable binding containing a shared or unique slice reference	Unique access to the reference value, not ownership of payload	Returns one endpoint/range borrow and advances or shortens the stored view	Old reference value is replaced; returned and remaining unique views are disjoint	Invalid one-sided range returns None and leaves reference contractually valid	O(1)	No element movement; range order retained	One-sided range or endpoint	Safe lifetime reassignment inside reference value	X; borrow reassignment/result reborrow not in current ownership core	Singleton provenance update, no overlap, and failure atomicity	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=split_off,split_off_mut,split_off_first,split_off_last,split_off_first_mut,split_off_last_mut
VIEW-DISJOINT-01	borrowed_multi_access	slice::get_disjoint_mut	Uniquely borrowed view and N indices/ranges	Unique borrow plus copied index descriptors	Array of N unique outputs	All outputs tied to source and pairwise non-overlapping	Out-of-bounds or overlap returns GetDisjointMutError; no borrow escapes on error	At least O(N log N) or O(N^2) validation unless statically discharged; access thereafter O(1)	No movement; caller-specified output order	Index descriptors	Safe surface validates a metadata-to-alias fact	X; OWN-7 proves only unequal literal indices	Complete dynamic disjointness proof, duplicate/range-overlap canaries, and hostile fact-channel review	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice member=get_disjoint_mut; src/core/slice/mod.rs.html#5210
VIEW-ARRAY-CHUNKS-01	borrowed_shape_partition	slice::{as_chunks,as_chunks_mut,as_rchunks,as_rchunks_mut,as_flattened,as_flattened_mut}	View of T or fixed arrays	Shared or unique borrow	Maximal array-chunk view plus remainder, or flattened view	Outputs tied to source; mutable pieces disjoint	N=0 is rejected/panics per Rust contract; otherwise total	O(1)	Same contiguous storage; forward or reverse remainder placement is observable	Const N and direction	Safe shape reinterpretation without type punning	X for generic borrowed aggregate shapes	Divisibility arithmetic, exact coverage, alignment inherited from T, and provenance	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=as_chunks,as_chunks_mut,as_rchunks,as_rchunks_mut,as_flattened,as_flattened_mut
VIEW-ITER-01	borrowed_iteration	slice::{iter,iter_mut}; slice helpers={Iter,IterMut}	Valid shared or unique view	Borrow of view	Forward iterator yielding shared or pairwise-disjoint unique elements	Iterator retains source borrow; yielded unique items cannot overlap	Normal exhaustion returns None; abandoning iterator releases borrow and owns no payload	O(1) next; O(n) full traversal	Exact source order and exact size	Iterator protocol	Safe implementation uses pointer-range state internally	E through explicit index loop for Copy shared traversal; X for general affine/unique iterator protocol	Provenance-preserving cursor, exact exhaustion, and no duplicate unique yield	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=iter,iter_mut; helper paths=alloc::slice::Iter,alloc::slice::IterMut
VIEW-WINDOW-01	borrowed_iteration	slice::{windows,array_windows}; helpers={Windows,ArrayWindows}	Shared view and positive window size or const N	Shared borrow	Overlapping shared windows in order	All windows share source provenance; no mutable variant	Zero dynamic size panics; N=0 is rejected by array-window contract	O(1) next; O(n) traversal	Overlapping contiguous windows; source order	Window width	Safe shared pointer cursor	U; expressible with checked index loops but no generic helper protocol	Window bounds, overlap read-only rule, and zero-width behavior	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=windows,array_windows
VIEW-CHUNKS-01	borrowed_iteration	slice::{chunks,chunks_mut,chunks_exact,chunks_exact_mut,rchunks,rchunks_mut,rchunks_exact,rchunks_exact_mut}; helpers={Chunks,ChunksMut,ChunksExact,ChunksExactMut,RChunks,RChunksMut,RChunksExact,RChunksExactMut}	View and positive chunk size	Shared or unique borrow	Non-overlapping chunks; exact variants expose remainder separately	Iterator retains source; mutable yielded chunks are pairwise disjoint	Zero chunk size panics; abandonment releases borrow	O(1) next; O(n) traversal	Forward or reverse chunk order and remainder placement are observable	Chunk size and direction	Safe implementation tracks cursor and remainder	X for general unique iterator; shared Copy loop is U	Pairwise-disjoint yield, exact remainder, zero-size failure, and provenance	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=chunks,chunks_mut,chunks_exact,chunks_exact_mut,rchunks,rchunks_mut,rchunks_exact,rchunks_exact_mut
VIEW-CHUNKBY-01	borrowed_iteration	slice::{chunk_by,chunk_by_mut}; helpers={ChunkBy,ChunkByMut}	View and adjacency predicate	Shared or unique borrow plus callable	Maximal adjacent runs for which predicate holds	Iterator borrows source; mutable chunks are pairwise disjoint	Callback panic/abort ends operation under Rust unwind rules; xlang uses current aborting-trap rule	O(n) predicate calls	Stable source order	FnMut(&T,&T)->bool	Safe cursor plus open behavior call	X; function-value protocol and unique iterator absent	Static behavior contract, call count/order, no alias escape, and trap cleanup	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=chunk_by,chunk_by_mut
VIEW-SPLIT-PRED-01	borrowed_iteration	slice::{split,split_mut,split_inclusive,split_inclusive_mut,splitn,splitn_mut,rsplit,rsplit_mut,rsplitn,rsplitn_mut}; helpers={Split,SplitMut,SplitInclusive,SplitInclusiveMut,SplitN,SplitNMut,RSplit,RSplitMut,RSplitN,RSplitNMut}	View, predicate, optional limit, and direction	Shared or unique borrow plus callable	Subslice sequence separated by matching elements; delimiter inclusion and limit are row parameters	Iterator retains source; mutable outputs do not overlap	Callback trap follows aborting rule; abandonment releases borrow	O(n) total predicate calls	Forward/reverse order, empty fields, inclusion, and limit are observable	FnMut(&T)->bool; direction; inclusive; maximum pieces	Safe cursor and split-state machine	X; behavior-parametric borrowed cursor absent	Exact delimiter ownership, empty-segment behavior, unique disjointness, and trap state	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=split,split_mut,split_inclusive,split_inclusive_mut,splitn,splitn_mut,rsplit,rsplit_mut,rsplitn,rsplitn_mut
VIEW-SEARCH-01	sequence_search	slice::{contains,starts_with,ends_with,strip_prefix,strip_suffix}	Shared initialized view and value/pattern	Shared borrows	Boolean or surviving suffix/prefix subview	Returned subview tied to source	No failure	O(n) comparisons in general	Source order preserved	PartialEq or SlicePattern	Safe comparison loop	U; concrete Copy comparisons expressible, generic behavior contracts incomplete	Comparator law scope, returned-view provenance, and no hidden allocation	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=contains,starts_with,ends_with,strip_prefix,strip_suffix
VIEW-SEARCH-02	ordered_sequence_search	slice::{binary_search,binary_search_by,binary_search_by_key,partition_point}	Partitioned or sorted shared view	Shared borrow plus optional callable/key	Found index or insertion index; partition boundary	No invalidation	No structural failure; inconsistent ordering yields unspecified logical result, not memory unsafety	O(log n) calls	Index refers to current order	Ord, comparator, key projection, or predicate	Safe indexed search	X for generic static behavior; concrete primitive search is U	Freeze sortedness precondition, callback order envelope, and result semantics	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=binary_search,binary_search_by,binary_search_by_key,partition_point
VIEW-ORDER-CHECK-01	order_validation	slice::{is_sorted,is_sorted_by,is_sorted_by_key}	Shared view	Shared borrow plus optional callable	Boolean sortedness result	None	No structural failure; callback trap aborts	O(n)	Does not change order	PartialOrd, relation predicate, or key projection	Safe adjacent comparison	U for concrete Copy values; X for general behavior	Static behavior call and exact short-circuit order if exposed	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=is_sorted,is_sorted_by,is_sorted_by_key
VIEW-SORT-01	stable_sort	slice::{sort,sort_by,sort_by_key,sort_by_cached_key}	Uniquely borrowed initialized sequence	Unique borrow plus ordering behavior	Elements stably ordered; equal elements retain relative order	All element borrows invalid during operation; addresses stay within same slice but values relocate	Allocation or callback failure must leave every element initialized and dropped once; Rust may allocate scratch	O(n log n) worst-case target; cached-key computes each key once	Stable order; contiguous layout retained; element positions change	Ord, comparator, or key projection	Implementation uses scratch storage, raw moves, partial-run guards, and cleanup	X	Affine swap/relocation, partial scratch initialization, failure cleanup, static comparator, and stability proof	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=sort,sort_by,sort_by_key,sort_by_cached_key; src/alloc/slice.rs.html#131
VIEW-SORT-02	unstable_sort	slice::{sort_unstable,sort_unstable_by,sort_unstable_by_key}	Uniquely borrowed initialized sequence	Unique borrow plus ordering behavior	Elements ordered without equal-element stability guarantee	All element borrows invalid; positions change	Callback trap must not create uninitialized or double-owned elements	O(n log n) worst-case target; no allocation required by Rust contract	Contiguous layout retained; equal-element order unspecified	Ord, comparator, or key projection	Implementation uses in-place raw swap/partition machinery	X	Affine swap, comparator containment, stack bound, and exact initialization through partitioning	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=sort_unstable,sort_unstable_by,sort_unstable_by_key
VIEW-SELECT-01	order_selection	slice::{select_nth_unstable,select_nth_unstable_by,select_nth_unstable_by_key}	Uniquely borrowed initialized sequence and valid index	Unique borrow plus ordering behavior	Three mutable partitions with nth element in final sorted position; sides unordered within partition constraints	Source borrow replaced by three disjoint borrows; values relocate	Out-of-range index panics; callback trap must retain full initialization	Expected O(n) or documented Rust selection bound	Contiguous storage retained; partition order constraints observable	Ord, comparator, or key projection	In-place raw partition machinery	X	Dynamic disjoint result borrows, affine relocation, bounds failure, and comparator cleanup	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=select_nth_unstable,select_nth_unstable_by,select_nth_unstable_by_key
VIEW-REORDER-01	in_place_reorder	slice::{reverse,rotate_left,rotate_right}	Uniquely borrowed initialized view	Unique borrow	Permutation completed in place	Existing element-position assumptions invalid; view identity remains	Rotate index beyond len panics; operation must leave full initialization	O(n)	Contiguous layout retained; exact permutation specified	Direction and rotation count	Safe surface implemented with swaps/moves	E for Copy values with loops; X for affine values	Dynamic affine swap/relocation and failure-before-mutation for invalid counts	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=reverse,rotate_left,rotate_right
VIEW-SWAP-01	in_place_relocation	slice::{swap,swap_with_slice}; mem::swap	One or two uniquely borrowed initialized locations/views	Two unique places or unique slices	Values exchanged without cloning or dropping	References to positions remain but observe exchanged values	Index or length mismatch panics before unsafe access; neither value dropped	O(1) for element swap; O(n) for slice swap	Addresses fixed; value identities exchange positions	None	Safe surface relies on proven non-overlap or typed swap intrinsics	X for dynamic affine indexed places; Copy swap is E	Runtime distinctness, two-place exclusivity, no intermediate deinitialization visible, and exact failure ordering	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=swap,swap_with_slice; src/core/mem/mod.rs.html#763
VIEW-COPY-01	in_place_copy	slice::{copy_from_slice,copy_within}	Initialized destination and Copy source/range	Unique destination plus shared source or same-view indices	Destination bytes replaced by Copy values	Destination content changes; borrows to written positions invalid	Length/range errors panic before invalid access	O(n)	Order and overlap behavior specified; layout unchanged	Copy	Safe surface lowers to overlap-aware or non-overlap copies	E for current Copy buffers	Bounds, overlap direction, exact byte count, and retained checks	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=copy_from_slice,copy_within
VIEW-CLONE-01	in_place_clone	slice::clone_from_slice	Initialized destination and equal-length source	Unique destination, shared source, Clone behavior	Each destination element replaced by clone of source counterpart	Written destination values replaced and old values destroyed	Length mismatch panics; clone trap requires exact handling of already replaced values	O(n) clone calls	Order and layout retained	Clone	Safe high-level loop; replacement/drop sequencing matters	X for affine Clone; Copy specialization covered by VIEW-COPY-01	Callable clone contract, per-element replacement state, and trap cleanup	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice member=clone_from_slice
VIEW-FILL-01	in_place_fill	slice::{fill,fill_with}	Initialized uniquely borrowed view	Unique view plus cloned seed or producer callable	Every element replaced	All prior values destroyed exactly once	Clone/producer trap may stop partway; every slot must remain initialized	O(n)	Order and layout retained	Clone seed or FnMut()->T	Replacement loop with partial-progress cleanup	E for Copy constant fill; X for affine/general producer	Per-slot replacement atomicity and callback trap state	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=fill,fill_with
VIEW-ELEMENT-OFFSET-01	identity_query	slice::element_offset	Shared view and reference claimed to point into it	Shared borrows	Option of element index	None	Foreign or misaligned reference returns None according to provenance contract	O(1)	Identity/address relation only; no value comparison	None	Pointer-provenance arithmetic inside safe API	X; no general address-identity query	Provenance containment and alignment proof without raw pointer exposure	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice member=element_offset
VIEW-ALLOC-01	owned_sequence_conversion	slice::{to_vec,into_vec}	Borrowed slice or owned boxed slice	Clone from shared slice, or consume boxed slice	Owned growable Vec with same values/order	Borrow source unchanged for clone; boxed owner consumed for zero-copy-compatible conversion	Allocation/clone failure or OOM; partial clones dropped exactly once	O(n) clone; into_vec O(1) when representation reused	Contiguous order retained; address may change except representation-reuse case	Clone or allocator	Safe API uses allocation and raw ownership conversion internally	X; no growable affine sequence	Failure-atomic clone, exact drops, ownership transfer, and representation-independent contract	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=to_vec,into_vec
VIEW-CONCAT-01	bulk_sequence_construction	slice::{concat,join,connect,repeat}	Shared sequence of sequences or values	Shared borrow; Copy for repeat; separator borrowed or copied	New owned sequence containing ordered concatenation/repetition	Inputs remain valid	Checked total-size overflow and allocation failure; partial output cleanup	O(total output length)	Contiguous result; exact separator and repetition order	Concat/Join trait or repetition count	Safe API uses reserve, partial initialization, and bulk copy/clone	X	Checked size arithmetic, no placeholder payloads, failure cleanup, and output order	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=concat,join,connect,repeat
BYTE-ASCII-01	byte_text_predicate	slice::{is_ascii,eq_ignore_ascii_case}	Shared byte view	Shared borrow	Boolean result	None	Total	O(n)	No layout/order change	ASCII classification	Safe scalar/SIMD implementation possible	E for fixed buffer<u8>	Exact ASCII definition and checked reads	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=is_ascii,eq_ignore_ascii_case
BYTE-ASCII-02	byte_text_mutation	slice::{make_ascii_lowercase,make_ascii_uppercase}	Uniquely borrowed byte view	Unique borrow	ASCII letters case-mapped in place; other bytes unchanged	Written byte values change	Total	O(n)	Length, addresses, and byte order retained	Case direction	Safe in-place byte transform	E for fixed buffer<u8>	Exact mapping and no UTF-8 claim beyond ASCII preservation	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=make_ascii_lowercase,make_ascii_uppercase
BYTE-ASCII-03	byte_text_construction	slice::{to_ascii_lowercase,to_ascii_uppercase}	Shared byte view	Shared borrow	New owned byte sequence with case mapping	Source unchanged	Allocation failure/OOM; partial output cleanup	O(n)	Contiguous result in source order	Case direction	Safe allocation and fill	X; growable/owned output sequence missing	Allocation failure, exact output length, and initialization proof	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=to_ascii_lowercase,to_ascii_uppercase
BYTE-ASCII-04	byte_text_view	slice::{trim_ascii,trim_ascii_start,trim_ascii_end}	Shared byte view	Shared borrow	Subview excluding ASCII whitespace at selected ends	Returned borrow tied to source	Total	O(n) worst case	No movement; source-relative order and address retained	Trim direction	Safe boundary scan	E for shared fixed byte slice	Exact ASCII whitespace set and returned provenance	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=trim_ascii,trim_ascii_start,trim_ascii_end
BYTE-ASCII-05	byte_text_escape	slice::escape_ascii; helper=EscapeAscii	Shared byte view	Shared borrow	Iterator of escaped ASCII bytes/chars	Iterator retains source borrow	Abandonment releases borrow; no payload ownership	O(output length)	Deterministic escape order	Escape table	Safe iterator state	U through direct emission; generic iterator absent	Canonical escape mapping, expansion bound, and early abandonment	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice member=escape_ascii
BYTE-UTF8-CHUNKS-01	text_validation_partition	slice::utf8_chunks; helper=Utf8Chunks	Arbitrary shared bytes	Shared borrow	Sequence of valid UTF-8 segments paired with invalid byte subsequences	Iterator retains source	Total partition; abandonment releases borrow	O(n)	Covers input in order without loss	UTF-8 validator	Safe validator cursor	X; no validated text type/helper protocol	Exact maximal partition, error byte coverage, and provenance	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice member=utf8_chunks; src/core/str/lossy.rs.html#45
INIT-WRITE-01	partial_initialization	slice::{write_copy_of_slice,write_clone_of_slice}	Destination [MaybeUninit<T>] at least source length	Unique destination and shared source	Initialized mutable subslice covering written prefix	Returned initialized view aliases destination; former uninitialized state is sealed for prefix	Length mismatch panics; clone trap leaves only completed prefix initialized and must clean it according to owner protocol	O(n)	Contiguous source order	Copy or Clone	Safe methods encapsulate writes but expose MaybeUninit state at caller surface	X; writer-visible uninitialized state forbidden	Any alternative must prove per-slot initialization, exact cleanup, and no readable T before seal	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=write_copy_of_slice,write_clone_of_slice; src/core/mem/maybe_uninit.rs.html#1162
TEXT-META-01	validated_text_metadata	str::{len,is_empty}	Valid UTF-8 text view	Shared borrow	Byte length or emptiness	None	Total	O(1)	No layout/order change; length is bytes, not characters	None	Metadata read	X; no runtime validated-text type	Bind byte length to validated storage without implying character count	RUST-1.97.0-API-INVENTORY.tsv item_path=std::str members=len,is_empty; https://doc.rust-lang.org/1.97.0/std/primitive.str.html
TEXT-BYTES-01	validated_text_view	str::as_bytes	Valid UTF-8 text view	Shared borrow	Shared byte view of exact encoded bytes	Returned view tied to text; read-only so validity cannot be broken	Total	O(1)	Same contiguous storage and order	UTF-8 representation	Safe invariant weakening	X; bytes exist but no validated source type	Provenance-preserving invariant weakening and no mutable escape	RUST-1.97.0-API-INVENTORY.tsv item_path=std::str member=as_bytes
TEXT-VALIDATE-01	text_validity_seal	str::{from_utf8,from_utf8_mut}; helper=Utf8Error::{valid_up_to,error_len}	Arbitrary shared or unique byte view	Borrow of bytes	Result containing validated text view or precise UTF-8 error	Success borrow tied to source; unique success excludes byte mutation except validity-preserving text operations	Invalid input returns error without changing bytes	O(n)	Same bytes and addresses; establishes UTF-8 fact	UTF-8 validation	Safe validator establishes metadata-to-payload fact	X	Complete validator, exact error offset/length, fact invalidation, and hostile optimizer review	RUST-1.97.0-API-INVENTORY.tsv item_path=std::str members=from_utf8,from_utf8_mut; helper=alloc::str::Utf8Error
TEXT-BOUNDARY-01	text_boundary_query	str::{is_char_boundary,floor_char_boundary,ceil_char_boundary}	Valid UTF-8 view and byte index	Shared borrow	Boundary boolean or nearest boundary index	None	Queries are total within documented index envelope; floor/ceil clamp according to Rust contract	O(1), bounded UTF-8 code-unit inspection	Byte-index result refers to same text	UTF-8 boundary rule	Safe local byte inspection under validity invariant	X	Exact boundary arithmetic and no out-of-range unchecked read	RUST-1.97.0-API-INVENTORY.tsv item_path=std::str members=is_char_boundary,floor_char_boundary,ceil_char_boundary
TEXT-GET-01	text_boundary_access	str::{get,get_mut}	Valid UTF-8 view and scalar/range index	Shared or unique borrow	Option of text subview only when bounds and character boundaries hold	Returned borrow tied to source; unique form excludes overlapping access	Invalid bound or non-boundary returns None with validity unchanged	O(1) bounds and boundary checks	Same bytes/order	SliceIndex<str>	Safe checked slicing	X	Bounds plus UTF-8 boundary proof, unique provenance, and no validity-breaking mutation	RUST-1.97.0-API-INVENTORY.tsv item_path=std::str members=get,get_mut
TEXT-SPLIT-AT-01	text_boundary_partition	str::{split_at,split_at_mut}	Valid UTF-8 view and byte index	Shared or unique borrow	Two covering valid-text subviews	Returned mutable views disjoint; source borrow remains active	Out-of-range or non-boundary index panics	O(1)	No movement; exact byte order retained	Byte split index	Safe checked boundary partition	X	Boundary, coverage, disjointness, and failure-before-borrow proof	RUST-1.97.0-API-INVENTORY.tsv item_path=std::str members=split_at,split_at_mut
TEXT-SPLIT-AT-02	text_boundary_partition	str::{split_at_checked,split_at_mut_checked}	Valid UTF-8 view and byte index	Shared or unique borrow	Option of two covering valid-text subviews	Returned mutable views disjoint	Invalid bound/boundary returns None	O(1)	No movement; exact byte order retained	Byte split index	Safe checked boundary partition	X	Same proof as trapping form plus no partial borrow on None	RUST-1.97.0-API-INVENTORY.tsv item_path=std::str members=split_at_checked,split_at_mut_checked
TEXT-ITER-01	text_iteration	str::{bytes,chars,char_indices}; helpers={Bytes,Chars,CharIndices}	Valid UTF-8 view	Shared borrow	Forward iterator of encoded bytes, Unicode scalar values, or byte-index/scalar pairs	Iterator retains text borrow	Exhaustion returns None; abandonment releases borrow	O(1) amortized next; O(bytes) traversal	Source byte order; character indices are byte offsets	Decode mode	Safe UTF-8 decoder cursor	X; byte loop is E but validated scalar cursor absent	Decoder correctness, exact index progression, and early abandonment	RUST-1.97.0-API-INVENTORY.tsv item_path=std::str members=bytes,chars,char_indices; helpers=alloc::str::Bytes,alloc::str::Chars,alloc::str::CharIndices
TEXT-UTF16-01	text_encoding	str::encode_utf16; helper=EncodeUtf16	Valid UTF-8 view	Shared borrow	Iterator of UTF-16 code units	Iterator retains source borrow	Abandonment releases borrow	O(output units)	Unicode scalar order preserved; supplementary scalars expand to surrogate pairs	UTF-16 encoding	Safe transcoding cursor	X	Canonical scalar decoding/encoding, expansion bounds, and cursor state	RUST-1.97.0-API-INVENTORY.tsv item_path=std::str member=encode_utf16
