schema_version	capability_id	mapping_kind	route_class	basis_authority_ids	route_ids	alias_target_ids	evidence_status	constructive_derivation	structural_cost
privileged-basis-crosswalk-v2	AB-STATEFUL	CAPABILITY	ORDINARY_PROTOCOL	R-1,R-2,R-3	PROTOCOL-OPAQUE-OWNER,PROTOCOL-STORED-BORROW	NONE	PAPER_DERIVED	An opaque protocol stores arbitrary declared state while every exported transition proves the next exact invariant and retained provenance.	Only algorithm-selected runtime state.
privileged-basis-crosswalk-v2	AB-GENERIC	CAPABILITY	ORDINARY_PROTOCOL	R-1,R-3,R-6	PROTOCOL-OPAQUE-OWNER	NONE	PAPER_DERIVED	Static type and behavior parameters specialize one checked definition without bypassing ownership or facts.	Monomorphized direct code; code-size growth remains charged.
privileged-basis-crosswalk-v2	IT-SHARED	CAPABILITY	ORDINARY_PROTOCOL	R-1,R-2,R-3	PROTOCOL-CURSOR-SHARED	NONE	PAPER_DERIVED	The cursor holds a shared source loan and exact remaining footprint while yielded borrows retain source provenance.	No intermediate collection or per-element allocation.
privileged-basis-crosswalk-v2	IT-UNIQ	CAPABILITY	ORDINARY_PROTOCOL	R-1,R-2,R-3	PROTOCOL-CURSOR-UNIQ	NONE	PAPER_DERIVED	The cursor partitions exact disjoint unique footprints and returns every child with bounded authority.	No runtime borrow table on the static path.
privileged-basis-crosswalk-v2	IT-OWN	CAPABILITY	ORDINARY_PROTOCOL	R-1,R-2,R-3	PROTOCOL-CURSOR-OWN,PROTOCOL-PLAN-DISPOSE	NONE	PAPER_DERIVED	The cursor takes each yielded owner and its verified plan disposes the exact unconsumed remainder.	One move per yield and exact remaining cleanup.
privileged-basis-crosswalk-v2	IT-COMPOSE	CAPABILITY	ORDINARY_PROTOCOL	R-1,R-2,R-3,R-6	PROTOCOL-CURSOR-SHARED,PROTOCOL-CURSOR-UNIQ,PROTOCOL-CURSOR-OWN,CALLABLE-USER	NONE	PAPER_DERIVED	Nested cursor protocols compose finite source maps and exact terminal, early-stop, error, and abandonment obligations.	Only adapter state and direct calls; no mandatory materialization.
privileged-basis-crosswalk-v2	FT-STATE	CAPABILITY	PROOF_FACT	R-1,R-3,R-6	FACT-STATE	NONE	PAPER_DERIVED	The verified invariant proposition is bound to exact owner version and final code and is invalidated by every named mutation.	Proof state erases; required checks remain without proof.
privileged-basis-crosswalk-v2	FT-REFINE	CAPABILITY	PROOF_FACT	R-1,R-3,R-6	FACT-STATE	NONE	PAPER_DERIVED	The refinement proof is tied to exact bytes, producer, scope, invalidators, and final code.	No runtime tag unless selected validation requires one.
privileged-basis-crosswalk-v2	FT-IDENTITY	CAPABILITY	PROOF_FACT	R-2,R-6	FACT-STATE	NONE	PAPER_DERIVED	Identity and epoch facts arise only from checked transitions and remain scoped to their exact root and final code.	No hidden lookup.
privileged-basis-crosswalk-v2	FT-BORROW	CAPABILITY	PROOF_FACT	R-1,R-2,R-6	FACT-BORROW	NONE	PAPER_DERIVED	Loan and disjointness facts retain exact root, footprint, region, and invalidator provenance through lowering.	Proof metadata erases.
privileged-basis-crosswalk-v2	FT-SHARED	CAPABILITY	PROOF_FACT	R-4,R-6	FACT-STATE	NONE	PAPER_DERIVED	A concurrent fact follows only from the fixed atomic and interference model under the exact target memory profile.	No stronger ordering than the selected algorithm.
privileged-basis-crosswalk-v2	NT-FIXED	CAPABILITY	PERFORMANCE_OBLIGATION	NONE	PERF-PROTECTED-PENDING	NONE	PENDING_MEASUREMENT	The fixed full-buffer control must retain unchanged source, layout, optimized body, and structural counters under any later implementation.	No measured or generated-code PASS exists; no universal storage-mode field is permitted.
privileged-basis-crosswalk-v2	NT-P2	CAPABILITY	PERFORMANCE_OBLIGATION	NONE	PERF-PROTECTED-PENDING	NONE	PENDING_MEASUREMENT	The append-only pool control must retain the bounds-only access path without generation, recycling, sparse, sharing, or relocation machinery.	No measured or generated-code PASS exists; no runtime policy flag is permitted.
privileged-basis-crosswalk-v2	FL-ARITH	ALIAS	ALIAS	NONE	NONE	FL-CAPACITY	ALIAS_ONLY	Dense-lock alias for checked size, capacity, and layout arithmetic.	Exactly the target capability cost; the alias adds no authority.
privileged-basis-crosswalk-v2	FL-BEHAVIOR	ALIAS	ALIAS	NONE	NONE	FL-CALLBACK	ALIAS_ONLY	Dense-lock alias for exact behavior-call outcomes and abort safety.	Exactly the target capability cost; the alias adds no authority.
privileged-basis-crosswalk-v2	AB-STATIC	ALIAS	ALIAS	NONE	NONE	AB-BEHAVIOR,AB-GENERIC	ALIAS_ONLY	Dense-lock alias for statically selected monomorphized behavior.	Direct specialized call; the alias adds no authority.
privileged-basis-crosswalk-v2	NONE	NEGATIVE_SENTINEL	NEGATIVE_DISPOSITION	NONE	NEG-INAPPLICABLE-CONTEXT,NEG-LATER-DOMAIN,NEG-POLICY-CONDITIONAL,NEG-STATIC-REJECTION,NEG-UNKNOWN-LENGTH	NONE	NEGATIVE_ONLY	This sentinel requires an exact row-level negative, inapplicability, blocker, or dependency disposition and never counts as a derived positive capability.	No runtime or performance credit.
