algorithm_id	operation_gate_id	member_contract_id	contract_ids	exact_trigger_and_prestate	exact_commit_and_poststate	behavior_schedule	allocation_and_capacity_rule	resource_ceiling	rust_reference_route_id	member_declaration_sha256	status
ALG-119313729C593D63D176	OPG-119313729C593D63D176	DENSE-VIEW-GET-UNIQ	DENSE-VIEW-GET-UNIQ::VIEW-GET-02::COMMON-NON-OD1::ABSENT,DENSE-VIEW-GET-UNIQ::VIEW-GET-02::COMMON-NON-OD1::PRESENT	DENSE-VIEW-GET-UNIQ::VIEW-GET-02::COMMON-NON-OD1::ABSENT: trigger=Requested element, range, chunk, or endpoint does not exist.; pre=VIEW is valid and uniquely borrowed; INDEX/RANGE is supplied. || DENSE-VIEW-GET-UNIQ::VIEW-GET-02::COMMON-NON-OD1::PRESENT: trigger=Requested element, range, chunk, or endpoint exists.; pre=VIEW is valid and uniquely borrowed; INDEX/RANGE is supplied.	DENSE-VIEW-GET-UNIQ::VIEW-GET-02::COMMON-NON-OD1::ABSENT: commit=NO_DESTRUCTIVE_COMMIT; post=In bounds returns Some unique receiver-rooted borrow; out of bounds returns None.; equation=BASE1=BASE0; no borrow or owner is created. || DENSE-VIEW-GET-UNIQ::VIEW-GET-02::COMMON-NON-OD1::PRESENT: commit=NO_DESTRUCTIVE_COMMIT; post=In bounds returns Some unique receiver-rooted borrow; out of bounds returns None.; equation=BASE1=BASE0 and result.root=A0 and result.version=V0.	DENSE-VIEW-GET-UNIQ::VIEW-GET-02::COMMON-NON-OD1::ABSENT: Index behavior is statically selected and direct. Outcome branch calls: ZERO. || DENSE-VIEW-GET-UNIQ::VIEW-GET-02::COMMON-NON-OD1::PRESENT: Index behavior is statically selected and direct. Outcome branch calls: ZERO.	DENSE-VIEW-GET-UNIQ::VIEW-GET-02::COMMON-NON-OD1::ABSENT: ALLOC(BASE)=A0 || DENSE-VIEW-GET-UNIQ::VIEW-GET-02::COMMON-NON-OD1::PRESENT: ALLOC(BASE)=A0	DENSE-VIEW-GET-UNIQ::VIEW-GET-02::COMMON-NON-OD1::ABSENT: O(1); zero allocation. || DENSE-VIEW-GET-UNIQ::VIEW-GET-02::COMMON-NON-OD1::PRESENT: O(1); zero allocation.	REF-RUST-VEC	0f09974ecf97ae75ae6409d4994c920c0cf69efb7198b5ea3881a27b2b17ef18	FROZEN_PROTOCOL
ALG-12ACAC0E1E3A3C7E1A74	OPG-12ACAC0E1E3A3C7E1A74	DENSE-DROP	DENSE-DROP::TRAIT-DROP-01::COMMON-NON-OD1::OWNER_DESTROYED	DENSE-DROP::TRAIT-DROP-01::COMMON-NON-OD1::OWNER_DESTROYED: trigger=The sole BASE owner is destroyed.; pre=BASE is the sole valid dense owner.	DENSE-DROP::TRAIT-DROP-01::COMMON-NON-OD1::OWNER_DESTROYED: commit=DESTROY_LIVE_PREFIX_THEN_RELEASE; post=BASE is dead; exactly [0,len) is destroyed and its allocation is released once when present.; equation=Exactly len live owners are destroyed in declared order; spare slots are untouched.	DENSE-DROP::TRAIT-DROP-01::COMMON-NON-OD1::OWNER_DESTROYED: Each payload destructor runs in increasing logical index order. Outcome branch calls: EXACT_DESTRUCTOR_COUNT.	DENSE-DROP::TRAIT-DROP-01::COMMON-NON-OD1::OWNER_DESTROYED: A0 released once when present	DENSE-DROP::TRAIT-DROP-01::COMMON-NON-OD1::OWNER_DESTROYED: O(len) destructions; one release; no spare-capacity scan.	REF-RUST-VEC	49c0f7a339432d47e5a12382a6113d382dc39264be5b721a1d43b627d817b658	FROZEN_PROTOCOL
ALG-15E1826C5904C32377F3	OPG-15E1826C5904C32377F3	DENSE-REVERSE	DENSE-REVERSE::VIEW-REORDER-01::COMMON-NON-OD1::SUCCESS	DENSE-REVERSE::VIEW-REORDER-01::COMMON-NON-OD1::SUCCESS: trigger=All member preconditions hold.; pre=VIEW is valid and uniquely borrowed.	DENSE-REVERSE::VIEW-REORDER-01::COMMON-NON-OD1::SUCCESS: commit=NO_DESTRUCTIVE_COMMIT; post=Owners appear in exact reverse order; each owner remains unique.; equation=ValidDense(BASE1) and ordered values equal the member transformation of BASE0.	DENSE-REVERSE::VIEW-REORDER-01::COMMON-NON-OD1::SUCCESS: ZERO Outcome branch calls: ZERO.	DENSE-REVERSE::VIEW-REORDER-01::COMMON-NON-OD1::SUCCESS: ALLOC(BASE)=A0	DENSE-REVERSE::VIEW-REORDER-01::COMMON-NON-OD1::SUCCESS: floor(len/2) swaps; zero allocation.	REF-RUST-VEC	7b5508a5f37025fbaa625c65e9ce96634c68fb06efc43034c47cb602c878f9bd	FROZEN_PROTOCOL
ALG-182934C072B9342BB6E2	OPG-182934C072B9342BB6E2	DENSE-OWNER-VIEW	DENSE-OWNER-VIEW::SEQ-VIEW-01::COMMON-NON-OD1::SUCCESS,DENSE-OWNER-VIEW::TRAIT-BORROW-01::COMMON-NON-OD1::SUCCESS,DENSE-OWNER-VIEW::TRAIT-DEREF-01::COMMON-NON-OD1::SUCCESS	DENSE-OWNER-VIEW::SEQ-VIEW-01::COMMON-NON-OD1::SUCCESS: trigger=All member preconditions hold.; pre=BASE is valid and borrow mode is fixed. || DENSE-OWNER-VIEW::TRAIT-BORROW-01::COMMON-NON-OD1::SUCCESS: trigger=All member preconditions hold.; pre=BASE is valid and borrow mode is fixed. || DENSE-OWNER-VIEW::TRAIT-DEREF-01::COMMON-NON-OD1::SUCCESS: trigger=All member preconditions hold.; pre=BASE is valid and borrow mode is fixed.	DENSE-OWNER-VIEW::SEQ-VIEW-01::COMMON-NON-OD1::SUCCESS: commit=NO_DESTRUCTIVE_COMMIT; post=Returns a receiver-rooted contiguous view of exactly [0,len).; equation=ValidDense(BASE1) and ordered values equal the member transformation of BASE0. || DENSE-OWNER-VIEW::TRAIT-BORROW-01::COMMON-NON-OD1::SUCCESS: commit=NO_DESTRUCTIVE_COMMIT; post=Returns a receiver-rooted contiguous view of exactly [0,len).; equation=ValidDense(BASE1) and ordered values equal the member transformation of BASE0. || DENSE-OWNER-VIEW::TRAIT-DEREF-01::COMMON-NON-OD1::SUCCESS: commit=NO_DESTRUCTIVE_COMMIT; post=Returns a receiver-rooted contiguous view of exactly [0,len).; equation=ValidDense(BASE1) and ordered values equal the member transformation of BASE0.	DENSE-OWNER-VIEW::SEQ-VIEW-01::COMMON-NON-OD1::SUCCESS: ZERO Outcome branch calls: ZERO. || DENSE-OWNER-VIEW::TRAIT-BORROW-01::COMMON-NON-OD1::SUCCESS: ZERO Outcome branch calls: ZERO. || DENSE-OWNER-VIEW::TRAIT-DEREF-01::COMMON-NON-OD1::SUCCESS: ZERO Outcome branch calls: ZERO.	DENSE-OWNER-VIEW::SEQ-VIEW-01::COMMON-NON-OD1::SUCCESS: ALLOC(BASE)=A0 || DENSE-OWNER-VIEW::TRAIT-BORROW-01::COMMON-NON-OD1::SUCCESS: ALLOC(BASE)=A0 || DENSE-OWNER-VIEW::TRAIT-DEREF-01::COMMON-NON-OD1::SUCCESS: ALLOC(BASE)=A0	DENSE-OWNER-VIEW::SEQ-VIEW-01::COMMON-NON-OD1::SUCCESS: O(1); zero allocation. || DENSE-OWNER-VIEW::TRAIT-BORROW-01::COMMON-NON-OD1::SUCCESS: O(1); zero allocation. || DENSE-OWNER-VIEW::TRAIT-DEREF-01::COMMON-NON-OD1::SUCCESS: O(1); zero allocation.	REF-RUST-VEC	66749f6fb0a34d61b3fae85017f823c5f23abd20c77a205054652d9cfcb613d6	FROZEN_PROTOCOL
ALG-1CAB74B37EC1E9F7D54F	OPG-1CAB74B37EC1E9F7D54F	DENSE-SHRINK-TO-FIT	DENSE-SHRINK-TO-FIT::SEQ-SHRINK-01::COMMON-NON-OD1::SUCCESS_NO_CHANGE,DENSE-SHRINK-TO-FIT::SEQ-SHRINK-01::COMMON-NON-OD1::SUCCESS_RELOCATE	DENSE-SHRINK-TO-FIT::SEQ-SHRINK-01::COMMON-NON-OD1::SUCCESS_NO_CHANGE: trigger=Requested shrink does not reduce allocator-backed capacity.; pre=BASE is valid; no payload borrow is live. || DENSE-SHRINK-TO-FIT::SEQ-SHRINK-01::COMMON-NON-OD1::SUCCESS_RELOCATE: trigger=Shrink uses a replacement allocation or changed allocation root.; pre=BASE is valid; no payload borrow is live.	DENSE-SHRINK-TO-FIT::SEQ-SHRINK-01::COMMON-NON-OD1::SUCCESS_NO_CHANGE: commit=NO_DESTRUCTIVE_COMMIT; post=Capacity becomes allocator-supported exact len or remains valid if already tight; values/order preserved.; equation=BASE1=BASE0. || DENSE-SHRINK-TO-FIT::SEQ-SHRINK-01::COMMON-NON-OD1::SUCCESS_RELOCATE: commit=COMMIT_AFTER_ALL_VALUES_RELOCATE; post=Capacity becomes allocator-supported exact len or remains valid if already tight; values/order preserved.; equation=Values and order preserved; every old-root fact invalidated.	DENSE-SHRINK-TO-FIT::SEQ-SHRINK-01::COMMON-NON-OD1::SUCCESS_NO_CHANGE: ZERO Outcome branch calls: ZERO. || DENSE-SHRINK-TO-FIT::SEQ-SHRINK-01::COMMON-NON-OD1::SUCCESS_RELOCATE: ZERO Outcome branch calls: ZERO.	DENSE-SHRINK-TO-FIT::SEQ-SHRINK-01::COMMON-NON-OD1::SUCCESS_NO_CHANGE: ALLOC(BASE)=A0 || DENSE-SHRINK-TO-FIT::SEQ-SHRINK-01::COMMON-NON-OD1::SUCCESS_RELOCATE: ALLOC(BASE')=A1;A0=released	DENSE-SHRINK-TO-FIT::SEQ-SHRINK-01::COMMON-NON-OD1::SUCCESS_NO_CHANGE: O(len) only if relocating; at most one replacement allocation. || DENSE-SHRINK-TO-FIT::SEQ-SHRINK-01::COMMON-NON-OD1::SUCCESS_RELOCATE: O(len) only if relocating; at most one replacement allocation.	REF-RUST-VEC	0d2b6451238ed44a36780877e699c59ab4f7e2d42d8b7637c92574bb1d6e5a6f	FROZEN_PROTOCOL
ALG-1FBB44DF8DE5218A411E	OPG-1FBB44DF8DE5218A411E	DENSE-EAGER-SPLICE	DENSE-EAGER-SPLICE::SEQ-SPLICE-01::OD-1-RECOVERABLE-MUTATORS::SUCCESS_GROW,DENSE-EAGER-SPLICE::SEQ-SPLICE-01::OD-1-RECOVERABLE-MUTATORS::SUCCESS_NO_GROW	DENSE-EAGER-SPLICE::SEQ-SPLICE-01::OD-1-RECOVERABLE-MUTATORS::SUCCESS_GROW: trigger=All recoverable preparation succeeds before the first destructive commit.; pre=BASE is valid; RANGE is checked; PRODUCER is finite and owned. || DENSE-EAGER-SPLICE::SEQ-SPLICE-01::OD-1-RECOVERABLE-MUTATORS::SUCCESS_NO_GROW: trigger=Required capacity is already available.; pre=BASE is valid; RANGE is checked; PRODUCER is finite and owned.	DENSE-EAGER-SPLICE::SEQ-SPLICE-01::OD-1-RECOVERABLE-MUTATORS::SUCCESS_GROW: commit=LAST_RECOVERABLE_POINT_BEFORE_ANY_OWNER_MOVE; post=Returns valid BASE with replacements in order and a valid owner of removed values in original order.; equation=All old and offered owners reach exactly one post-state role. || DENSE-EAGER-SPLICE::SEQ-SPLICE-01::OD-1-RECOVERABLE-MUTATORS::SUCCESS_NO_GROW: commit=VALUE_OR_RANGE_COMMIT; post=Returns valid BASE with replacements in order and a valid owner of removed values in original order.; equation=Every offered owner has exactly one declared destination.	DENSE-EAGER-SPLICE::SEQ-SPLICE-01::OD-1-RECOVERABLE-MUTATORS::SUCCESS_GROW: PRODUCER next calls are ordered; each yielded owner is consumed once; remaining producer state is destroyed once. Outcome branch calls: DECLARED_MEMBER_COUNT. || DENSE-EAGER-SPLICE::SEQ-SPLICE-01::OD-1-RECOVERABLE-MUTATORS::SUCCESS_NO_GROW: PRODUCER next calls are ordered; each yielded owner is consumed once; remaining producer state is destroyed once. Outcome branch calls: DECLARED_MEMBER_COUNT.	DENSE-EAGER-SPLICE::SEQ-SPLICE-01::OD-1-RECOVERABLE-MUTATORS::SUCCESS_GROW: ALLOC(BASE')=A1;A0 released once || DENSE-EAGER-SPLICE::SEQ-SPLICE-01::OD-1-RECOVERABLE-MUTATORS::SUCCESS_NO_GROW: ALLOC(BASE')=A0	DENSE-EAGER-SPLICE::SEQ-SPLICE-01::OD-1-RECOVERABLE-MUTATORS::SUCCESS_GROW: O(n+r) moves; at most one BASE growth allocation and one removed-output allocation; no per-item allocation. || DENSE-EAGER-SPLICE::SEQ-SPLICE-01::OD-1-RECOVERABLE-MUTATORS::SUCCESS_NO_GROW: O(n+r) moves; at most one BASE growth allocation and one removed-output allocation; no per-item allocation.	REF-RUST-SPLICE	a60d02f45ad4b1487f35df59461ffe7fff19848ad6775500704ca0bcf9bd997d	FROZEN_PROTOCOL
ALG-2BCE0119C0833F66BA0D	OPG-2BCE0119C0833F66BA0D	DENSE-INDEX-UNIQ	DENSE-INDEX-UNIQ::TRAIT-INDEX-01::COMMON-NON-OD1::SUCCESS	DENSE-INDEX-UNIQ::TRAIT-INDEX-01::COMMON-NON-OD1::SUCCESS: trigger=All member preconditions hold.; pre=VIEW is valid and uniquely borrowed; INDEX/RANGE is supplied.	DENSE-INDEX-UNIQ::TRAIT-INDEX-01::COMMON-NON-OD1::SUCCESS: commit=NO_DESTRUCTIVE_COMMIT; post=In bounds returns receiver-rooted unique result; out of bounds traps before access.; equation=ValidDense(BASE1) and ordered values equal the member transformation of BASE0.	DENSE-INDEX-UNIQ::TRAIT-INDEX-01::COMMON-NON-OD1::SUCCESS: Index behavior is statically selected and direct. Outcome branch calls: BASE_CONTRACT_EXACT_COUNT.	DENSE-INDEX-UNIQ::TRAIT-INDEX-01::COMMON-NON-OD1::SUCCESS: ALLOC(BASE)=A0	DENSE-INDEX-UNIQ::TRAIT-INDEX-01::COMMON-NON-OD1::SUCCESS: O(1); zero allocation.	REF-RUST-VEC	5dfc5f6ece0c09f909a16924b7fdc6415d473b488b5dbf0fac8a0327fafb6260	FROZEN_PROTOCOL
ALG-2DB7FAD49FA28C5DFE54	OPG-2DB7FAD49FA28C5DFE54	DENSE-EXTEND-WITHIN	DENSE-EXTEND-WITHIN::SEQ-EXTEND-COPY-01::OD-1-RESERVE-FIRST::SUCCESS_GROW,DENSE-EXTEND-WITHIN::SEQ-EXTEND-COPY-01::OD-1-RESERVE-FIRST::SUCCESS_NO_GROW	DENSE-EXTEND-WITHIN::SEQ-EXTEND-COPY-01::OD-1-RESERVE-FIRST::SUCCESS_GROW: trigger=Growth arithmetic succeeds and divergent allocation succeeds.; pre=BASE is valid; source range is in its pre-call live prefix; Clone is available. || DENSE-EXTEND-WITHIN::SEQ-EXTEND-COPY-01::OD-1-RESERVE-FIRST::SUCCESS_NO_GROW: trigger=Required capacity is already available.; pre=BASE is valid; source range is in its pre-call live prefix; Clone is available.	DENSE-EXTEND-WITHIN::SEQ-EXTEND-COPY-01::OD-1-RESERVE-FIRST::SUCCESS_GROW: commit=NEW_ALLOCATION_OWNED_BEFORE_RELOCATION;OFFERED_COMMIT_AFTER_CAPACITY; post=BASE appends clones of the pre-call source range in source order.; equation=All old and offered owners reach exactly one post-state role. || DENSE-EXTEND-WITHIN::SEQ-EXTEND-COPY-01::OD-1-RESERVE-FIRST::SUCCESS_NO_GROW: commit=VALUE_OR_RANGE_COMMIT; post=BASE appends clones of the pre-call source range in source order.; equation=Every offered owner has exactly one declared destination.	DENSE-EXTEND-WITHIN::SEQ-EXTEND-COPY-01::OD-1-RESERVE-FIRST::SUCCESS_GROW: Exactly source-range length clone calls in order; source indices refer to the pre-call prefix. Outcome branch calls: DECLARED_MEMBER_COUNT. || DENSE-EXTEND-WITHIN::SEQ-EXTEND-COPY-01::OD-1-RESERVE-FIRST::SUCCESS_NO_GROW: Exactly source-range length clone calls in order; source indices refer to the pre-call prefix. Outcome branch calls: DECLARED_MEMBER_COUNT.	DENSE-EXTEND-WITHIN::SEQ-EXTEND-COPY-01::OD-1-RESERVE-FIRST::SUCCESS_GROW: ALLOC(BASE')=A1;A0 released once || DENSE-EXTEND-WITHIN::SEQ-EXTEND-COPY-01::OD-1-RESERVE-FIRST::SUCCESS_NO_GROW: ALLOC(BASE')=A0	DENSE-EXTEND-WITHIN::SEQ-EXTEND-COPY-01::OD-1-RESERVE-FIRST::SUCCESS_GROW: O(range length); at most one growth allocation. || DENSE-EXTEND-WITHIN::SEQ-EXTEND-COPY-01::OD-1-RESERVE-FIRST::SUCCESS_NO_GROW: O(range length); at most one growth allocation.	REF-RUST-VEC	df56c59d330609fc30dff813f1955b5ca8bc298b8c451076a50076026d9db3c1	FROZEN_PROTOCOL
ALG-2E2D37D7B0074A63DD2F	OPG-2E2D37D7B0074A63DD2F	DENSE-INTO-FLATTENED	DENSE-INTO-FLATTENED::SEQ-CONVERT-01::COMMON-NON-OD1::SUCCESS	DENSE-INTO-FLATTENED::SEQ-CONVERT-01::COMMON-NON-OD1::SUCCESS: trigger=All member preconditions hold.; pre=BASE owns a dense sequence of fixed arrays [T;N].	DENSE-INTO-FLATTENED::SEQ-CONVERT-01::COMMON-NON-OD1::SUCCESS: commit=NO_DESTRUCTIVE_COMMIT; post=Returns one dense owner of T in row-major order without duplicating any payload owner.; equation=ValidDense(BASE1) and ordered values equal the member transformation of BASE0.	DENSE-INTO-FLATTENED::SEQ-CONVERT-01::COMMON-NON-OD1::SUCCESS: ZERO Outcome branch calls: ZERO.	DENSE-INTO-FLATTENED::SEQ-CONVERT-01::COMMON-NON-OD1::SUCCESS: ALLOC(BASE)=A0	DENSE-INTO-FLATTENED::SEQ-CONVERT-01::COMMON-NON-OD1::SUCCESS: O(1) representation conversion when len*N fits; zero payload traffic.	REF-RUST-VEC	64a4d18b6c24fb360f7d6cb7cfb98f17227fda458e307491fca146c09926096a	FROZEN_PROTOCOL
ALG-306585707A267DC6CCAD	OPG-306585707A267DC6CCAD	DENSE-VIEW-DISJOINT-UNIQ	DENSE-VIEW-DISJOINT-UNIQ::VIEW-DISJOINT-01::COMMON-NON-OD1::SUCCESS	DENSE-VIEW-DISJOINT-UNIQ::VIEW-DISJOINT-01::COMMON-NON-OD1::SUCCESS: trigger=All member preconditions hold.; pre=VIEW is uniquely borrowed; finite requested footprints are supplied.	DENSE-VIEW-DISJOINT-UNIQ::VIEW-DISJOINT-01::COMMON-NON-OD1::SUCCESS: commit=NO_DESTRUCTIVE_COMMIT; post=Success returns pairwise-disjoint unique borrows; duplicate/overlap/out-of-bounds returns checked error with no child.; equation=ValidDense(BASE1) and ordered values equal the member transformation of BASE0.	DENSE-VIEW-DISJOINT-UNIQ::VIEW-DISJOINT-01::COMMON-NON-OD1::SUCCESS: ZERO Outcome branch calls: ZERO.	DENSE-VIEW-DISJOINT-UNIQ::VIEW-DISJOINT-01::COMMON-NON-OD1::SUCCESS: ALLOC(BASE)=A0	DENSE-VIEW-DISJOINT-UNIQ::VIEW-DISJOINT-01::COMMON-NON-OD1::SUCCESS: O(k log k) or frozen checked distinctness ceiling; zero allocation for frozen small arity.	REF-RUST-VEC	044506d42874ac872076b6c1a93345a1d99e951c43b9e0821e30c05465593ef5	FROZEN_PROTOCOL
ALG-323668E4663E77048ECE	OPG-323668E4663E77048ECE	DENSE-RESERVE	DENSE-RESERVE::SEQ-RESERVE-01::COMMON-NON-OD1::SUCCESS_GROW,DENSE-RESERVE::SEQ-RESERVE-01::COMMON-NON-OD1::SUCCESS_NO_GROW	DENSE-RESERVE::SEQ-RESERVE-01::COMMON-NON-OD1::SUCCESS_GROW: trigger=len+additional>capacity and allocation succeeds.; pre=BASE is valid; ADDITIONAL is checked; no payload borrow is live. || DENSE-RESERVE::SEQ-RESERVE-01::COMMON-NON-OD1::SUCCESS_NO_GROW: trigger=len+additional<=capacity.; pre=BASE is valid; ADDITIONAL is checked; no payload borrow is live.	DENSE-RESERVE::SEQ-RESERVE-01::COMMON-NON-OD1::SUCCESS_GROW: commit=COMMIT_AFTER_NEW_OWNER_AND_ALL_RELOCATIONS; post=Returns BASE with capacity>=len+ADDITIONAL; values and order are preserved.; equation=Values(BASE')=Values(BASE); root A1 and version V1 are fresh even when numerical address is reused. || DENSE-RESERVE::SEQ-RESERVE-01::COMMON-NON-OD1::SUCCESS_NO_GROW: commit=NO_DESTRUCTIVE_COMMIT; post=Returns BASE with capacity>=len+ADDITIONAL; values and order are preserved.; equation=BASE1=BASE0.	DENSE-RESERVE::SEQ-RESERVE-01::COMMON-NON-OD1::SUCCESS_GROW: ZERO Outcome branch calls: ZERO. || DENSE-RESERVE::SEQ-RESERVE-01::COMMON-NON-OD1::SUCCESS_NO_GROW: ZERO Outcome branch calls: ZERO.	DENSE-RESERVE::SEQ-RESERVE-01::COMMON-NON-OD1::SUCCESS_GROW: ALLOC(BASE')=A1;A0=released || DENSE-RESERVE::SEQ-RESERVE-01::COMMON-NON-OD1::SUCCESS_NO_GROW: ALLOC(BASE)=A0	DENSE-RESERVE::SEQ-RESERVE-01::COMMON-NON-OD1::SUCCESS_GROW: O(len) only on growth; at most one allocation; geometric capacity policy. || DENSE-RESERVE::SEQ-RESERVE-01::COMMON-NON-OD1::SUCCESS_NO_GROW: O(len) only on growth; at most one allocation; geometric capacity policy.	REF-RUST-VEC	ebaedc905d93032c6fe263a595db6e9a4dde5dcd03fe343ae36e637a1fbe752b	FROZEN_PROTOCOL
ALG-33FE8394526D870FB1BC	OPG-33FE8394526D870FB1BC	DENSE-COLLECT	DENSE-COLLECT::TRAIT-COLLECT-01::OD-1-RESERVE-FIRST::SUCCESS	DENSE-COLLECT::TRAIT-COLLECT-01::OD-1-RESERVE-FIRST::SUCCESS: trigger=All member preconditions hold.; pre=PRODUCER is an owned finite iterator/protocol state.	DENSE-COLLECT::TRAIT-COLLECT-01::OD-1-RESERVE-FIRST::SUCCESS: commit=NO_DESTRUCTIVE_COMMIT; post=Returns one valid dense owner containing yielded owners in yield order; producer is destroyed once with remaining state.; equation=ValidDense(BASE1) and ordered values equal the member transformation of BASE0.	DENSE-COLLECT::TRAIT-COLLECT-01::OD-1-RESERVE-FIRST::SUCCESS: next is called in order until terminal None; no call duplication, fusion, or reordering. Outcome branch calls: BASE_CONTRACT_EXACT_COUNT.	DENSE-COLLECT::TRAIT-COLLECT-01::OD-1-RESERVE-FIRST::SUCCESS: ALLOC(BASE)=A0	DENSE-COLLECT::TRAIT-COLLECT-01::OD-1-RESERVE-FIRST::SUCCESS: O(n) calls and moves; geometric growth; at most one live dense allocation; no per-item allocation.	REF-RUST-VEC	08be970800e5230c397e707a0bb9db7f679fe53550cf1a3945592d46e760a80b	FROZEN_PROTOCOL
ALG-33FFBA180C6817D72796	OPG-33FFBA180C6817D72796	DENSE-ROTATE	DENSE-ROTATE::VIEW-REORDER-01::COMMON-NON-OD1::SUCCESS	DENSE-ROTATE::VIEW-REORDER-01::COMMON-NON-OD1::SUCCESS: trigger=All member preconditions hold.; pre=VIEW is uniquely borrowed; MID is supplied.	DENSE-ROTATE::VIEW-REORDER-01::COMMON-NON-OD1::SUCCESS: commit=NO_DESTRUCTIVE_COMMIT; post=When MID<=len, performs the exact left/right rotation permutation; otherwise traps before mutation.; equation=ValidDense(BASE1) and ordered values equal the member transformation of BASE0.	DENSE-ROTATE::VIEW-REORDER-01::COMMON-NON-OD1::SUCCESS: ZERO Outcome branch calls: ZERO.	DENSE-ROTATE::VIEW-REORDER-01::COMMON-NON-OD1::SUCCESS: ALLOC(BASE)=A0	DENSE-ROTATE::VIEW-REORDER-01::COMMON-NON-OD1::SUCCESS: O(len) moves/swaps; zero allocation.	REF-RUST-VEC	ed4a5fc01dd6be08b28eae9325d1e825e3333c11ace3196f053c725c17c57936	FROZEN_PROTOCOL
ALG-3EFC5DC1ABD26236FDDD	OPG-3EFC5DC1ABD26236FDDD	DENSE-WITH-CAPACITY	DENSE-WITH-CAPACITY::SEQ-META-01::COMMON-NON-OD1::SUCCESS	DENSE-WITH-CAPACITY::SEQ-META-01::COMMON-NON-OD1::SUCCESS: trigger=All member preconditions hold.; pre=REQUEST is a logical element capacity.	DENSE-WITH-CAPACITY::SEQ-META-01::COMMON-NON-OD1::SUCCESS: commit=NO_DESTRUCTIVE_COMMIT; post=Returns empty valid BASE with capacity>=REQUEST and one allocation when positive-size REQUEST requires it.; equation=ValidDense(BASE1) and ordered values equal the member transformation of BASE0.	DENSE-WITH-CAPACITY::SEQ-META-01::COMMON-NON-OD1::SUCCESS: ZERO Outcome branch calls: ZERO.	DENSE-WITH-CAPACITY::SEQ-META-01::COMMON-NON-OD1::SUCCESS: ALLOC(BASE)=A0	DENSE-WITH-CAPACITY::SEQ-META-01::COMMON-NON-OD1::SUCCESS: O(1) allocator calls; checked element-to-byte arithmetic.	REF-RUST-VEC	eadb820f089e020a28603be905332110a3037763903357596f943aee3bb32edc	FROZEN_PROTOCOL
ALG-3FE6C6DA2EE0B0F4DAB2	OPG-3FE6C6DA2EE0B0F4DAB2	DENSE-VIEW-END	DENSE-VIEW-END::VIEW-END-01::COMMON-NON-OD1::ABSENT,DENSE-VIEW-END::VIEW-END-01::COMMON-NON-OD1::PRESENT	DENSE-VIEW-END::VIEW-END-01::COMMON-NON-OD1::ABSENT: trigger=Requested element, range, chunk, or endpoint does not exist.; pre=VIEW is valid. || DENSE-VIEW-END::VIEW-END-01::COMMON-NON-OD1::PRESENT: trigger=Requested element, range, chunk, or endpoint exists.; pre=VIEW is valid.	DENSE-VIEW-END::VIEW-END-01::COMMON-NON-OD1::ABSENT: commit=NO_DESTRUCTIVE_COMMIT; post=Nonempty returns first/last receiver-rooted borrow; empty returns None.; equation=BASE1=BASE0; no borrow or owner is created. || DENSE-VIEW-END::VIEW-END-01::COMMON-NON-OD1::PRESENT: commit=NO_DESTRUCTIVE_COMMIT; post=Nonempty returns first/last receiver-rooted borrow; empty returns None.; equation=BASE1=BASE0 and result.root=A0 and result.version=V0.	DENSE-VIEW-END::VIEW-END-01::COMMON-NON-OD1::ABSENT: ZERO Outcome branch calls: ZERO. || DENSE-VIEW-END::VIEW-END-01::COMMON-NON-OD1::PRESENT: ZERO Outcome branch calls: ZERO.	DENSE-VIEW-END::VIEW-END-01::COMMON-NON-OD1::ABSENT: ALLOC(BASE)=A0 || DENSE-VIEW-END::VIEW-END-01::COMMON-NON-OD1::PRESENT: ALLOC(BASE)=A0	DENSE-VIEW-END::VIEW-END-01::COMMON-NON-OD1::ABSENT: O(1); zero allocation. || DENSE-VIEW-END::VIEW-END-01::COMMON-NON-OD1::PRESENT: O(1); zero allocation.	REF-RUST-VEC	8de7a2266f0afe66db60df3ce73fad6a8f035bbf94b8abc6b3a85d6a3c9aaeda	FROZEN_PROTOCOL
