contract_id	branch_id	route_scope	role	returns_borrow_bearing_owner	requires_result_provenance	condition	conditional_capability_ids	disposition	reopening_trigger
VIEW-SORT-01	KEY_RESULT_BORROW_STATE	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	yes	sort_by_key's produced key contains live borrow leaves; each produced key remains valid through every comparison and is destroyed exactly once. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-RESULT,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
VIEW-SORT-02	BORROW_BEARING_STORED_TRANSITION	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	The generic retained payload contains one or more shared or unique borrow leaves; the base matrix route applies only when that payload is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
VIEW-SORT-02	CALLABLE_ENV_BORROW_STATE	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	For the behavior-taking unstable-sort callable environment, the owned behavior environment contains live borrow leaves, remains valid for every permitted zero-or-more invocation path, and is destroyed exactly once including a not-invoked branch. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
VIEW-SORT-02	KEY_RESULT_BORROW_STATE	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	yes	sort_unstable_by_key's produced key contains live borrow leaves; each produced key remains valid through every comparison and is destroyed exactly once. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-RESULT,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
VIEW-SELECT-01	BORROW_BEARING_STORED_TRANSITION	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	The generic retained payload contains one or more shared or unique borrow leaves; the base matrix route applies only when that payload is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
VIEW-SELECT-01	CALLABLE_ENV_BORROW_STATE	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	For the behavior-taking selection callable environment, the owned behavior environment contains live borrow leaves, remains valid for every permitted zero-or-more invocation path, and is destroyed exactly once including a not-invoked branch. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
VIEW-SELECT-01	KEY_RESULT_BORROW_STATE	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	yes	select_nth_unstable_by_key's produced key contains live borrow leaves; each produced key remains valid through every comparison and is destroyed exactly once. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
VIEW-REORDER-01	BORROW_BEARING_STORED_TRANSITION	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	The generic retained payload contains one or more shared or unique borrow leaves; the base matrix route applies only when that payload is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
VIEW-SWAP-01	BORROW_BEARING_STORED_TRANSITION	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	The generic retained payload contains one or more shared or unique borrow leaves; the base matrix route applies only when that payload is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
VIEW-COPY-01	BORROW_BEARING_RANGE_DESCRIPTOR	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	copy_within consumes a user-defined RangeBounds descriptor R containing live borrow leaves and calls RangeBounds only while R is live. The same R outer owner remains valid across each normal call, but a shared-receiver call may end, replace, or move R's internal leaves only under the declared RangeBounds behavior-effect relation. Surviving leaves keep roots, ended leaves end once, new leaves are relation-authorized, and any unique transfer ends in R before destination liveness; temporary &R, field addresses, and call frames mint no root. Each later call consumes the preceding post-R state. R is destroyed exactly once; no returned cursor or payload provenance derives from R. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
VIEW-COPY-01	BORROW_BEARING_STORED_TRANSITION	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	The generic retained payload contains one or more shared or unique borrow leaves; the base matrix route applies only when that payload is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
VIEW-CLONE-01	BORROW_BEARING_STORED_TRANSITION	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	The generic retained payload contains one or more shared or unique borrow leaves; the base matrix route applies only when that payload is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
VIEW-CLONE-01	CLONE_FROM_BORROW_EFFECT	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	clone_from_slice invokes Clone::clone_from for each live destination. clone_from returns no T. The same Clone source and destination owners remain valid on normal return, but Clone::clone_from may end, replace, or move their internal borrow leaves under the declared Clone source and destination behavior-effect relation. Post-call source and destination leaves jointly follow that relation: surviving leaves keep their roots, every overwritten or otherwise ended leaf ends once, every new leaf is authorized, and a unique leaf transferred from source to destination ends in source before destination liveness and is never simultaneously live in both. Reused destination allocation or storage grants no provenance. For repeated helper calls, call i + 1 consumes call i's post-source state rather than a frozen original source leaf map.  The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
VIEW-FILL-01	BORROW_BEARING_STORED_TRANSITION	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	The generic retained payload contains one or more shared or unique borrow leaves; the base matrix route applies only when that payload is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
VIEW-FILL-01	CALLABLE_ENV_BORROW_STATE	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	For fill_with's producer environment, the owned behavior environment contains live borrow leaves, remains valid for every permitted zero-or-more invocation path, and is destroyed exactly once including a not-invoked branch. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
VIEW-FILL-01	CLONE_FROM_BORROW_EFFECT	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	slice::fill invokes Clone::clone_from on each nonfinal live destination. clone_from returns no T. The same Clone source and destination owners remain valid on normal return, but Clone::clone_from may end, replace, or move their internal borrow leaves under the declared Clone source and destination behavior-effect relation. Post-call source and destination leaves jointly follow that relation: surviving leaves keep their roots, every overwritten or otherwise ended leaf ends once, every new leaf is authorized, and a unique leaf transferred from source to destination ends in source before destination liveness and is never simultaneously live in both. Reused destination allocation or storage grants no provenance. For repeated helper calls, call i + 1 consumes call i's post-source state rather than a frozen original source leaf map.  The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
VIEW-FILL-01	PRODUCER_RESULT_BORROW_STATE	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	yes	fill_with stores each T returned by its FnMut producer. Every live borrow leaf in a produced T follows the callable result-provenance relation and never derives from a temporary destination reborrow, callable receiver, or call frame. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-RESULT,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
VIEW-ALLOC-01	BORROW_BEARING_OWNED_RESULT	REGION_FREE_BORROW_FREE	BORROW_BEARING_RESULT	yes	yes	slice::into_vec transfers existing payload owners and preserves each live borrow leaf root, while slice::to_vec obtains every produced T through the declared Clone result-provenance relation; a Clone result may select, swap, or coalesce independent roots but may not derive from temporary source-view, receiver, allocation, or call-frame storage. The same Clone source owner remains valid on normal return, but Clone may end, replace, or move its internal borrow leaves under the declared Clone source behavior-effect relation. Post-call source leaves and result leaves jointly follow that source-effect relation and the Clone result-provenance relation: surviving source leaves keep their roots, every ended leaf ends once, every new leaf is authorized, and a unique leaf transferred to the result ends in the source before result liveness and is never simultaneously live in both. For repeated helper calls, call i + 1 consumes call i's post-source state rather than a frozen original source leaf map.  The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-RESULT,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
VIEW-CONCAT-01	BORROW_BEARING_OWNED_RESULT	REGION_FREE_BORROW_FREE	BORROW_BEARING_RESULT	yes	yes	Every borrow-bearing element produced by concat, join, connect, or repeat follows the selected Concat, Join, Copy, or Clone result-provenance relation; no produced leaf derives from temporary source-view, receiver, output-allocation, or call-frame storage. The Clone branches additionally obey this source effect; Copy repeat is excluded. The same Clone source owner remains valid on normal return, but Clone may end, replace, or move its internal borrow leaves under the declared Clone source behavior-effect relation. Post-call source leaves and result leaves jointly follow that source-effect relation and the Clone result-provenance relation: surviving source leaves keep their roots, every ended leaf ends once, every new leaf is authorized, and a unique leaf transferred to the result ends in the source before result liveness and is never simultaneously live in both. For repeated helper calls, call i + 1 consumes call i's post-source state rather than a frozen original source leaf map.  The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-RESULT,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
INIT-WRITE-01	BORROW_BEARING_STORED_TRANSITION	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	The generic retained payload contains one or more shared or unique borrow leaves; the base matrix route applies only when that payload is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
INIT-WRITE-01	CLONE_RESULT_BORROW_STATE	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	yes	write_clone_of_slice stores each T returned by Clone::clone. Every live borrow leaf follows the declared Clone result-provenance relation and never derives from the temporary source view, destination storage, receiver, or call frame. The same Clone source owner remains valid on normal return, but Clone may end, replace, or move its internal borrow leaves under the declared Clone source behavior-effect relation. Post-call source leaves and result leaves jointly follow that source-effect relation and the Clone result-provenance relation: surviving source leaves keep their roots, every ended leaf ends once, every new leaf is authorized, and a unique leaf transferred to the result ends in the source before result liveness and is never simultaneously live in both. For repeated helper calls, call i + 1 consumes call i's post-source state rather than a frozen original source leaf map.  The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
TEXT-SEARCH-01	CALLABLE_ENV_BORROW_STATE	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	For the owned Pattern or searcher environment, the owned behavior environment contains live borrow leaves, remains valid for every permitted zero-or-more invocation path, and is destroyed exactly once including a not-invoked branch. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
TEXT-SEARCH-01	PATTERN_SEARCHER_BORROW_STATE	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	yes	Pattern::into_searcher produces operation-local searcher state containing live borrow leaves. Every leaf follows the Pattern result-provenance relation, remains live through all selected searcher calls, and never derives from the temporary Pattern receiver or call frame. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
TEXT-TRIM-01	CALLABLE_ENV_BORROW_STATE	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	For the owned Pattern environment, the owned behavior environment contains live borrow leaves, remains valid for every permitted zero-or-more invocation path, and is destroyed exactly once including a not-invoked branch. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
TEXT-TRIM-01	PATTERN_SEARCHER_BORROW_STATE	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	yes	The Pattern branch produces operation-local searcher state containing live borrow leaves. Every leaf follows the Pattern result-provenance relation, remains live through boundary matching, and never derives from the temporary Pattern receiver or call frame. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
TEXT-PARSE-01	ERROR_OWNED_BORROW_PAYLOAD	REGION_FREE_BORROW_FREE	BORROW_BEARING_RESULT	yes	yes	FromStr returns Err(Self::Err) as an owner or aggregate retaining independently valid static borrow leaves, including a promoted zero-sized empty-reference root; no result leaf can derive from the call-scoped input text, and empty footprint grants no storage or disjointness authority. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
TEXT-PARSE-01	SELF_OWNED_BORROW_PAYLOAD	REGION_FREE_BORROW_FREE	BORROW_BEARING_RESULT	yes	yes	FromStr returns Ok(Self) as an owner or aggregate retaining independently valid static borrow leaves, including a promoted zero-sized empty-reference root; no result leaf can derive from the call-scoped input text, and empty footprint grants no storage or disjointness authority. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
TEXT-REPLACE-01	CALLABLE_ENV_BORROW_STATE	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	For the owned Pattern environment, the owned behavior environment contains live borrow leaves, remains valid for every permitted zero-or-more invocation path, and is destroyed exactly once including a not-invoked branch. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
TEXT-REPLACE-01	PATTERN_SEARCHER_BORROW_STATE	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	yes	Pattern::into_searcher produces operation-local searcher state containing live borrow leaves. Every leaf follows the Pattern result-provenance relation, remains live through replacement matching, and never derives from the temporary Pattern receiver or call frame. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-RESULT,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
BOX-NEW-01	BORROW_BEARING_OWNED_RESULT	REGION_FREE_BORROW_FREE	BORROW_BEARING_RESULT	yes	yes	The generic retained payload contains one or more shared or unique borrow leaves; the base matrix route applies only when that payload is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-RESULT,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
BOX-PIN-01	BORROW_BEARING_OWNED_RESULT	REGION_FREE_BORROW_FREE	BORROW_BEARING_RESULT	yes	yes	The generic retained payload contains one or more shared or unique borrow leaves; the base matrix route applies only when that payload is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-RESULT,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
BOX-DOWNCAST-01	FAILURE_ERASED_BORROW_PAYLOAD	REGION_FREE_BORROW_FREE	BORROW_BEARING_RESULT	yes	yes	A failed downcast returns the exact Box<dyn Any> owner whose erased payload has a static lifetime yet contains one or more live static borrow leaves. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-RESULT,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
BOX-DOWNCAST-01	SUCCESS_CONCRETE_BORROW_PAYLOAD	REGION_FREE_BORROW_FREE	BORROW_BEARING_RESULT	yes	yes	A successful downcast returns the same Box allocation as Box<T>, and T has a static lifetime yet contains one or more live static borrow leaves. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-RESULT,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
BOX-INIT-01	WRITE_SEAL_BORROW_BEARING_RESULT	REGION_FREE_BORROW_FREE	BORROW_BEARING_RESULT	yes	yes	Box::write seals a fully initialized Box whose payload contains borrow leaves; uninitialized allocation constructors contain no live T and are not widened. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-RESULT,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
SEQ-META-01	BORROW_BEARING_STORED_TRANSITION	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	The generic retained payload contains one or more shared or unique borrow leaves; the base matrix route applies only when that payload is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
SEQ-RESERVE-01	BORROW_BEARING_STORED_TRANSITION	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	The generic retained payload contains one or more shared or unique borrow leaves; the base matrix route applies only when that payload is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
SEQ-TRY-RESERVE-01	BORROW_BEARING_STORED_TRANSITION	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	The generic retained payload contains one or more shared or unique borrow leaves; the base matrix route applies only when that payload is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
SEQ-SHRINK-01	BORROW_BEARING_STORED_TRANSITION	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	The generic retained payload contains one or more shared or unique borrow leaves; the base matrix route applies only when that payload is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
SEQ-PUSH-01	BORROW_BEARING_STORED_TRANSITION	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	The generic retained payload contains one or more shared or unique borrow leaves; the base matrix route applies only when that payload is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
SEQ-INSERT-01	BORROW_BEARING_STORED_TRANSITION	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	The generic retained payload contains one or more shared or unique borrow leaves; the base matrix route applies only when that payload is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
SEQ-POP-01	BORROW_BEARING_OWNED_RESULT	REGION_FREE_BORROW_FREE	BORROW_BEARING_RESULT	yes	yes	The generic retained payload contains one or more shared or unique borrow leaves; the base matrix route applies only when that payload is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-RESULT,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
SEQ-POP-01	CALLABLE_ENV_BORROW_STATE	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	For pop_if's predicate environment, the owned behavior environment contains live borrow leaves, remains valid for every permitted zero-or-more invocation path, and is destroyed exactly once including a not-invoked branch. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
SEQ-REMOVE-01	BORROW_BEARING_OWNED_RESULT	REGION_FREE_BORROW_FREE	BORROW_BEARING_RESULT	yes	yes	The generic retained payload contains one or more shared or unique borrow leaves; the base matrix route applies only when that payload is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-RESULT,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
