authority_id	emitting_rules	accepting_rules	exchange_kind	exchange_condition	boundedness_argument	forbidden_exchange	status
A-OBSERVATION	K3-OBSERVE	K2-FACT,K3-OBSERVE,K3-FACT	registered observation lineage	The exact begin event, domain, lane, generation, and scope remain attached through nested payload loans and end-observe.	One begin/end event table and symbolic registry folds bound all uses.	No guard value, copied epoch, address, or unregistered pin creates Observation.	COVERED
A-OWNER	K3-OWNER,K3-ATOMIC	K2-CALLABLE,K3-OWNER,K3-ATOMIC	ordinary owner transfer	Every output retains one input value lineage or an admitted base construction; branch multisets must balance exactly.	Fixed opcodes and affine CFG equations avoid operation-specific interactions.	No copy, metadata, address, validator, or failed atomic event creates an owner.	COVERED
A-PARTITION	K1-RELAYOUT,K2-LEAF,K2-COMPOSE,K3-OWNER,K3-BORROW,K3-CONTROL,K3-DISPOSE,K3-CALLABLE	K1-RELAYOUT,K2-COMPOSE,K2-CLASSIFY,K2-STRICT,K2-LOAN,K2-CONTROL,K2-OBSERVER,K2-FACT,K3-OWNER,K3-BORROW,K3-CONTROL,K3-DISPOSE,K3-FACT,K3-RELEASE	complete partition lineage	Every exchange proves the same exact root cover, with each leaf owner transferred once and only affected local generations refreshed.	Canonical interval products and authority multisets give one generic compatibility test despite many consumers.	No incomplete cover, overlapping store, metadata role, project recognition, or hidden leaf is accepted.	COVERED
A-QUIESCENT	K3-OBSERVE	K2-FACT,K3-DISPOSE,K3-CALLABLE,K3-FACT,K3-RELEASE	cutoff-closure proof	Domain, cutoff, complete post-cutoff lane coverage, admission closure, and ordering profile must match exactly.	OBS-CLOSE is one finite premise schema; registry size is handled by a checked structural fold.	No guard, copied or wrapped epoch, partial scan, stalled lane, writer predicate, or quiescence leaf produces it.	COVERED
A-RELEASE	K1-RELAYOUT,K3-EXTERNAL	K1-RELAYOUT,K3-EXTERNAL,K3-RELEASE	root release escrow	The exact physical root and whole-layout lineage move without duplication; only terminal release consumes them.	One affine escrow per root makes every exchange a constant-form check.	No wrapper, handle, address, metadata, classifier, validator, state successor, or fact produces release authority.	COVERED
A-RETIRED	K3-OBSERVE	K2-CALLABLE,K3-DISPOSE,K3-OBSERVE	retired-target lineage	Successful admission closure plus unlink/custody transfer fixes one domain, cutoff, target root, and terminal action.	One affine target right and fixed conversions bound all interactions.	No failed unlink, address, guard, epoch value, metadata, or queue location creates or re-roots it.	COVERED
A-ROLEVIEW	K2-CLASSIFY,K2-STRICT,K3-OBSERVE	K2-LOAN,K3-BORROW	scoped authority selection	A current parent certificate and exact native selection result bind one shorter-lived exact role footprint.	Closed decoder/strict-selector schemas and lexical scope make all exchanges finite.	No metadata, address, index, guard, or callback result alone produces RoleView.	COVERED
A-ROOT	K1-RELAYOUT,K3-EXTERNAL	K1-RELAYOUT,K2-FACT,K3-EXTERNAL,K3-FACT,K3-RELEASE	physical-root lineage	Only exact acquisition creates rho; transfer or relayout retains the same physical root until terminal release.	Generative nominal equality is constant-form and independent of wrapper topology.	No address, wrapper, handle identity, page number, metadata, validator, or fact creates or changes rho.	COVERED
A-SHARED	K3-ATOMIC	K2-OBSERVER,K3-ATOMIC,K3-OBSERVE	published shared anchor	Exact publication event, domain binding, root hold, and interference invalidators must match.	The publish/share transition table is finite; payload observation remains a separate resource.	No copied address, guard presence, metadata, ordinary load, or fact creates shared access.	COVERED
A-STRICT	K2-STRICT,K3-OWNER	K2-STRICT,K2-CONTROL,K2-FACT,K3-OWNER,K3-DISPOSE,K3-FACT	strict-chain lineage	Every transition consumes Nil or the exact unique Node plus tail and preserves the finite root partition bound; selection only borrows the current chain.	One inductive linear schema is validated once; runtime chain length is not traversed by the checker.	No non-null head, next address, scan result, metadata, or duplicate node creates Strict.	COVERED
A-SUBOWNER	K2-COMPOSE,K2-STRICT,K3-OWNER,K3-DISPOSE,K3-ATOMIC	K2-COMPOSE,K2-STRICT,K3-OWNER,K3-DISPOSE,K3-ATOMIC	root-fragment lineage	The exact rho, lambda, fragment generation, footprint, and matching parent Out identifier move together.	One detach/join equation plus fixed fragment-local transitions covers every pair.	No address, page metadata, heap association, map lookup, or copied backpointer produces a subowner.	COVERED
A-TRANSIT	K2-CONTROL,K3-OWNER,K3-CONTROL,K3-CALLABLE,K3-EXTERNAL	K2-LEAF,K2-CONTROL,K3-OWNER,K3-CONTROL,K3-EXTERNAL	partial-step obligation lineage	Every carried owner, root, generation, event prefix, structural measure, and permitted successor is exact.	Finite outcome tables and a local measure avoid protocol inference or global fixpoints.	No writer state relation, callback result alone, implicit rollback, or wildcard error can close Transit.	COVERED
A-VACANT	K3-OWNER,K3-EXTERNAL	K2-LEAF,K3-OWNER,K3-EXTERNAL	vacant-range lineage	Exact allocation or consuming owner transition fixes root, range, generation, and absence of typed liveness.	Fixed leaf and owner opcodes cover every exchange.	No zero bit pattern, allocator result without a root, metadata, validator, or fact produces Vacant.	COVERED
N-FOOTPRINT	K1-PARTITION	K2-LEAF,K2-COMPOSE,K2-CLASSIFY	non-authorizing geometry	Canonical exact intervals under one root and layout epoch must match.	Sorted finite interval products make every consumer check O(A log A).	No writer disjointness assertion, unknown overlap, solver proof, or metadata can create geometry.	COVERED
N-METADATA	BASE	K2-CLASSIFY	non-authorizing native selection	Only whitelisted loads and checked ordinary calculations feed the closed decoder.	The decoder grammar and role table are finite and contain no calls, loops, recursion, or proof terms.	Metadata may select maintained authority but never create any authority kind.	COVERED
N-NAME	K1-NAMES,K1-RELAYOUT	K1-PLACE	non-authorizing nominal dependency	Only generative acquisition, whole-root relayout, or local SSA state transition supplies the matching nominal identity.	Nominal equality and dominance are syntax-directed.	No address, machine counter, wrapped epoch, metadata, validator, or fact is a generative name.	COVERED
N-PLACE	K1-PLACE	K1-PARTITION,K2-STRICT	non-authorizing place description	Exact root, layout epoch, checked interval, and alignment must match.	Canonical interval tuples bound every exchange.	No raw address, index, handle, page number, or writer proposition produces a place.	COVERED
