canonical_key	representative_path	member_name	route_kind	route_id	route_reason
src/core/iter/adapters/inspect.rs.html#18|item|Inspect	core::iter::Inspect	Inspect	redundant_surface	ITER-ADAPT-TRANSFORM-01	Opaque Rust adapter/source type spelling is represented by the operation contract.
src/core/iter/traits/collect.rs.html#291|associated_type|IntoIter	core::iter::IntoIterator	IntoIter	contract	TRAIT-INTOITER-01	Stable protocol declaration routes to its normalized caller contract.
src/core/iter/traits/collect.rs.html#283|item|IntoIterator	core::iter::IntoIterator	IntoIterator	contract	TRAIT-INTOITER-01	Stable protocol declaration routes to its normalized caller contract.
src/core/iter/traits/collect.rs.html#287|associated_type|Item	core::iter::IntoIterator	Item	contract	TRAIT-INTOITER-01	Stable protocol declaration routes to its normalized caller contract.
src/core/iter/traits/collect.rs.html#312|required_method|into_iter	core::iter::IntoIterator	into_iter	contract	TRAIT-INTOITER-01	Stable protocol declaration routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#46|associated_type|Item	core::iter::Iterator	Item	contract	TRAIT-ITER-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#42|item|Iterator	core::iter::Iterator	Iterator	contract	TRAIT-ITER-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#2831|provided_or_inherent_method|all	core::iter::Iterator	all	contract	ITER-CONSUME-SHORT-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#2885|provided_or_inherent_method|any	core::iter::Iterator	any	contract	ITER-CONSUME-SHORT-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#1954|provided_or_inherent_method|by_ref	core::iter::Iterator	by_ref	contract	ITER-ADAPT-REBORROW-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#510|provided_or_inherent_method|chain	core::iter::Iterator	chain	contract	ITER-ADAPT-CHAIN-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#3559|provided_or_inherent_method|cloned	core::iter::Iterator	cloned	contract	ITER-ADAPT-DUPLICATE-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#3723|provided_or_inherent_method|cmp	core::iter::Iterator	cmp	contract	ITER-CONSUME-RELATION-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#2077|provided_or_inherent_method|collect	core::iter::Iterator	collect	contract	TRAIT-COLLECT-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#3511|provided_or_inherent_method|copied	core::iter::Iterator	copied	contract	ITER-ADAPT-DUPLICATE-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#224|provided_or_inherent_method|count	core::iter::Iterator	count	contract	ITER-CONSUME-FOLD-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#3590|provided_or_inherent_method|cycle	core::iter::Iterator	cycle	contract	ITER-ADAPT-CYCLE-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#1044|provided_or_inherent_method|enumerate	core::iter::Iterator	enumerate	contract	ITER-ADAPT-TRANSFORM-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#3879|provided_or_inherent_method|eq	core::iter::Iterator	eq	contract	ITER-CONSUME-RELATION-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#952|provided_or_inherent_method|filter	core::iter::Iterator	filter	contract	ITER-ADAPT-SELECT-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#997|provided_or_inherent_method|filter_map	core::iter::Iterator	filter_map	contract	ITER-ADAPT-SELECT-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#2959|provided_or_inherent_method|find	core::iter::Iterator	find	contract	ITER-CONSUME-SHORT-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#2991|provided_or_inherent_method|find_map	core::iter::Iterator	find_map	contract	ITER-CONSUME-SHORT-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#1533|provided_or_inherent_method|flat_map	core::iter::Iterator	flat_map	contract	ITER-ADAPT-NEST-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#1617|provided_or_inherent_method|flatten	core::iter::Iterator	flatten	contract	ITER-ADAPT-NEST-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#2664|provided_or_inherent_method|fold	core::iter::Iterator	fold	contract	ITER-CONSUME-FOLD-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#877|provided_or_inherent_method|for_each	core::iter::Iterator	for_each	contract	ITER-CONSUME-FOLD-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#1833|provided_or_inherent_method|fuse	core::iter::Iterator	fuse	contract	ITER-ADAPT-FUSE-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#4021|provided_or_inherent_method|ge	core::iter::Iterator	ge	contract	ITER-CONSUME-RELATION-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#3999|provided_or_inherent_method|gt	core::iter::Iterator	gt	contract	ITER-CONSUME-RELATION-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#1917|provided_or_inherent_method|inspect	core::iter::Iterator	inspect	contract	ITER-ADAPT-TRANSFORM-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#4051|provided_or_inherent_method|is_sorted	core::iter::Iterator	is_sorted	contract	ITER-CONSUME-RELATION-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#4078|provided_or_inherent_method|is_sorted_by	core::iter::Iterator	is_sorted_by	contract	ITER-CONSUME-RELATION-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#4123|provided_or_inherent_method|is_sorted_by_key	core::iter::Iterator	is_sorted_by_key	contract	ITER-CONSUME-RELATION-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#257|provided_or_inherent_method|last	core::iter::Iterator	last	contract	ITER-CONSUME-FOLD-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#3977|provided_or_inherent_method|le	core::iter::Iterator	le	contract	ITER-CONSUME-RELATION-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#3955|provided_or_inherent_method|lt	core::iter::Iterator	lt	contract	ITER-CONSUME-RELATION-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#831|provided_or_inherent_method|map	core::iter::Iterator	map	contract	ITER-ADAPT-TRANSFORM-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#1346|provided_or_inherent_method|map_while	core::iter::Iterator	map_while	contract	ITER-ADAPT-POSITION-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#3250|provided_or_inherent_method|max	core::iter::Iterator	max	contract	ITER-CONSUME-RELATION-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#3344|provided_or_inherent_method|max_by	core::iter::Iterator	max_by	contract	ITER-CONSUME-RELATION-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#3310|provided_or_inherent_method|max_by_key	core::iter::Iterator	max_by_key	contract	ITER-CONSUME-RELATION-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#3287|provided_or_inherent_method|min	core::iter::Iterator	min	contract	ITER-CONSUME-RELATION-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#3406|provided_or_inherent_method|min_by	core::iter::Iterator	min_by	contract	ITER-CONSUME-RELATION-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#3372|provided_or_inherent_method|min_by_key	core::iter::Iterator	min_by_key	contract	ITER-CONSUME-RELATION-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#3933|provided_or_inherent_method|ne	core::iter::Iterator	ne	contract	ITER-CONSUME-RELATION-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#78|required_method|next	core::iter::Iterator	next	contract	TRAIT-ITER-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#388|provided_or_inherent_method|nth	core::iter::Iterator	nth	contract	ITER-CONSUME-SHORT-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#3808|provided_or_inherent_method|partial_cmp	core::iter::Iterator	partial_cmp	contract	ITER-CONSUME-RELATION-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#2271|provided_or_inherent_method|partition	core::iter::Iterator	partition	contract	ITER-CONSUME-FANOUT-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#1115|provided_or_inherent_method|peekable	core::iter::Iterator	peekable	contract	ITER-ADAPT-PEEK-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#3134|provided_or_inherent_method|position	core::iter::Iterator	position	contract	ITER-CONSUME-SHORT-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#3701|provided_or_inherent_method|product	core::iter::Iterator	product	contract	ITER-CONSUME-FOLD-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#2701|provided_or_inherent_method|reduce	core::iter::Iterator	reduce	contract	ITER-CONSUME-FOLD-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#3443|provided_or_inherent_method|rev	core::iter::Iterator	rev	contract	ITER-ADAPT-DIRECTION-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#3200|provided_or_inherent_method|rposition	core::iter::Iterator	rposition	contract	ITER-CONSUME-SHORT-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#1494|provided_or_inherent_method|scan	core::iter::Iterator	scan	contract	ITER-ADAPT-STATE-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#189|provided_or_inherent_method|size_hint	core::iter::Iterator	size_hint	contract	TRAIT-ITER-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#1375|provided_or_inherent_method|skip	core::iter::Iterator	skip	contract	ITER-ADAPT-POSITION-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#1180|provided_or_inherent_method|skip_while	core::iter::Iterator	skip_while	contract	ITER-ADAPT-POSITION-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#439|provided_or_inherent_method|step_by	core::iter::Iterator	step_by	contract	ITER-ADAPT-POSITION-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#3669|provided_or_inherent_method|sum	core::iter::Iterator	sum	contract	ITER-CONSUME-FOLD-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#1447|provided_or_inherent_method|take	core::iter::Iterator	take	contract	ITER-ADAPT-POSITION-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#1258|provided_or_inherent_method|take_while	core::iter::Iterator	take_while	contract	ITER-ADAPT-POSITION-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#2486|provided_or_inherent_method|try_fold	core::iter::Iterator	try_fold	contract	ITER-CONSUME-SHORT-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#2545|provided_or_inherent_method|try_for_each	core::iter::Iterator	try_for_each	contract	ITER-CONSUME-SHORT-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#3480|provided_or_inherent_method|unzip	core::iter::Iterator	unzip	contract	ITER-CONSUME-FANOUT-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/traits/iterator.rs.html#629|provided_or_inherent_method|zip	core::iter::Iterator	zip	contract	ITER-ADAPT-ZIP-01	Stable iterator operation routes to its normalized caller contract.
src/core/iter/adapters/map.rs.html#61|item|Map	core::iter::Map	Map	redundant_surface	ITER-ADAPT-TRANSFORM-01	Opaque Rust adapter/source type spelling is represented by the operation contract.
src/core/iter/adapters/map_while.rs.html#17|item|MapWhile	core::iter::MapWhile	MapWhile	redundant_surface	ITER-ADAPT-POSITION-01	Opaque Rust adapter/source type spelling is represented by the operation contract.
src/core/iter/sources/once.rs.html#66|item|Once	core::iter::Once	Once	redundant_surface	ITER-SOURCE-VALUE-01	Opaque Rust adapter/source type spelling is represented by the operation contract.
src/core/iter/sources/once_with.rs.html#72|item|OnceWith	core::iter::OnceWith	OnceWith	redundant_surface	ITER-SOURCE-CALLBACK-01	Opaque Rust adapter/source type spelling is represented by the operation contract.
src/core/iter/adapters/peekable.rs.html#17|item|Peekable	core::iter::Peekable	Peekable	redundant_surface	ITER-ADAPT-PEEK-01	The opaque Peekable type spelling is represented by its cached-cursor operation contract.
src/core/iter/adapters/peekable.rs.html#287|provided_or_inherent_method|next_if	core::iter::Peekable	next_if	contract	ITER-ADAPT-PEEK-01	A stable Peekable operation contributes to the normalized cached-cursor contract.
src/core/iter/adapters/peekable.rs.html#313|provided_or_inherent_method|next_if_eq	core::iter::Peekable	next_if_eq	contract	ITER-ADAPT-PEEK-01	A stable Peekable operation contributes to the normalized cached-cursor contract.
src/core/iter/adapters/peekable.rs.html#410|provided_or_inherent_method|next_if_map	core::iter::Peekable	next_if_map	contract	ITER-ADAPT-PEEK-01	A stable Peekable operation contributes to the normalized cached-cursor contract.
src/core/iter/adapters/peekable.rs.html#447|provided_or_inherent_method|next_if_map_mut	core::iter::Peekable	next_if_map_mut	contract	ITER-ADAPT-PEEK-01	A stable Peekable operation contributes to the normalized cached-cursor contract.
src/core/iter/adapters/peekable.rs.html#216|provided_or_inherent_method|peek	core::iter::Peekable	peek	contract	ITER-ADAPT-PEEK-01	A stable Peekable operation contributes to the normalized cached-cursor contract.
src/core/iter/adapters/peekable.rs.html#256|provided_or_inherent_method|peek_mut	core::iter::Peekable	peek_mut	contract	ITER-ADAPT-PEEK-01	A stable Peekable operation contributes to the normalized cached-cursor contract.
src/core/iter/traits/accum.rs.html#40|item|Product	core::iter::Product	Product	contract	ITER-CONSUME-FOLD-01	Stable protocol declaration routes to its normalized caller contract.
src/core/iter/traits/accum.rs.html#44|required_method|product	core::iter::Product	product	contract	ITER-CONSUME-FOLD-01	Stable protocol declaration routes to its normalized caller contract.
src/core/iter/sources/repeat.rs.html#73|item|Repeat	core::iter::Repeat	Repeat	redundant_surface	ITER-SOURCE-REPEAT-01	Opaque Rust adapter/source type spelling is represented by the operation contract.
src/core/iter/sources/repeat_n.rs.html#82|item|RepeatN	core::iter::RepeatN	RepeatN	redundant_surface	ITER-SOURCE-REPEAT-01	Opaque Rust adapter/source type spelling is represented by the operation contract.
src/core/iter/sources/repeat_with.rs.html#76|item|RepeatWith	core::iter::RepeatWith	RepeatWith	redundant_surface	ITER-SOURCE-CALLBACK-01	Opaque Rust adapter/source type spelling is represented by the operation contract.
src/core/iter/adapters/rev.rs.html#15|item|Rev	core::iter::Rev	Rev	redundant_surface	ITER-ADAPT-DIRECTION-01	Opaque Rust adapter/source type spelling is represented by the operation contract.
src/core/iter/adapters/scan.rs.html#17|item|Scan	core::iter::Scan	Scan	redundant_surface	ITER-ADAPT-STATE-01	Opaque Rust adapter/source type spelling is represented by the operation contract.
src/core/iter/adapters/skip.rs.html#21|item|Skip	core::iter::Skip	Skip	redundant_surface	ITER-ADAPT-POSITION-01	Opaque Rust adapter/source type spelling is represented by the operation contract.
src/core/iter/adapters/skip_while.rs.html#17|item|SkipWhile	core::iter::SkipWhile	SkipWhile	redundant_surface	ITER-ADAPT-POSITION-01	Opaque Rust adapter/source type spelling is represented by the operation contract.
src/core/iter/adapters/step_by.rs.html#16|item|StepBy	core::iter::StepBy	StepBy	redundant_surface	ITER-ADAPT-POSITION-01	Opaque Rust adapter/source type spelling is represented by the operation contract.
src/core/iter/sources/successors.rs.html#41|item|Successors	core::iter::Successors	Successors	redundant_surface	ITER-SOURCE-CALLBACK-01	Opaque Rust adapter/source type spelling is represented by the operation contract.
src/core/iter/traits/accum.rs.html#18|item|Sum	core::iter::Sum	Sum	contract	ITER-CONSUME-FOLD-01	Stable protocol declaration routes to its normalized caller contract.
src/core/iter/traits/accum.rs.html#22|required_method|sum	core::iter::Sum	sum	contract	ITER-CONSUME-FOLD-01	Stable protocol declaration routes to its normalized caller contract.
src/core/iter/adapters/take.rs.html#17|item|Take	core::iter::Take	Take	redundant_surface	ITER-ADAPT-POSITION-01	Opaque Rust adapter/source type spelling is represented by the operation contract.
src/core/iter/adapters/take_while.rs.html#17|item|TakeWhile	core::iter::TakeWhile	TakeWhile	redundant_surface	ITER-ADAPT-POSITION-01	Opaque Rust adapter/source type spelling is represented by the operation contract.
src/core/iter/adapters/zip.rs.html#13|item|Zip	core::iter::Zip	Zip	redundant_surface	ITER-ADAPT-ZIP-01	Opaque Rust adapter/source type spelling is represented by the operation contract.
src/core/iter/adapters/chain.rs.html#64|item|chain	core::iter::chain	chain	contract	ITER-ADAPT-CHAIN-01	Stable producer/adapter function routes to its normalized caller contract.
src/core/iter/sources/empty.rs.html#20|item|empty	core::iter::empty	empty	contract	ITER-SOURCE-VALUE-01	Stable producer/adapter function routes to its normalized caller contract.
src/core/iter/sources/from_fn.rs.html#45|item|from_fn	core::iter::from_fn	from_fn	contract	ITER-SOURCE-CALLBACK-01	Stable producer/adapter function routes to its normalized caller contract.
src/core/iter/sources/once.rs.html#56|item|once	core::iter::once	once	contract	ITER-SOURCE-VALUE-01	Stable producer/adapter function routes to its normalized caller contract.
src/core/iter/sources/once_with.rs.html#61|item|once_with	core::iter::once_with	once_with	contract	ITER-SOURCE-CALLBACK-01	Stable producer/adapter function routes to its normalized caller contract.
src/core/iter/sources/repeat.rs.html#64|item|repeat	core::iter::repeat	repeat	contract	ITER-SOURCE-REPEAT-01	Stable producer/adapter function routes to its normalized caller contract.
src/core/iter/sources/repeat_n.rs.html#59|item|repeat_n	core::iter::repeat_n	repeat_n	contract	ITER-SOURCE-REPEAT-01	Stable producer/adapter function routes to its normalized caller contract.
src/core/iter/sources/repeat_with.rs.html#65|item|repeat_with	core::iter::repeat_with	repeat_with	contract	ITER-SOURCE-CALLBACK-01	Stable producer/adapter function routes to its normalized caller contract.
src/core/iter/sources/successors.rs.html#22|item|successors	core::iter::successors	successors	contract	ITER-SOURCE-CALLBACK-01	Stable producer/adapter function routes to its normalized caller contract.
src/core/iter/adapters/zip.rs.html#65|item|zip	core::iter::zip	zip	contract	ITER-ADAPT-ZIP-01	Stable producer/adapter function routes to its normalized caller contract.
src/core/ops/range.rs.html#692|item|Bound	core::ops::Bound	Bound	contract	RANGE-BOUND-VALUE-01	Stable range value, query, or iterator state routes to its exact bound-form contract.
src/core/ops/range.rs.html#709|provided_or_inherent_method|as_ref	core::ops::Bound	as_ref	contract	RANGE-BOUND-BORROW-01	Stable range value, query, or iterator state routes to its exact bound-form contract.
src/core/ops/range.rs.html#803|provided_or_inherent_method|cloned	core::ops::Bound	cloned	contract	RANGE-BOUND-CLONE-01	Stable range value, query, or iterator state routes to its exact bound-form contract.
src/core/ops/range.rs.html#751|provided_or_inherent_method|map	core::ops::Bound	map	contract	RANGE-BOUND-MAP-01	Stable range value, query, or iterator state routes to its exact bound-form contract.
src/core/ops/range.rs.html#82|item|Range	core::ops::Range	Range	contract	RANGE-LEGACY-HALFOPEN-STATE-01	Stable range value, query, or iterator state routes to its exact bound-form contract.
src/core/ops/range.rs.html#123|provided_or_inherent_method|contains	core::ops::Range	contains	contract	RANGE-CONTAINS-HALFOPEN-01	Stable range value, query, or iterator state routes to its exact bound-form contract.
src/core/ops/range.rs.html#151|provided_or_inherent_method|is_empty	core::ops::Range	is_empty	contract	RANGE-EMPTY-HALFOPEN-01	Stable range value, query, or iterator state routes to its exact bound-form contract.
src/core/ops/range.rs.html#820|item|RangeBounds	core::ops::RangeBounds	RangeBounds	contract	RANGE-BOUNDS-PROTOCOL-01	Stable range value, query, or iterator state routes to its exact bound-form contract.
src/core/ops/range.rs.html#868|provided_or_inherent_method|contains	core::ops::RangeBounds	contains	contract	RANGE-BOUNDS-CONTAINS-01	Stable range value, query, or iterator state routes to its exact bound-form contract.
src/core/ops/range.rs.html#851|required_method|end_bound	core::ops::RangeBounds	end_bound	contract	RANGE-BOUNDS-PROTOCOL-01	Stable range value, query, or iterator state routes to its exact bound-form contract.
src/core/ops/range.rs.html#835|required_method|start_bound	core::ops::RangeBounds	start_bound	contract	RANGE-BOUNDS-PROTOCOL-01	Stable range value, query, or iterator state routes to its exact bound-form contract.
src/core/ops/range.rs.html#197|item|RangeFrom	core::ops::RangeFrom	RangeFrom	contract	RANGE-LEGACY-FROM-STATE-01	Stable range value, query, or iterator state routes to its exact bound-form contract.
src/core/ops/range.rs.html#229|provided_or_inherent_method|contains	core::ops::RangeFrom	contains	contract	RANGE-CONTAINS-FROM-01	Stable range value, query, or iterator state routes to its exact bound-form contract.
src/core/ops/range.rs.html#44|item|RangeFull	core::ops::RangeFull	RangeFull	contract	RANGE-VALUE-FULL-01	Stable range value, query, or iterator state routes to its exact bound-form contract.
src/core/ops/range.rs.html#357|item|RangeInclusive	core::ops::RangeInclusive	RangeInclusive	contract	RANGE-LEGACY-INCLUSIVE-STATE-01	Stable range value, query, or iterator state routes to its exact bound-form contract.
src/core/ops/range.rs.html#522|provided_or_inherent_method|contains	core::ops::RangeInclusive	contains	contract	RANGE-LEGACY-INCLUSIVE-CONTAINS-01	Stable range value, query, or iterator state routes to its exact bound-form contract.
src/core/ops/range.rs.html#440|provided_or_inherent_method|end	core::ops::RangeInclusive	end	contract	RANGE-LEGACY-INCLUSIVE-ACCESS-01	Stable range value, query, or iterator state routes to its exact bound-form contract.
src/core/ops/range.rs.html#457|provided_or_inherent_method|into_inner	core::ops::RangeInclusive	into_inner	contract	RANGE-LEGACY-INCLUSIVE-INTO-01	Stable range value, query, or iterator state routes to its exact bound-form contract.
src/core/ops/range.rs.html#559|provided_or_inherent_method|is_empty	core::ops::RangeInclusive	is_empty	contract	RANGE-LEGACY-INCLUSIVE-EMPTY-01	Stable range value, query, or iterator state routes to its exact bound-form contract.
src/core/ops/range.rs.html#390|provided_or_inherent_method|new	core::ops::RangeInclusive	new	contract	RANGE-LEGACY-INCLUSIVE-STATE-01	Stable range value, query, or iterator state routes to its exact bound-form contract.
