rule_id	match	domain	domain_scope_codes	canonical_route_or_blocked_claim	rationale
DOM-DATA-SLICE-STD	path:std::slice	sequential data structures	G0+LIB	Combined core/alloc slice contract surface.	The std rendering is canonicalized against its source declarations.
DOM-DATA-VEC-ALLOC	path:alloc::vec	sequential data structures	G0	Dense owning sequence and helper protocols.	This is a principal detailed contract seed.
DOM-DATA-VEC-STD	path:std::vec	sequential data structures	G0+RED	Dense sequence contracts; std reexport spelling is redundant.	The source declaration lives in alloc.
DOM-DATA-COLLECTIONS-ALLOC	path:alloc::collections	sequential and associative data structures	G0+LIB	Deque, list, heap, B-tree map/set, allocation errors, and later convenience derivations.	This is the principal detailed collection surface.
DOM-DATA-COLLECTIONS-STD	path:std::collections	sequential and associative data structures	G0+LIB+RED	Hash map/set plus reexported alloc collection contracts and later convenience derivations.	Contract normalization preserves order and complexity differences.
DOM-DATA-BOX-ALLOC	path:alloc::boxed	unique ownership and data structures	G0+LIB+LATER	Unique heap owner/extraction is detailed; conveniences are libraries; raw and custom allocation remain later or inadmissible.	Box exposes ownership atoms used by recursive structures.
DOM-DATA-BOX-STD	path:std::boxed	unique ownership and data structures	G0+LIB+RED	Unique heap owner contracts and conveniences; std spelling is a reexport.	The source declaration lives in alloc.
DOM-ITER-CORE	path:core::iter	synchronous iteration	G0+LIB	Shared, uniq, and owning protocols required by data families; adapters are library compositions.	Iterator spelling is not itself a required xlang mechanism.
DOM-ITER-STD	path:std::iter	synchronous iteration	G0+LIB+RED	Core iteration protocols plus reexported adapters.	Repeated standard spellings do not create storage capabilities.
DOM-RANGE-CORE	path:core::range	ranges and traversal	G0+LIB	Checked range values and iteration.	Ranges are ordinary value/protocol contracts.
DOM-RANGE-STD	path:std::range	ranges and traversal	G0+LIB+RED	Checked range values and iteration.	The std path reexports core range contracts.
DOM-BEHAVIOR-CMP-CORE	path:core::cmp	static behavior contracts	G0+LIB	Statically callable ordering/equality needed by collections.	Rust trait spelling is evidence, not the required xlang interface.
DOM-BEHAVIOR-CMP-STD	path:std::cmp	static behavior contracts	G0+LIB+RED	Statically callable ordering/equality needed by collections.	The std path reexports core comparison contracts.
DOM-BEHAVIOR-HASH-CORE	path:core::hash	static behavior contracts	G0+LIB+LATER	Hash protocol for keyed collections; seeding/default algorithm is later platform/library policy.	Broken laws must remain contained logic errors.
DOM-BEHAVIOR-HASH-STD	path:std::hash	static behavior contracts	G0+LIB+LATER	Hash protocol for keyed collections; seeding/default algorithm is later platform/library policy.	The std module adds default ecosystem choices without selecting xlang syntax.
DOM-BEHAVIOR-CLONE-CORE	path:core::clone	static behavior contracts	G0+LIB	Explicit cloning distinct from relocation.	Partial clone cleanup is a storage obligation.
DOM-BEHAVIOR-CLONE-STD	path:std::clone	static behavior contracts	G0+LIB+RED	Explicit cloning distinct from relocation.	The std path reexports core cloning.
DOM-BEHAVIOR-BORROW-CORE	path:core::borrow	static behavior and views	G0+LIB	Borrowed lookup/view contracts.	Rust blanket borrowing hierarchy is not required one for one.
DOM-BEHAVIOR-BORROW-ALLOC	path:alloc::borrow	shared ownership and conversions	LIB+LATER	Owned/borrowed conversion and copy-on-write after dense/shared dependencies.	Cow sharing behavior belongs to the shared-ownership lock.
DOM-BEHAVIOR-BORROW-STD	path:std::borrow	static behavior and views	G0+LIB+RED	Borrowed lookup/view contracts.	The std path reexports core/alloc behavior.
DOM-BEHAVIOR-CONVERT-CORE	path:core::convert	conversion and behavior	LIB+RED	Explicit canonical conversions.	Rust's blanket trait graph is surface, not one capability per impl.
DOM-BEHAVIOR-CONVERT-STD	path:std::convert	conversion and behavior	LIB+RED	Explicit canonical conversions.	The std path reexports core conversions.
DOM-BEHAVIOR-DEFAULT-CORE	path:core::default	conversion and behavior	LIB+RED	Explicit construction when a contract needs a default.	Default is not a substitute for dead storage or move-out.
DOM-BEHAVIOR-DEFAULT-STD	path:std::default	conversion and behavior	LIB+RED	Explicit construction when a contract needs a default.	The std path reexports core default behavior.
DOM-OWN-MEM-CORE	path:core::mem	ownership, layout, and value transitions	G0+FRAME+LATER+NG	Safe swap/replace/drop are detailed; layout truth crosses F-MEM; raw initialization/leak/bit reinterpretation need later or are inadmissible.	Rust safe and unsafe internals separate observable transitions from privilege.
DOM-OWN-MEM-STD	path:std::mem	ownership, layout, and value transitions	G0+FRAME+LATER+NG	Safe swap/replace/drop are detailed; layout truth crosses F-MEM; raw initialization/leak/bit reinterpretation need later or are inadmissible.	The std path reexports core memory contracts.
DOM-OWN-MARKER-CORE	path:core::marker	ownership and capability predicates	G0+LATER+RED	Copy/size predicates as needed; Send/Sync/Unpin belong to later locks.	Rust marker trait vocabulary is not copied by default.
DOM-OWN-MARKER-STD	path:std::marker	ownership and capability predicates	G0+LATER+RED	Copy/size predicates as needed; Send/Sync/Unpin belong to later locks.	The std path reexports core marker contracts.
DOM-RAW-PTR-CORE	path:core::ptr	raw pointers and provenance	FRAME+LATER+NG	Compiler/runtime internals now; checked address/provenance contracts require a later family; unchecked writer authority is inadmissible.	Arbitrary pointer arithmetic and unchecked reads are not admissible writer capabilities.
DOM-RAW-PTR-STD	path:std::ptr	raw pointers and provenance	FRAME+LATER+NG	Compiler/runtime internals now; checked address/provenance contracts require a later family; unchecked writer authority is inadmissible.	The std path reexports raw pointer evidence.
DOM-RAW-POINTER-CORE	path:core::pointer	raw pointers and provenance	FRAME+LATER+NG	Compiler/runtime internals now; checked address/provenance contracts require a later family; unchecked writer authority is inadmissible.	Primitive pointer methods are not ordinary xlang surface authority.
DOM-RAW-POINTER-STD	path:std::pointer	raw pointers and provenance	FRAME+LATER+NG	Compiler/runtime internals now; checked address/provenance contracts require a later family; unchecked writer authority is inadmissible.	Primitive pointer methods are not ordinary xlang surface authority.
DOM-ALLOC-CORE	path:core::alloc	heap allocation and runtime	FRAME+LATER	Default allocation frame now; custom allocator family later.	Alignment, provenance, grow/shrink, and failure policy need a separate lock.
DOM-ALLOC-ALLOC	path:alloc::alloc	heap allocation and runtime	FRAME+LATER	Default allocation frame now; custom allocator family later.	The alloc crate exposes runtime allocation evidence.
DOM-ALLOC-STD	path:std::alloc	heap allocation and runtime	FRAME+LATER	Default allocation frame now; custom allocator family later.	The std allocator API does not authorize writer-visible unsafe.
DOM-SHARED-RC-ALLOC	path:alloc::rc	shared ownership and weak identity	LATER	Separate shared-ownership lock.	Strong/weak payload/allocation lifetimes are not solved by stable handles.
DOM-SHARED-RC-STD	path:std::rc	shared ownership and weak identity	LATER+RED	Separate shared-ownership lock; std path is a reexport.	No reference-count tax is allowed on unique-owner data structures.
DOM-SHARED-ARC-ALLOC	path:alloc::sync	shared ownership and weak identity	LATER	Shared ownership plus concurrency locks.	Arc/Weak require atomics and separate payload/allocation lifetimes.
DOM-SHARED-CELL-CORE	path:core::cell	interior mutability and dynamic aliasing	LATER+NG	RefCell is detailed demand evidence only; shared mutation receives a later lock and UnsafeCell-like escape is inadmissible.	Runtime borrow guards expose cleanup/invalidation obligations.
DOM-SHARED-CELL-STD	path:std::cell	interior mutability and dynamic aliasing	LATER+RED	Separate interior-mutability lock; std path is a reexport.	Unique-owner container closure cannot claim shared mutation.
DOM-ERROR-OPTION-CORE	path:core::option	recoverable results and variants	G0+LIB	Existing Option plus library combinators.	Ownership on each branch remains a detailed prerequisite.
DOM-ERROR-OPTION-STD	path:std::option	recoverable results and variants	G0+LIB+RED	Existing Option plus library combinators.	The std path reexports core Option.
DOM-ERROR-RESULT-CORE	path:core::result	recoverable results and variants	G0+LIB	Existing Result, propagation, and branch ownership.	Failure atomicity is family-specific and not implied by Result syntax.
DOM-ERROR-RESULT-STD	path:std::result	recoverable results and variants	G0+LIB+RED	Existing Result, propagation, and branch ownership.	The std path reexports core Result.
DOM-ERROR-CORE	path:core::error	error presentation and chaining	LIB+LATER	Ordinary error values now; dynamic chains/downcasts later.	Data-floor closure does not imply an application error ecosystem.
DOM-ERROR-STD	path:std::error	error presentation and chaining	LIB+LATER	Ordinary error values now; dynamic chains/downcasts later.	Backtraces and dynamic errors require other domains.
DOM-PANIC-CORE	path:core::panic	trap, panic, and diagnostics	G0+FRAME+LATER+NG	Preserve aborting traps; hooks and payload services are later; unwinding and recovery are non-goals under current law.	No-unwind removes exception cleanup but not normal-exit ownership.
DOM-PANIC-STD	path:std::panic	trap, panic, and diagnostics	G0+FRAME+LATER+NG	Preserve aborting traps; hooks and payload services are later; catch/unwind APIs are non-goals under current law.	Rust unwind safety does not become xlang data law.
DOM-PANIC-BACKTRACE	path:std::backtrace	trap, panic, and diagnostics	FRAME+LATER	Best-effort platform/toolchain diagnostic service.	Symbolization is not part of collection correctness.
DOM-PANIC-MACROS	regex:^core::(?:assert|assert_eq|assert_matches|assert_ne|debug_assert|debug_assert_eq|debug_assert_matches|debug_assert_ne|panic|todo|unimplemented|unreachable)$	trap, panic, and diagnostics	G0+RED	Canonical aborting checks/traps; Rust macro spelling is redundant.	Source convenience is separate from the current checked trap contract.
DOM-FMT-CORE	path:core::fmt	formatting and presentation	LIB+LATER	Ordinary libraries after text/static behavior; compile-time format checking is separate.	Formatting is not a storage topology.
DOM-FMT-ALLOC	path:alloc::fmt	formatting and presentation	LIB+LATER	Allocation-backed formatting after dense text.	Allocation and float formatting policies remain explicit.
DOM-FMT-STD	path:std::fmt	formatting and presentation	LIB+LATER	Formatting plus I/O integration.	Printing depends on a platform I/O frame.
DOM-FMT-MACROS	regex:^(?:alloc::format|core::format_args|core::write|core::writeln|std::dbg|std::eprint|std::eprintln|std::print|std::println)$	formatting and presentation	LIB+LATER+RED	Formatting contract routes here; Rust macro spelling is redundant.	Printing still depends on the I/O frame.
DOM-REFLECT-CORE	path:core::any	runtime type identity and reflection	LATER	Separate reflection/interface decision; current xlang has no reflection.	Compile-time layout does not imply writer-visible runtime type metadata.
DOM-REFLECT-STD	path:std::any	runtime type identity and reflection	LATER	Separate reflection/interface decision; current xlang has no reflection.	Rust downcasting is not a data-structure prerequisite.
DOM-RANGE-OPS-CORE	regex:^core::ops::(?:Bound|Range|RangeBounds|RangeFrom|RangeFull|RangeInclusive|RangeTo|RangeToInclusive)$	ranges and traversal	G0+LIB	Legacy range values, bounds behavior, and stateful range cursors are exact D10 contracts.	Placement under core::ops does not make range state a generic callable-abstraction contract.
DOM-RANGE-OPS-STD	regex:^std::ops::(?:Bound|Range|RangeBounds|RangeFrom|RangeFull|RangeInclusive|RangeTo|RangeToInclusive)$	ranges and traversal	G0+LIB+RED	Legacy range values and bounds behavior route to D10; std spellings are reexports.	Placement under std::ops does not change the semantic owner.
DOM-ASYNC-OPS-CORE	regex:^core::ops::AsyncFn(?:Mut|Once)?$	async, tasks, and pinning	LATER	Async callable protocols belong to the async execution and cancellation family.	Synchronous callable support does not establish suspension or cancellation.
DOM-ASYNC-OPS-STD	regex:^std::ops::AsyncFn(?:Mut|Once)?$	async, tasks, and pinning	LATER+RED	Async callable protocols belong to the async family; std spellings are reexports.	Module placement does not make them synchronous behavior contracts.
DOM-OWN-DROP-OPS-CORE	regex:^core::ops::Drop$	ownership, layout, and value transitions	G0+LATER	Exact destruction is a G0 obligation; general writer-defined finalization remains outside the first floor.	Drop is lifecycle semantics, not a generic callable surface.
DOM-OWN-DROP-OPS-STD	regex:^std::ops::Drop$	ownership, layout, and value transitions	G0+LATER+RED	Exact destruction routes to D04; std spelling is a reexport.	Module placement does not change lifecycle ownership.
DOM-LANG-CALL-OPS-CORE	regex:^core::ops::Fn(?:Mut|Once)?$	language organization and abstraction	G0+LATER	Only the exact statically callable subset needed by current families is G0.	General function values and callable abstraction remain a D02 family.
DOM-LANG-CALL-OPS-STD	regex:^std::ops::Fn(?:Mut|Once)?$	language organization and abstraction	G0+LATER+RED	Callable protocols route to D02; std spelling is a reexport.	The std path adds no independent capability.
DOM-LANG-CONTROL-OPS-CORE	regex:^core::ops::ControlFlow$	language organization and abstraction	G0+LIB	Control-flow result values route to D02 and ordinary checked combinators.	ControlFlow is not a range or generic operator behavior.
DOM-LANG-CONTROL-OPS-STD	regex:^std::ops::ControlFlow$	language organization and abstraction	G0+LIB+RED	Control-flow result values route to D02; std spelling is a reexport.	The std path adds no independent capability.
DOM-LANG-OPS-NAMESPACE-CORE	regex:^core::ops$	language organization and abstraction	RED	Namespace surface only; declarations underneath route by semantic member family.	A module name is not a capability.
DOM-LANG-OPS-NAMESPACE-STD	regex:^std::ops$	language organization and abstraction	RED	Namespace/reexport surface only; declarations underneath route by semantic member family.	The std module name is not a capability.
DOM-BEHAVIOR-OPS-CORE	path:core::ops	static behavior contracts	G0+LIB+LATER	Indexing, dereference, arithmetic, and assignment behavior route to D03 unless a more specific semantic rule applies.	Rust operator-trait spelling is evidence, not the required xlang interface.
DOM-BEHAVIOR-OPS-STD	path:std::ops	static behavior contracts	G0+LIB+LATER+RED	Generic operator behavior routes to D03; std spellings are reexports.	The std path adds no independent behavior contract.
DOM-LANG-MATCHES	path:core::matches	language organization and abstraction	G0+RED	Current match semantics; Rust macro spelling is redundant.	The convenience spelling adds no storage capability.
DOM-LANG-FUTURE-CORE	path:core::future	async, tasks, and pinning	LATER	Separate async/cancellation lock.	Suspension and cancellation are not synchronous iterator contracts.
DOM-LANG-FUTURE-STD	path:std::future	async, tasks, and pinning	LATER+RED	Separate async/cancellation lock; std path is a reexport.	Future requires pin/task semantics.
DOM-LANG-ASYNC-ITER-CORE	path:core::async_iter	async, tasks, and pinning	LATER	Separate async-iteration and cancellation lock.	The unstable module is future demand evidence, not synchronous iteration closure.
DOM-LANG-ASYNC-ITER-STD	path:std::async_iter	async, tasks, and pinning	LATER	Separate async-iteration and cancellation lock.	The unstable module is future demand evidence, not synchronous iteration closure.
DOM-LANG-TASK-CORE	path:core::task	async, tasks, and pinning	LATER	Separate async/runtime lock.	Wakers and polling cross runtime and concurrency boundaries.
DOM-LANG-TASK-ALLOC	path:alloc::task	async, tasks, and pinning	LATER	Separate async/runtime and shared-ownership locks.	Allocation-backed wakers are not data-floor evidence.
DOM-LANG-TASK-STD	path:std::task	async, tasks, and pinning	LATER+RED	Separate async/runtime lock; std path is a reexport.	Task scheduling is not a synchronous collection capability.
DOM-LANG-PIN-CORE	path:core::pin	pinning and address-sensitive values	LATER	Separate pin/address-stability lock.	Logical stable identity does not imply stable physical address.
DOM-LANG-PIN-STD	path:std::pin	pinning and address-sensitive values	LATER+RED	Separate pin/address-stability lock; std path is a reexport.	Intrusive/self-referential structures remain blocked.
DOM-SYNC-CORE	path:core::sync	atomics and synchronization	FRAME+LATER	Separate memory-model/concurrency lock.	Race freedom, ordering, and progress are outside sequential data closure.
DOM-SYNC-STD	path:std::sync	atomics and synchronization	FRAME+LIB+LATER	Separate concurrency lock; higher-level structures may later be libraries.	Locks, atomics, channels, and safe reclamation need independent evidence.
DOM-THREAD	path:std::thread	threads and thread-local state	FRAME+LATER	Separate concurrency/runtime lock.	Spawn/join/TLS/parking and stack behavior are platform contracts.
DOM-THREAD-LOCAL	path:std::thread_local	threads and thread-local state	FRAME+LATER+RED	Separate concurrency/runtime lock; macro spelling is redundant.	TLS lifetime and destruction are not ordinary globals.
DOM-IO-CORE	path:core::io	synchronous I/O	LIB+LATER	Interface evidence; platform frame lives under std I/O lock.	Partial reads/writes and resources are not data-floor claims.
DOM-IO-STD	path:std::io	synchronous I/O	FRAME+LIB+LATER	Narrow platform frame plus checked adapters after dense sequences.	EOF, interruption, vectored I/O, errors, and resource ownership need a lock.
DOM-FS	path:std::fs	filesystems and paths	FRAME+LIB+LATER	Filesystem/resource lock.	Files, directories, metadata, races, and atomic operations remain blocked.
DOM-PATH	path:std::path	filesystems and paths	LIB+LATER	Lexical path library plus platform-string policy.	Path parsing alone does not establish filesystem capability.
DOM-ENV	path:std::env	process environment	FRAME+LIB+LATER	Process/platform lock.	Arguments, environment mutation, and global concurrency behavior remain blocked.
DOM-PROCESS	path:std::process	process environment	FRAME+LIB+LATER	Process/resource lock.	Spawn/wait/kill/pipes and exit semantics are platform contracts.
DOM-FFI-CORE	path:core::ffi	FFI, ABI, and OS resources	FRAME+LIB+LATER+NG	Pure checked C-value/string transformations may be libraries; gated ABI work is later; rich object interop and raw escape are non-goals.	C scalar/string values do not establish safe foreign ownership.
DOM-FFI-ALLOC	path:alloc::ffi	FFI, ABI, and OS resources	FRAME+LIB+LATER	Checked owned foreign-string helpers plus gated boundary.	Allocation and ownership transfer remain explicit.
DOM-FFI-STD	path:std::ffi	FFI, ABI, and OS resources	FRAME+LIB+LATER	Checked foreign/platform-string helpers plus gated boundary.	Callbacks, foreign threads, and ABI fact attenuation remain separate.
DOM-OS	path:std::os	FFI, ABI, and OS resources	FRAME+LIB+LATER	Platform extension and owned-resource locks.	Descriptors/handles, close semantics, platform strings, and ABI details remain blocked.
DOM-OS-FS	regex:^std::os::(?:darwin|linux|macos|unix|windows)::fs(?:::.+)?$	filesystems and paths	FRAME+LIB+LATER	Filesystem extension contracts route to D16.	Platform placement does not change their semantic owner.
DOM-OS-PROCESS	regex:^std::os::(?:unix|windows)::process(?:::.+)?$	process environment	FRAME+LIB+LATER	Process extension contracts route to D17.	Platform placement does not change their semantic owner.
DOM-OS-NET	regex:^std::os::(?:linux|unix)::net(?:::.+)?$	networking	FRAME+LIB+LATER	Socket extension contracts route to D19.	Platform placement does not change their semantic owner.
DOM-OS-THREAD	regex:^std::os::(?:unix|windows)::thread(?:::.+)?$	threads and thread-local state	FRAME+LATER	Thread extension contracts route to D21.	Platform placement does not change their semantic owner.
DOM-OS-CORE	path:core::os	FFI, ABI, and OS resources	FRAME+LATER	Future platform boundary family.	The unstable core module is implementation evidence, not a stable contract.
DOM-PROCESS-CORE	path:core::process	process environment	FRAME+LATER	Future process/platform family.	The unstable core module is implementation evidence, not a stable contract.
DOM-NET-CORE	path:core::net	networking	LIB+LATER	Address values and parsing; socket operations require a platform lock.	Pure address values do not establish networking I/O.
DOM-NET-STD	path:std::net	networking	FRAME+LIB+LATER	Socket/networking/resource lock.	DNS, blocking, options, timeouts, and lifecycle remain blocked.
DOM-TIME-CORE	path:core::time	time and clocks	LIB+LATER	Duration value arithmetic.	Clock reads and timers require platform semantics.
DOM-TIME-STD	path:std::time	time and clocks	FRAME+LIB+LATER	Clock/platform lock plus ordinary duration algorithms.	Monotonicity, wall-clock jumps, resolution, and sleep remain blocked.
DOM-BOOL-CORE	path:core::bool	scalar and aggregate values	G0	Protected copy Bool and scalar operations.	The measured copy amendment is current evidence.
DOM-BOOL-STD	path:std::bool	scalar and aggregate values	G0+RED	Protected copy Bool; std primitive path is redundant.	The source declaration is core.
DOM-TUPLE-CORE	path:core::tuple	scalar and aggregate values	LATER	Tuple product values require an explicit aggregate-value disposition.	Rust tuple spelling is demand evidence, not a presumption that xlang needs the same surface.
DOM-TUPLE-STD	path:std::tuple	scalar and aggregate values	LATER+RED	Tuple product values require an explicit aggregate-value disposition; the std path is a reexport.	Rust tuple spelling is demand evidence, not a presumption that xlang needs the same surface.
DOM-UNIT-CORE	path:core::unit	scalar and aggregate values	LATER	The unit value requires an explicit zero-field or equivalent value disposition.	Rust unit spelling is demand evidence, not a presumption that xlang needs the same surface.
DOM-UNIT-STD	path:std::unit	scalar and aggregate values	LATER+RED	The unit value requires an explicit zero-field or equivalent value disposition; the std path is a reexport.	Rust unit spelling is demand evidence, not a presumption that xlang needs the same surface.
DOM-PRIMITIVE-CORE	path:core::primitive	prelude and reexports	RED	Canonical primitive declarations route through their receiver domains.	The primitive module is a namespace/reexport surface.
DOM-PRIMITIVE-STD	path:std::primitive	prelude and reexports	RED	Canonical primitive declarations route through their receiver domains.	The std primitive module is a namespace/reexport surface.
DOM-REFERENCE-CORE	path:core::reference	ownership and borrowing	G0	Checked shared/uniq borrow semantics.	Rust reference methods are demand evidence, not borrow-inference authority.
DOM-FN-CORE	path:core::fn	language organization and abstraction	G0+LATER+RED	Static direct calls now; general function values/closures remain later.	Rust function-trait spelling is not required.
DOM-PRELUDE-CORE	path:core::prelude	prelude and reexports	RED	Canonical underlying domains.	Prelude packaging adds no capability.
DOM-PRELUDE-STD	path:std::prelude	prelude and reexports	RED	Canonical underlying domains.	Edition-specific imports add no capability.
DOM-BUILD-GLOBAL-ALLOCATOR	path:core::prelude::v1::global_allocator	build-time metadata and code generation	LATER+RED	Build/allocator registration spelling routes to D14 and operationally depends on D07.	The attribute is not a data capability.
DOM-BUILD-TEST-ATTRIBUTE	path:core::prelude::v1::test	build-time metadata and code generation	LATER+RED	Test discovery and build integration route to D14.	The attribute is not a data capability.
DOM-TARGET-X86-DETECT	path:std::is_x86_feature_detected	target intrinsics and dispatch	FRAME+LATER+RED	Target-feature detection routes to D24; macro spelling is redundant.	Machine-feature truth remains a reviewed target frame.
DOM-SURFACE-MACRO	kind:macro	macros and convenience surface	RED+LATER	Map each macro to its owning domain; macro-system/build work is separate.	A macro name is not an independent semantic capability.
DOM-SURFACE-KEYWORD	kind:keyword	prelude and reexports	RED	Map every keyword's underlying concept to its owning language domain.	Rust keyword documentation is not a standard-library capability list.
DOM-SURFACE-ATTR	kind:attr	build-time metadata and code generation	LATER+RED	Separate module/build/toolchain work.	Attribute spelling is not a data capability.
DOM-SURFACE-DERIVE	kind:derive	build-time metadata and code generation	LATER+RED	Compiler-generated explicit behavior or ordinary code.	Rust derive spelling is not required one for one.
DOM-UNSTABLE-AUTODIFF-CORE	path:core::autodiff	numeric values and algorithms	LATER	Separate numeric and differentiation family.	Unstable automatic differentiation is not part of the stable demand anchor.
DOM-UNSTABLE-AUTODIFF-STD	path:std::autodiff	numeric values and algorithms	LATER	Separate numeric and differentiation family.	Unstable automatic differentiation is not part of the stable demand anchor.
DOM-UNSTABLE-LANG-CONTRACTS	path:core::contracts	language organization and abstraction	LATER	Separate language-contract surface review.	An unstable Rust spelling does not select an xlang mechanism.
DOM-UNSTABLE-LANG-FIELD	path:core::field	language organization and abstraction	LATER	Separate language-abstraction review.	An unstable Rust spelling does not select an xlang mechanism.
DOM-UNSTABLE-LANG-FROM	path:core::from	conversion and behavior	LATER	Separate conversion-protocol review.	An unstable Rust spelling does not select an xlang mechanism.
DOM-UNSTABLE-LANG-INDEX	path:core::index	language organization and abstraction	LATER	Separate indexing-protocol review.	An unstable Rust spelling does not select an xlang mechanism.
DOM-UNSTABLE-LANG-PAT	path:core::pat	language organization and abstraction	LATER	Separate pattern-protocol review.	An unstable Rust spelling does not select an xlang mechanism.
DOM-UNSTABLE-LANG-CONTRACTS-STD	path:std::contracts	language organization and abstraction	LATER	Separate language-contract surface review.	An unstable Rust spelling does not select an xlang mechanism.
DOM-UNSTABLE-LANG-FIELD-STD	path:std::field	language organization and abstraction	LATER	Separate language-abstraction review.	An unstable Rust spelling does not select an xlang mechanism.
DOM-UNSTABLE-LANG-FROM-STD	path:std::from	conversion and behavior	LATER	Separate conversion-protocol review.	An unstable Rust spelling does not select an xlang mechanism.
