impl_ordinal	topology_route_identity	impl_key	selection_family	owning_contract_ids	implementer	exact_classifier_id	classifier_rationale	primary_refinement_family_or_gate	required_predecessor_family_ids	required_predecessor_gate_stage_ids	implicated_or_reopening_family_ids	implicated_or_reopening_gate_stage_ids	classification_policy	topology_scope_policy	source_artifact	source_row_sha256	source_crosswalk_sha256	vocabulary_sha256	classifier_member_count	classifier_member_sha256	policy_version
90	3e1c3dca817d61cdf3c473ac8e29223bbabfda64253c4b57204151fa9fbe7648	32e69b25ab5a79b1955d4e9b936dd5c4c853b87f5569a2edd713102406f2c6a3	COMPARISON_HASH	TRAIT-CMP-01	[T]where T: PartialEq<U>,	CLASS-DENSE	Contiguous Vec, slice, array, and boxed-slice or boxed-array storage is refined by the dense family.	F-DENSE	NONE	NONE	F-DENSE	NONE	EXACT_IMPLEMENTER_STRING_MEMBERSHIP_IN_CLOSED_ENUMERATED_CLASS;NO_REGEX;NO_PREFIX;NO_SUBSTRING;NO_FUZZY_MATCH;NO_DEFAULT;NO_UNMATCHED;PRIMARY_REFINEMENT_AND_PREDECESSOR_AND_IMPLICATED_REOPENING_ARE_TYPED_SEPARATELY;PREDECESSOR_NEVER_CONFERS_EVIDENCE_APPLICABILITY;TOPOLOGY_TARGETS_ARE_REFINEMENT_FAMILIES_OR_TYPED_GATE_STAGES_NOT_CROSSCUT_DIMENSIONS	CLASSIFY_SELECTED_STORAGE_OR_OWNERSHIP_TOPOLOGY;AN_ALLOCATOR_TYPE_PARAMETER_ALONE_DOES_NOT_ROUTE_TO_F_ALLOC_BECAUSE_THE_CROSSWALK_SELECTS_NO_USER_VISIBLE_ALLOCATOR_SERVICE_CONTRACT;ALLOCATOR_POLICY_REMAINS_SEPARATELY_SCOPED_TO_F_ALLOC	RUST-1.97.0-TRAIT-IMPL-CROSSWALK.tsv	faa95f4d3ce3ca7870f62bcd852819408fed5d7aeff6260af6a22696eeb021ee	3e6a60450b62fdf0bc0794d10318566ca151f9e09a21d027fc016976d1acde50	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad	119	da744a49e860ff7865e60ec3835bc40b07464a89df75a75a67c9514eaef6a608	xlang-g0-trait-impl-topology-routing-v1
91	7dc0146887fb66c5e6fe84894488c5d40b0325ad15d2cdc2064c25060c1a6262	9f324b120a22bd9ab6312bc27607fc2a068b29327060cb1777229462c5baa43d	COMPARISON_HASH	TRAIT-CMP-01	Rc<T, A>	CLASS-SHARED	Generic Rc and Weak implementers are owned by shared-ownership refinement and do not import dense sequence topology.	F-SHARED	NONE	NONE	F-SHARED	NONE	EXACT_IMPLEMENTER_STRING_MEMBERSHIP_IN_CLOSED_ENUMERATED_CLASS;NO_REGEX;NO_PREFIX;NO_SUBSTRING;NO_FUZZY_MATCH;NO_DEFAULT;NO_UNMATCHED;PRIMARY_REFINEMENT_AND_PREDECESSOR_AND_IMPLICATED_REOPENING_ARE_TYPED_SEPARATELY;PREDECESSOR_NEVER_CONFERS_EVIDENCE_APPLICABILITY;TOPOLOGY_TARGETS_ARE_REFINEMENT_FAMILIES_OR_TYPED_GATE_STAGES_NOT_CROSSCUT_DIMENSIONS	CLASSIFY_SELECTED_STORAGE_OR_OWNERSHIP_TOPOLOGY;AN_ALLOCATOR_TYPE_PARAMETER_ALONE_DOES_NOT_ROUTE_TO_F_ALLOC_BECAUSE_THE_CROSSWALK_SELECTS_NO_USER_VISIBLE_ALLOCATOR_SERVICE_CONTRACT;ALLOCATOR_POLICY_REMAINS_SEPARATELY_SCOPED_TO_F_ALLOC	RUST-1.97.0-TRAIT-IMPL-CROSSWALK.tsv	c05ef12a88c2f57b887d881f559ff5384ff241962ea82d945ed03ae021f9d433	3e6a60450b62fdf0bc0794d10318566ca151f9e09a21d027fc016976d1acde50	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad	16	395158b90dc0785e53f627275c82702ef1f78fcf31a643507752e726e64f22ce	xlang-g0-trait-impl-topology-routing-v1
92	ea9709064e6fe29235833d22f1ad7822cdd0c2f5d7fb060b9d060063cf6e18a0	8dc5e6c30878cd0845f5e52fe4952c7d95844c3896e0389a6e3569a2d467aa9a	COMPARISON_HASH	TRAIT-CMP-01	BTreeSet<T, A>	CLASS-ORDERED	B-tree map and set implementers retain comparison-ordered topology after reviewed dense node arrays and both general recursive-owner and stable-identity node routes; candidates need not combine them or pay unused metadata.	F-ORDERED	F-DENSE,F-IDENTITY,F-RECURSIVE	NONE	F-ORDERED	NONE	EXACT_IMPLEMENTER_STRING_MEMBERSHIP_IN_CLOSED_ENUMERATED_CLASS;NO_REGEX;NO_PREFIX;NO_SUBSTRING;NO_FUZZY_MATCH;NO_DEFAULT;NO_UNMATCHED;PRIMARY_REFINEMENT_AND_PREDECESSOR_AND_IMPLICATED_REOPENING_ARE_TYPED_SEPARATELY;PREDECESSOR_NEVER_CONFERS_EVIDENCE_APPLICABILITY;TOPOLOGY_TARGETS_ARE_REFINEMENT_FAMILIES_OR_TYPED_GATE_STAGES_NOT_CROSSCUT_DIMENSIONS	CLASSIFY_SELECTED_STORAGE_OR_OWNERSHIP_TOPOLOGY;AN_ALLOCATOR_TYPE_PARAMETER_ALONE_DOES_NOT_ROUTE_TO_F_ALLOC_BECAUSE_THE_CROSSWALK_SELECTS_NO_USER_VISIBLE_ALLOCATOR_SERVICE_CONTRACT;ALLOCATOR_POLICY_REMAINS_SEPARATELY_SCOPED_TO_F_ALLOC	RUST-1.97.0-TRAIT-IMPL-CROSSWALK.tsv	9018705b17a7c58517e28ed1829c5326dab8e0a871ffbd78ce81158ec73c69d3	3e6a60450b62fdf0bc0794d10318566ca151f9e09a21d027fc016976d1acde50	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad	27	ffab0aaf622bb3cdb43007b0d90c4d0a34656a9c51350da61777824ec9b1e529	xlang-g0-trait-impl-topology-routing-v1
93	65a6a1ee5d59b6fbc3713aceded008629ff199c1ef62d8965b1e7d56b47bb84f	196b387bf4acbfe73f417f59e2d283db2ca236da76799e2c8e78cb9b61277f47	COMPARISON_HASH	TRAIT-CMP-01	LinkedList<T, A>	CLASS-LINKED	LinkedList implementers pass through the linked-composition gate after dense, identity, and recursive predecessors.	GATE-LINKED-COMPOSITION	F-DENSE,F-IDENTITY,F-RECURSIVE	NONE	NONE	GATE-LINKED-COMPOSITION	EXACT_IMPLEMENTER_STRING_MEMBERSHIP_IN_CLOSED_ENUMERATED_CLASS;NO_REGEX;NO_PREFIX;NO_SUBSTRING;NO_FUZZY_MATCH;NO_DEFAULT;NO_UNMATCHED;PRIMARY_REFINEMENT_AND_PREDECESSOR_AND_IMPLICATED_REOPENING_ARE_TYPED_SEPARATELY;PREDECESSOR_NEVER_CONFERS_EVIDENCE_APPLICABILITY;TOPOLOGY_TARGETS_ARE_REFINEMENT_FAMILIES_OR_TYPED_GATE_STAGES_NOT_CROSSCUT_DIMENSIONS	CLASSIFY_SELECTED_STORAGE_OR_OWNERSHIP_TOPOLOGY;AN_ALLOCATOR_TYPE_PARAMETER_ALONE_DOES_NOT_ROUTE_TO_F_ALLOC_BECAUSE_THE_CROSSWALK_SELECTS_NO_USER_VISIBLE_ALLOCATOR_SERVICE_CONTRACT;ALLOCATOR_POLICY_REMAINS_SEPARATELY_SCOPED_TO_F_ALLOC	RUST-1.97.0-TRAIT-IMPL-CROSSWALK.tsv	755c967696d3f3c957476b93239197548b2b38f83a8c15b7b1b663481693545b	3e6a60450b62fdf0bc0794d10318566ca151f9e09a21d027fc016976d1acde50	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad	14	568c3bd6f7ae28ba7012e943ab52521be1289b0352a9fbd2a0f5c7d58105af04	xlang-g0-trait-impl-topology-routing-v1
94	ec47c105dd2dc23a52b0a32966b42cb1aab3b63075d14f612b2fb0f54a01789f	55ebcd42a96d947dc1503f30864ee1fa5322dcb36b3a9b28ef3b9c6fc9cc2b87	COMPARISON_HASH	TRAIT-CMP-01	VecDeque<T, A>	CLASS-DEQUE	VecDeque implementers retain the distinct ring and rebalance topology.	F-DEQUE	NONE	NONE	F-DEQUE	NONE	EXACT_IMPLEMENTER_STRING_MEMBERSHIP_IN_CLOSED_ENUMERATED_CLASS;NO_REGEX;NO_PREFIX;NO_SUBSTRING;NO_FUZZY_MATCH;NO_DEFAULT;NO_UNMATCHED;PRIMARY_REFINEMENT_AND_PREDECESSOR_AND_IMPLICATED_REOPENING_ARE_TYPED_SEPARATELY;PREDECESSOR_NEVER_CONFERS_EVIDENCE_APPLICABILITY;TOPOLOGY_TARGETS_ARE_REFINEMENT_FAMILIES_OR_TYPED_GATE_STAGES_NOT_CROSSCUT_DIMENSIONS	CLASSIFY_SELECTED_STORAGE_OR_OWNERSHIP_TOPOLOGY;AN_ALLOCATOR_TYPE_PARAMETER_ALONE_DOES_NOT_ROUTE_TO_F_ALLOC_BECAUSE_THE_CROSSWALK_SELECTS_NO_USER_VISIBLE_ALLOCATOR_SERVICE_CONTRACT;ALLOCATOR_POLICY_REMAINS_SEPARATELY_SCOPED_TO_F_ALLOC	RUST-1.97.0-TRAIT-IMPL-CROSSWALK.tsv	03c6ce9e92068dd6f94110e305e480f7cd711cb372e6810dc81a8b062a7652cf	3e6a60450b62fdf0bc0794d10318566ca151f9e09a21d027fc016976d1acde50	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad	22	625e1b947a6762793614602f05917501b4e81dbe58fd3167e1b7aa502a74dd4e	xlang-g0-trait-impl-topology-routing-v1
95	d60de49ecc7559751eb61e17d1c23eeeb338a6573e9def2ac26e28f461691cb0	7c569e9025f6ac80e7f90596e61c198824dc8435042144d0c46c6c4191ed8285	COMPARISON_HASH	TRAIT-CMP-01	String	CLASS-TEXT	String, str, and boxed str require the text family, with dense storage retained only as a predecessor.	F-TEXT	F-DENSE	NONE	F-TEXT	NONE	EXACT_IMPLEMENTER_STRING_MEMBERSHIP_IN_CLOSED_ENUMERATED_CLASS;NO_REGEX;NO_PREFIX;NO_SUBSTRING;NO_FUZZY_MATCH;NO_DEFAULT;NO_UNMATCHED;PRIMARY_REFINEMENT_AND_PREDECESSOR_AND_IMPLICATED_REOPENING_ARE_TYPED_SEPARATELY;PREDECESSOR_NEVER_CONFERS_EVIDENCE_APPLICABILITY;TOPOLOGY_TARGETS_ARE_REFINEMENT_FAMILIES_OR_TYPED_GATE_STAGES_NOT_CROSSCUT_DIMENSIONS	CLASSIFY_SELECTED_STORAGE_OR_OWNERSHIP_TOPOLOGY;AN_ALLOCATOR_TYPE_PARAMETER_ALONE_DOES_NOT_ROUTE_TO_F_ALLOC_BECAUSE_THE_CROSSWALK_SELECTS_NO_USER_VISIBLE_ALLOCATOR_SERVICE_CONTRACT;ALLOCATOR_POLICY_REMAINS_SEPARATELY_SCOPED_TO_F_ALLOC	RUST-1.97.0-TRAIT-IMPL-CROSSWALK.tsv	f1bd0a9ae08feefb3cd0991f98c79f03942245f6a31cc3396cb7979e2f1ec32b	3e6a60450b62fdf0bc0794d10318566ca151f9e09a21d027fc016976d1acde50	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad	60	bc1d08c10e2ceeae083beed253e9f5a8cdf9d04442c50d6ccdbff96e75a6c7a8	xlang-g0-trait-impl-topology-routing-v1
96	c748376151045a001819d1a271091c38f256cfaa047cc7572bebdeca1f67f026	cb4878cf58d4e3d2dc75015050530ea1e8c9ee33bac30f0ae8f87d91d0d95066	COMPARISON_HASH	TRAIT-CMP-01	str	CLASS-TEXT	String, str, and boxed str require the text family, with dense storage retained only as a predecessor.	F-TEXT	F-DENSE	NONE	F-TEXT	NONE	EXACT_IMPLEMENTER_STRING_MEMBERSHIP_IN_CLOSED_ENUMERATED_CLASS;NO_REGEX;NO_PREFIX;NO_SUBSTRING;NO_FUZZY_MATCH;NO_DEFAULT;NO_UNMATCHED;PRIMARY_REFINEMENT_AND_PREDECESSOR_AND_IMPLICATED_REOPENING_ARE_TYPED_SEPARATELY;PREDECESSOR_NEVER_CONFERS_EVIDENCE_APPLICABILITY;TOPOLOGY_TARGETS_ARE_REFINEMENT_FAMILIES_OR_TYPED_GATE_STAGES_NOT_CROSSCUT_DIMENSIONS	CLASSIFY_SELECTED_STORAGE_OR_OWNERSHIP_TOPOLOGY;AN_ALLOCATOR_TYPE_PARAMETER_ALONE_DOES_NOT_ROUTE_TO_F_ALLOC_BECAUSE_THE_CROSSWALK_SELECTS_NO_USER_VISIBLE_ALLOCATOR_SERVICE_CONTRACT;ALLOCATOR_POLICY_REMAINS_SEPARATELY_SCOPED_TO_F_ALLOC	RUST-1.97.0-TRAIT-IMPL-CROSSWALK.tsv	0fdb429fd38b3f73da8993a16d9473db7a35064b83e64fcc18d6a12c743074fb	3e6a60450b62fdf0bc0794d10318566ca151f9e09a21d027fc016976d1acde50	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad	60	bc1d08c10e2ceeae083beed253e9f5a8cdf9d04442c50d6ccdbff96e75a6c7a8	xlang-g0-trait-impl-topology-routing-v1
97	72921f9e3e70760cf383c9becddb5032db8e5681201ac036c0aa9ca088260b98	b90bcb7a17daed9634e90948a58295e9a224b308aef8064d370620521f4bf352	COMPARISON_HASH	TRAIT-CMP-01	BTreeMap<K, V, A>	CLASS-ORDERED	B-tree map and set implementers retain comparison-ordered topology after reviewed dense node arrays and both general recursive-owner and stable-identity node routes; candidates need not combine them or pay unused metadata.	F-ORDERED	F-DENSE,F-IDENTITY,F-RECURSIVE	NONE	F-ORDERED	NONE	EXACT_IMPLEMENTER_STRING_MEMBERSHIP_IN_CLOSED_ENUMERATED_CLASS;NO_REGEX;NO_PREFIX;NO_SUBSTRING;NO_FUZZY_MATCH;NO_DEFAULT;NO_UNMATCHED;PRIMARY_REFINEMENT_AND_PREDECESSOR_AND_IMPLICATED_REOPENING_ARE_TYPED_SEPARATELY;PREDECESSOR_NEVER_CONFERS_EVIDENCE_APPLICABILITY;TOPOLOGY_TARGETS_ARE_REFINEMENT_FAMILIES_OR_TYPED_GATE_STAGES_NOT_CROSSCUT_DIMENSIONS	CLASSIFY_SELECTED_STORAGE_OR_OWNERSHIP_TOPOLOGY;AN_ALLOCATOR_TYPE_PARAMETER_ALONE_DOES_NOT_ROUTE_TO_F_ALLOC_BECAUSE_THE_CROSSWALK_SELECTS_NO_USER_VISIBLE_ALLOCATOR_SERVICE_CONTRACT;ALLOCATOR_POLICY_REMAINS_SEPARATELY_SCOPED_TO_F_ALLOC	RUST-1.97.0-TRAIT-IMPL-CROSSWALK.tsv	bacda29a58d1e9293f325cb77953444cb8d8e16fa5d40756cbec16d2876655ed	3e6a60450b62fdf0bc0794d10318566ca151f9e09a21d027fc016976d1acde50	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad	27	ffab0aaf622bb3cdb43007b0d90c4d0a34656a9c51350da61777824ec9b1e529	xlang-g0-trait-impl-topology-routing-v1
98	7dc4eacae22cd6325a4cbd262dfd5ae55c410bff68cd023ce3a1f34c4bd59ebc	94c4796573439e9f5eae6e24d7202058b6c7828246b9a268301feb971e5a5d05	COMPARISON_HASH	TRAIT-CMP-01	Vec<T, A1>where T: PartialOrd, A1: Allocator, A2: Allocator,	CLASS-DENSE	Contiguous Vec, slice, array, and boxed-slice or boxed-array storage is refined by the dense family.	F-DENSE	NONE	NONE	F-DENSE	NONE	EXACT_IMPLEMENTER_STRING_MEMBERSHIP_IN_CLOSED_ENUMERATED_CLASS;NO_REGEX;NO_PREFIX;NO_SUBSTRING;NO_FUZZY_MATCH;NO_DEFAULT;NO_UNMATCHED;PRIMARY_REFINEMENT_AND_PREDECESSOR_AND_IMPLICATED_REOPENING_ARE_TYPED_SEPARATELY;PREDECESSOR_NEVER_CONFERS_EVIDENCE_APPLICABILITY;TOPOLOGY_TARGETS_ARE_REFINEMENT_FAMILIES_OR_TYPED_GATE_STAGES_NOT_CROSSCUT_DIMENSIONS	CLASSIFY_SELECTED_STORAGE_OR_OWNERSHIP_TOPOLOGY;AN_ALLOCATOR_TYPE_PARAMETER_ALONE_DOES_NOT_ROUTE_TO_F_ALLOC_BECAUSE_THE_CROSSWALK_SELECTS_NO_USER_VISIBLE_ALLOCATOR_SERVICE_CONTRACT;ALLOCATOR_POLICY_REMAINS_SEPARATELY_SCOPED_TO_F_ALLOC	RUST-1.97.0-TRAIT-IMPL-CROSSWALK.tsv	935074aaa57b9f4f4ef22b69402691cf8944f911a2c230ec8149154e3ea237ad	3e6a60450b62fdf0bc0794d10318566ca151f9e09a21d027fc016976d1acde50	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad	119	da744a49e860ff7865e60ec3835bc40b07464a89df75a75a67c9514eaef6a608	xlang-g0-trait-impl-topology-routing-v1
99	037ee20faade6138b088678746a5e6a63a4437c400a10b960668a4917c28be40	c1bad803160b077b734f9a43a47ee0a9e17e11d6bb12ae01a62dc2e2f8f283ba	COMPARISON_HASH	TRAIT-CMP-01	Rc<T, A>	CLASS-SHARED	Generic Rc and Weak implementers are owned by shared-ownership refinement and do not import dense sequence topology.	F-SHARED	NONE	NONE	F-SHARED	NONE	EXACT_IMPLEMENTER_STRING_MEMBERSHIP_IN_CLOSED_ENUMERATED_CLASS;NO_REGEX;NO_PREFIX;NO_SUBSTRING;NO_FUZZY_MATCH;NO_DEFAULT;NO_UNMATCHED;PRIMARY_REFINEMENT_AND_PREDECESSOR_AND_IMPLICATED_REOPENING_ARE_TYPED_SEPARATELY;PREDECESSOR_NEVER_CONFERS_EVIDENCE_APPLICABILITY;TOPOLOGY_TARGETS_ARE_REFINEMENT_FAMILIES_OR_TYPED_GATE_STAGES_NOT_CROSSCUT_DIMENSIONS	CLASSIFY_SELECTED_STORAGE_OR_OWNERSHIP_TOPOLOGY;AN_ALLOCATOR_TYPE_PARAMETER_ALONE_DOES_NOT_ROUTE_TO_F_ALLOC_BECAUSE_THE_CROSSWALK_SELECTS_NO_USER_VISIBLE_ALLOCATOR_SERVICE_CONTRACT;ALLOCATOR_POLICY_REMAINS_SEPARATELY_SCOPED_TO_F_ALLOC	RUST-1.97.0-TRAIT-IMPL-CROSSWALK.tsv	91be3ca6942ec7dde13ae00ed9740095dda2e0cc9786abed4377567d90ff0283	3e6a60450b62fdf0bc0794d10318566ca151f9e09a21d027fc016976d1acde50	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad	16	395158b90dc0785e53f627275c82702ef1f78fcf31a643507752e726e64f22ce	xlang-g0-trait-impl-topology-routing-v1
100	93a83d5fc45a7b6e82e8ba6ac39824ff83d19d04fea423ab99d4fc5b2576e1bb	d18e615795e31c4223fad418c6dd055f3b0ca52a822032ac0ee32e2bdc0f5adf	COMPARISON_HASH	TRAIT-CMP-01	BTreeSet<T, A>	CLASS-ORDERED	B-tree map and set implementers retain comparison-ordered topology after reviewed dense node arrays and both general recursive-owner and stable-identity node routes; candidates need not combine them or pay unused metadata.	F-ORDERED	F-DENSE,F-IDENTITY,F-RECURSIVE	NONE	F-ORDERED	NONE	EXACT_IMPLEMENTER_STRING_MEMBERSHIP_IN_CLOSED_ENUMERATED_CLASS;NO_REGEX;NO_PREFIX;NO_SUBSTRING;NO_FUZZY_MATCH;NO_DEFAULT;NO_UNMATCHED;PRIMARY_REFINEMENT_AND_PREDECESSOR_AND_IMPLICATED_REOPENING_ARE_TYPED_SEPARATELY;PREDECESSOR_NEVER_CONFERS_EVIDENCE_APPLICABILITY;TOPOLOGY_TARGETS_ARE_REFINEMENT_FAMILIES_OR_TYPED_GATE_STAGES_NOT_CROSSCUT_DIMENSIONS	CLASSIFY_SELECTED_STORAGE_OR_OWNERSHIP_TOPOLOGY;AN_ALLOCATOR_TYPE_PARAMETER_ALONE_DOES_NOT_ROUTE_TO_F_ALLOC_BECAUSE_THE_CROSSWALK_SELECTS_NO_USER_VISIBLE_ALLOCATOR_SERVICE_CONTRACT;ALLOCATOR_POLICY_REMAINS_SEPARATELY_SCOPED_TO_F_ALLOC	RUST-1.97.0-TRAIT-IMPL-CROSSWALK.tsv	0f1f1e109907d2c71a8ebdf47fbd33a705ce64bd2ea69b96602f3df9e9098ae9	3e6a60450b62fdf0bc0794d10318566ca151f9e09a21d027fc016976d1acde50	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad	27	ffab0aaf622bb3cdb43007b0d90c4d0a34656a9c51350da61777824ec9b1e529	xlang-g0-trait-impl-topology-routing-v1
101	4ff3869099ec03bc0451c7fa7f74dd08015a377d4c3e0c5868a62e873359d460	b1226e524e7a8e49d8f82dd79ad2d56fd414a4f4591b4263eaac346788defcc6	COMPARISON_HASH	TRAIT-CMP-01	LinkedList<T, A>	CLASS-LINKED	LinkedList implementers pass through the linked-composition gate after dense, identity, and recursive predecessors.	GATE-LINKED-COMPOSITION	F-DENSE,F-IDENTITY,F-RECURSIVE	NONE	NONE	GATE-LINKED-COMPOSITION	EXACT_IMPLEMENTER_STRING_MEMBERSHIP_IN_CLOSED_ENUMERATED_CLASS;NO_REGEX;NO_PREFIX;NO_SUBSTRING;NO_FUZZY_MATCH;NO_DEFAULT;NO_UNMATCHED;PRIMARY_REFINEMENT_AND_PREDECESSOR_AND_IMPLICATED_REOPENING_ARE_TYPED_SEPARATELY;PREDECESSOR_NEVER_CONFERS_EVIDENCE_APPLICABILITY;TOPOLOGY_TARGETS_ARE_REFINEMENT_FAMILIES_OR_TYPED_GATE_STAGES_NOT_CROSSCUT_DIMENSIONS	CLASSIFY_SELECTED_STORAGE_OR_OWNERSHIP_TOPOLOGY;AN_ALLOCATOR_TYPE_PARAMETER_ALONE_DOES_NOT_ROUTE_TO_F_ALLOC_BECAUSE_THE_CROSSWALK_SELECTS_NO_USER_VISIBLE_ALLOCATOR_SERVICE_CONTRACT;ALLOCATOR_POLICY_REMAINS_SEPARATELY_SCOPED_TO_F_ALLOC	RUST-1.97.0-TRAIT-IMPL-CROSSWALK.tsv	1ad433e02cfe614795321ccc05d00b5e5ad9a5695a2ca70753d3d88c5a6dc3e1	3e6a60450b62fdf0bc0794d10318566ca151f9e09a21d027fc016976d1acde50	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad	14	568c3bd6f7ae28ba7012e943ab52521be1289b0352a9fbd2a0f5c7d58105af04	xlang-g0-trait-impl-topology-routing-v1
102	d3c8bc505bd563f96275cd506b44923010bb8ef1d2504d9921f5e9725346243f	a27a151a99a7f57c1961a1ef9001d40a3b7420169f36c74ee83f80411f46aaf6	COMPARISON_HASH	TRAIT-CMP-01	VecDeque<T, A>	CLASS-DEQUE	VecDeque implementers retain the distinct ring and rebalance topology.	F-DEQUE	NONE	NONE	F-DEQUE	NONE	EXACT_IMPLEMENTER_STRING_MEMBERSHIP_IN_CLOSED_ENUMERATED_CLASS;NO_REGEX;NO_PREFIX;NO_SUBSTRING;NO_FUZZY_MATCH;NO_DEFAULT;NO_UNMATCHED;PRIMARY_REFINEMENT_AND_PREDECESSOR_AND_IMPLICATED_REOPENING_ARE_TYPED_SEPARATELY;PREDECESSOR_NEVER_CONFERS_EVIDENCE_APPLICABILITY;TOPOLOGY_TARGETS_ARE_REFINEMENT_FAMILIES_OR_TYPED_GATE_STAGES_NOT_CROSSCUT_DIMENSIONS	CLASSIFY_SELECTED_STORAGE_OR_OWNERSHIP_TOPOLOGY;AN_ALLOCATOR_TYPE_PARAMETER_ALONE_DOES_NOT_ROUTE_TO_F_ALLOC_BECAUSE_THE_CROSSWALK_SELECTS_NO_USER_VISIBLE_ALLOCATOR_SERVICE_CONTRACT;ALLOCATOR_POLICY_REMAINS_SEPARATELY_SCOPED_TO_F_ALLOC	RUST-1.97.0-TRAIT-IMPL-CROSSWALK.tsv	278e27272c04c9a3ecf2d0e6b26de86de45b9da8c982875e76184d3a8b644c55	3e6a60450b62fdf0bc0794d10318566ca151f9e09a21d027fc016976d1acde50	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad	22	625e1b947a6762793614602f05917501b4e81dbe58fd3167e1b7aa502a74dd4e	xlang-g0-trait-impl-topology-routing-v1
103	fbaba1cb13e4df04a59381dadde40105861abd255b1416e73eb25aac432de0e5	706d567bcd2d03c004b4dc7768468584645f05c547a08983522517e53fd12e07	COMPARISON_HASH	TRAIT-CMP-01	[T; N]	CLASS-DENSE	Contiguous Vec, slice, array, and boxed-slice or boxed-array storage is refined by the dense family.	F-DENSE	NONE	NONE	F-DENSE	NONE	EXACT_IMPLEMENTER_STRING_MEMBERSHIP_IN_CLOSED_ENUMERATED_CLASS;NO_REGEX;NO_PREFIX;NO_SUBSTRING;NO_FUZZY_MATCH;NO_DEFAULT;NO_UNMATCHED;PRIMARY_REFINEMENT_AND_PREDECESSOR_AND_IMPLICATED_REOPENING_ARE_TYPED_SEPARATELY;PREDECESSOR_NEVER_CONFERS_EVIDENCE_APPLICABILITY;TOPOLOGY_TARGETS_ARE_REFINEMENT_FAMILIES_OR_TYPED_GATE_STAGES_NOT_CROSSCUT_DIMENSIONS	CLASSIFY_SELECTED_STORAGE_OR_OWNERSHIP_TOPOLOGY;AN_ALLOCATOR_TYPE_PARAMETER_ALONE_DOES_NOT_ROUTE_TO_F_ALLOC_BECAUSE_THE_CROSSWALK_SELECTS_NO_USER_VISIBLE_ALLOCATOR_SERVICE_CONTRACT;ALLOCATOR_POLICY_REMAINS_SEPARATELY_SCOPED_TO_F_ALLOC	RUST-1.97.0-TRAIT-IMPL-CROSSWALK.tsv	a42ed22503ae088d33bfc797eaa379db660973718cd40555b4b83838dda35e24	3e6a60450b62fdf0bc0794d10318566ca151f9e09a21d027fc016976d1acde50	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad	119	da744a49e860ff7865e60ec3835bc40b07464a89df75a75a67c9514eaef6a608	xlang-g0-trait-impl-topology-routing-v1
