rule_id	output_lineage_map	affine_equation	true_origins	failure_equation	checking	status
K3-OWNER	A-OWNER<=A-OWNER+A-LIVE;A-VACANT<=A-VACANT+A-LIVE+A-PARTITION+A-CLASSIFIED+A-STRICT+A-SUBOWNER+A-TRANSIT;A-BYTES<=A-VACANT+A-BYTES+A-PARTITION;A-LIVE<=A-OWNER+A-LIVE+A-VACANT+A-BYTES+A-PARTITION+A-CLASSIFIED+A-STRICT+A-SUBOWNER+A-TRANSIT;A-PARTITION<=A-PARTITION+A-CLASSIFIED+A-STRICT+A-SUBOWNER+A-TRANSIT;A-CLASSIFIED<=A-CLASSIFIED;A-STRICT<=A-STRICT;A-SUBOWNER<=A-SUBOWNER+A-STRICT+A-PARTITION;A-TRANSIT<=A-TRANSIT+A-PARTITION+A-CLASSIFIED+A-STRICT	Each opcode has a separate one-to-one owner permutation; outputs listed together here are alternatives, never simultaneous copies, and every live lineage is consumed, moved, returned, destroyed, or escrowed once.	A-BYTES:CHECKED-BYTE-EVENT;A-LIVE:CHECKED-OWNER-INSTALL	Precommit failure returns every offered owner and exact predecessor; partial completion emits only its enumerated Transit equation.	Opcode-specific branch multiset table; no union-map acceptance without matching one branch.	COVERED
K3-BORROW	A-LOAN<=A-LIVE+A-ROLEVIEW+A-LOAN;A-PARTITION<=A-PARTITION	Begin emits one scoped loan while escrowing its source; reborrow narrows one loan; end consumes it and restores the retained parent lineage.	A-LOAN:EXACT-BORROW	Compatibility failure emits no loan; scope end has no outstanding child loan.	Scoped CFG branch equations.	COVERED
K3-CONTROL	A-CONTROL<=A-CONTROL+A-TRANSIT+A-DISPOSITION+A-PARTITION;A-TRANSIT<=A-CONTROL+A-TRANSIT+A-PARTITION;A-DISPOSITION<=A-CONTROL+A-TRANSIT+A-DISPOSITION;A-PARTITION<=A-PARTITION+A-CONTROL+A-TRANSIT	Each exact outcome consumes the entire predecessor multiset and emits one enumerated successor arm; the union map is not an authority rule by itself.	A-TRANSIT:LINEAR-STEP-OPEN	Recoverable, Repair, Poison, and terminal arms preserve exactly their declared resources; wildcard restoration is impossible.	Finite branch table and exact multiset equality.	COVERED
K3-DISPOSE	A-DISPOSITION<=A-DISPOSITION+A-RETIRED;A-PARTITION<=A-PARTITION+A-CLASSIFIED+A-STRICT+A-SUBOWNER+A-DISPOSITION;A-SUBOWNER<=A-SUBOWNER+A-DISPOSITION	Conversion consumes one existing owner/retired lineage; each returning structural step removes one exact source obligation before its terminal action.	A-DISPOSITION:AFFINE-OWNER-TO-ACTION	Failure returns the unchanged obligation or one exact smaller source plus remaining action.	Closed source/action branch equations and decreasing measure.	COVERED
K3-CALLABLE	A-CALLABLE<=A-CALLABLE;A-TRANSIT<=A-CALLABLE+A-DISPOSITION;A-PARTITION<=A-CALLABLE+A-DISPOSITION	Transfer moves one package; invoke consumes the package before call and maps its captured obligations to one InFlight or declared normal-post lineage.	-	Pack/enqueue failure returns the unchanged package; normal call return must match one finite signature postcondition.	Affine package CFG plus finite signature/effect equations.	COVERED
K3-ATOMIC	A-OWNER<=A-OWNER+A-CUSTODY;A-LIVE<=A-LIVE+A-CUSTODY;A-SUBOWNER<=A-SUBOWNER+A-CUSTODY;A-CUSTODY<=A-OWNER+A-LIVE+A-SUBOWNER+A-CUSTODY;A-INGRESS<=A-OWNER+A-LIVE+A-SUBOWNER+A-CUSTODY+A-INGRESS;A-SHARED<=A-OWNER+A-LIVE+A-CUSTODY+A-SHARED	Publication consumes owner lineage into PublishedCustody, Shared anchor, and the exact initial ingress set; later success transforms only the bound custody/ingress slot; outputs are exact branch alternatives.	A-CUSTODY:EXACT-ATOMIC-PUBLICATION;A-INGRESS:CHECKED-PUBLICATION-INGRESS;A-SHARED:EXACT-PUBLISH	Failed and retry arms return every offered owner, custody, ingress, and shared lineage unchanged.	Target-profile opcode table plus exact success/failure branch equations; authority-changing event is consumed once.	COVERED
K3-OBSERVE	A-DOMAIN<=A-DOMAIN;A-OBSERVATION<=A-DOMAIN+A-SHARED;A-ROLEVIEW<=A-OBSERVATION+A-INGRESS+A-SHARED;A-RETIRED<=A-CUSTODY+A-INGRESS+A-DOMAIN;A-QUIESCENT<=A-DOMAIN	Begin produces one scoped observation; role selection borrows Open ingress; retirement consumes PublishedCustody plus the complete all-Closed ingress set; Quiescent is a shared projection of a successful complete domain-generation validation and never consumes or owns another thread's observation token.	A-OBSERVATION:EXACT-BEGIN-OBSERVE;A-ROLEVIEW:SEALED-ELIMINATION;A-RETIRED:CLOSED-INGRESS-RETIRE;A-QUIESCENT:OBS-CLOSE	Open ingress, active old lane, incomplete/stalled registry, or ordering failure preserves inputs and emits neither Retired nor Quiescent.	ClosedIngress and OBS-CLOSE finite premise equations plus structural-fold state.	COVERED
K3-EXTERNAL	A-ROOT<=A-ROOT+ORIGIN(EXACT-ACQUISITION);A-RELEASE<=A-RELEASE+ORIGIN(EXACT-ACQUISITION);A-VACANT<=A-VACANT+ORIGIN(EXACT-VACANT-CREATION);A-BYTES<=A-BYTES+A-VACANT+ORIGIN(CHECKED-BYTE-EVENT);A-CONTROL<=A-CONTROL+A-TRANSIT;A-TRANSIT<=A-TRANSIT+A-CONTROL	Only sealed acquisition/read/write rows have true origins; all handle, control, and partial-event outputs preserve exact predecessor lineage, and authority-changing event entries are affine.	A-ROOT:EXACT-ACQUISITION;A-RELEASE:EXACT-ACQUISITION;A-VACANT:EXACT-VACANT-CREATION;A-BYTES:CHECKED-BYTE-EVENT	Every failure emits the row's exact or conservative successor; unknown external effect becomes Indeterminate rather than an invented predecessor or success.	Compiler-owned profile row plus exact branch resource equation.	COVERED
K3-FACT	A-FACT<=A-ROOT+A-PARTITION+A-CLASSIFIED+A-STRICT+A-LOAN+A-CONTROL+A-DOMAIN+A-OBSERVATION+A-QUIESCENT	Projection consumes and duplicates no safety authority.	A-FACT:READ-ONLY-PROJECTION	Failed projection emits no fact and keeps the runtime check.	Closed producer table and computed dependency/invalidator sets.	COVERED
K3-RELEASE	-	One root, one release escrow, one reunited partition, and every required domain/quiescence premise are consumed; no authority-bearing output survives.	-	Failed external release follows its sealed exact/conservative leaf outcome and never emits reusable root authority unless the row explicitly retains ownership.	Whole-cover, empty-obligation, matching-retired/quiescent, and terminal leaf equations.	COVERED
