authority_id	kind	multiplicity	binding	origin_class	origin_rule	origin_inputs	consumers	linear_transfers	invalidators	forbidden_producers	origin_rank
A-PARTITION	complete sealed root partition	affine	rho,lambda,leaf generations,exact cover	SEALED-COMPLETE-PARTITION	K2-LEAF	A-VACANT,A-BYTES,A-LIVE,N-FOOTPRINT	K1-RELAYOUT,K2-COMPOSE,K2-CLASSIFY,K2-STRICT,K2-LOAN,K2-CONTROL,K2-OBSERVER,K2-FACT,K3-OWNER,K3-BORROW,K3-CONTROL,K3-DISPOSE,K3-FACT,K3-RELEASE	Exact product, sum, span, split, join, state transition, and whole-root relayout	Any untracked overlapping store, incomplete join, or release	Metadata, validator, address, project recognition	4
A-SHARED	published shared anchor	shared with affine release escrow	rho,lambda,epsilon,domain,publication event	EXACT-PUBLISH	K3-ATOMIC	A-LIVE,A-ROOT	K2-OBSERVER,K3-ATOMIC,K3-OBSERVE	Shared handle movement under unchanged publication and root hold	Unpublish or close under exact protocol, interference invalidation, release	Copied address, guard presence, metadata, fact	4
A-CUSTODY	published target custody	affine	target root, publication lineage, complete ingress-set identity	EXACT-ATOMIC-PUBLICATION	K3-ATOMIC	A-OWNER,A-LIVE	K2-OBSERVER,K3-ATOMIC,K3-OBSERVE	Successful atomic publish, take, replace, or compare-exchange while preserving the complete ingress identity; Subowner publication is a lineage-preserving transfer	Terminal transfer, retirement conversion after ClosedIngress, abort	Failed CAS, copied bits, address, successful unlink alone, writer unreachability assertion	4
A-SUBOWNER	detached root-fragment owner	affine	rho,lambda,fragment epsilon,footprint,Out id	EXACT-DETACH	K2-COMPOSE	A-PARTITION	K2-COMPOSE,K2-STRICT,K3-OWNER,K3-ATOMIC,K3-DISPOSE	Fragment-local transitions and exact move	Matching join, terminal disposition, abort	Address, page metadata, heap association, backpointer lookup	5
A-INGRESS	complete target-admission set	affine	domain,target root,set identity,Open or Closed structural leaves,slot generations	CHECKED-PUBLICATION-INGRESS	K3-ATOMIC	A-CUSTODY,A-PARTITION	K2-OBSERVER,K3-ATOMIC,K3-OBSERVE	K2 sealing plus exact slot-bound Open-to-Closed or ingress-move transitions	ClosedIngress elimination into Retired, target withdrawal, abort	Successful CAS alone, address, copied pointer, policy name, partial edge set, writer reachability or unreachability assertion	5
A-CLASSIFIED	metadata-classified sealed state	affine	rho,lambda,epsilon,metadata,place map,finite role table,phase	KNOWN-STATE-SEAL	K2-CLASSIFY	A-PARTITION,N-METADATA	K2-CONTROL,K2-FACT,K3-OWNER,K3-BORROW,K3-DISPOSE,K3-FACT	Consumed predecessor to successor with unchanged owner multiset	Overlapping raw metadata or payload write, focus, relayout, release	Decoder result, metadata bits, validator, project recognition	5
A-STRICT	strict linear ownership state	affine	rho,lambda,epsilon,bound,map,node shape	KNOWN-STRICT-SEAL	K2-STRICT	A-PARTITION	K2-CONTROL,K2-FACT,K3-OWNER,K3-BORROW,K3-DISPOSE,K3-FACT	Empty, push, pop, splice, and fixed adoption consume predecessors	Raw head or next mutation, node reclassification, relayout, release	Non-null address, place key, pointer decode, scan result	5
A-DOMAIN	observer-domain controller	affine	domain identity,registry roots,admission profile,lane generations	COMPLETE-DOMAIN-SEAL	K2-OBSERVER	A-PARTITION,A-SHARED	K2-OBSERVER,K2-FACT,K3-OBSERVE,K3-FACT,K3-RELEASE	Move and exact profile-preserving generation advance	Registry mutation outside profile, domain close, release	Guard, epoch integer, address, policy name, writer invariant	5
A-ROLEVIEW	scoped selected role authority	scoped shared or unique	rho,lambda,epsilon,exact role footprint,parent certificate scope	SEALED-ELIMINATION	K2-CLASSIFY,K2-STRICT,K3-OBSERVE	A-CLASSIFIED,A-STRICT	K2-LOAN,K3-BORROW	None; payload loan may inherit a shorter scope	Scope end, parent transition, epsilon change, relayout, release	Metadata, address, decoder, equality callback, guard	6
A-CONTROL	stable/focus/progress/repair/poison controller	affine	affected roots,generations,measure,carried resources,events	KNOWN-STABLE-SEAL	K2-CONTROL	A-PARTITION	K2-CONTROL,K2-FACT,K3-CONTROL,K3-EXTERNAL,K3-FACT	Stable to Focus to Transit or Repair/Poison to successor; lineage preserved	Commit, terminal disposition, abort	Writer protocol, callback boolean, arbitrary rollback, validator	6
A-OBSERVATION	registered protected observation	affine guard with scoped loans	domain,lane,generation,scope,begin event	EXACT-BEGIN-OBSERVE	K3-OBSERVE	A-DOMAIN,A-SHARED	K2-FACT,K3-OBSERVE,K3-FACT	Move guard and create only nested scoped RoleViews	Exact end-observe, abort	Guard value, address, epoch copy, unregistered pin	6
A-RETIRED	retired target disposition right	affine	domain,cutoff,target root,terminal action,consumed ingress-set identity	CLOSED-INGRESS-RETIRE	K3-OBSERVE	A-CUSTODY,A-DOMAIN,A-INGRESS	K2-CALLABLE,K3-OBSERVE,K3-DISPOSE	Move or convert to gated Disposition/Once without re-rooting	Terminal disposition after matching Quiescent, abort	Address, failed or isolated unlink, guard, epoch integer, metadata, partial ingress set	6
A-LOAN	typed payload loan	scoped shared or unique	rho,lambda,epsilon,footprint,mode,region,invalidators	EXACT-BORROW	K2-LOAN	A-LIVE,A-ROLEVIEW	K2-CALLABLE,K2-FACT,K3-BORROW,K3-FACT	Explicit reborrow into same or shorter scope	Scope end, parent-consuming transition, relayout, release	Place descriptor, address, metadata, index, guard	7
A-TRANSIT	focused or partial-progress obligation	affine	roots,generations,exact carried owners,measure,event prefix	LINEAR-STEP-OPEN	K3-CONTROL	A-CONTROL	K2-LEAF,K2-CONTROL,K3-OWNER,K3-CONTROL,K3-CALLABLE,K3-EXTERNAL	Move through sealed calls and exact next steps without increasing obligations	Commit, repair, poison, structured close, abort	Writer state relation, callback result alone, implicit rollback	7
A-DISPOSITION	executable terminal obligation	affine	exact source,target root,action,gate,measure	AFFINE-OWNER-TO-ACTION	K3-DISPOSE	A-OWNER,A-CONTROL	K2-LEAF,K2-CONTROL,K2-CALLABLE,K3-CONTROL,K3-DISPOSE,K3-CALLABLE	Move unchanged, structural reduction, or conversion of Retired lineage	Terminal action before obligation removal completes, abort	Arbitrary finalizer, destructor name, validator, address	7
A-QUIESCENT	validated cutoff closure	shared target-free proof	domain,cutoff,coverage frontier,ordering profile	OBS-CLOSE	K3-OBSERVE	A-DOMAIN	K2-FACT,K3-OBSERVE,K3-DISPOSE,K3-CALLABLE,K3-FACT,K3-RELEASE	Share within the same immutable cutoff/domain proof; later frontier or registry activity cannot revive a closed target	Terminal domain destruction after all target rights close	Guard, epoch integer, individual observation token, partial scan, writer predicate, quiescence leaf	7
A-CALLABLE	sealed reusable or affine once callable	closed shared or affine	environment provenance,effects,gate,finite signature set,representation choice	CHECKED-CALLABLE-SEAL	K2-CALLABLE	A-DISPOSITION	K3-CALLABLE,K3-DISPOSE	Reusable invocation under shared rules or affine Once transfer/enqueue	Consume-before-invoke, normal capture disposition, abort	Raw function pointer, raw bytes, unsafe send promise, project identity	8
A-FACT	optimizer fact	copyable within dependency scope	exact accepted judgments and invalidators	READ-ONLY-PROJECTION	K2-FACT,K3-FACT	A-ROOT,A-PARTITION,A-CLASSIFIED,A-STRICT,A-LOAN,A-CONTROL,A-DOMAIN,A-OBSERVATION,A-QUIESCENT	OPTIMIZER-ONLY	No safety-authority consumer; optimization only	Scope end, matching state/event invalidator, relayout, release	Writer assertion; facts may never produce owner, validity, custody, observation, retirement, quiescence, or release	8
