contract_id	family	rust_surfaces	pre_state	input_ownership	post_state_result	invalidation	failure_drop_abandonment	complexity	layout_identity_order	behavior_parameter	implementation_privilege_evidence	xlang_current_status	required_obligations	source_refs
VIEW-SPLIT-01	borrowed_shape_partition	slice::{split_at,split_at_mut}	View and split index	Shared or unique borrow	Two covering subviews [0,mid) and [mid,len)	Outputs tied to source; mutable outputs disjoint and jointly exclusive	mid>len panics in Rust; xlang-equivalent contract must retain checked failure	O(1)	No movement; exact order and contiguity retained	Split index	Safe surface; mutable form creates proven disjoint borrows	X for dynamic unique split; shared split is U	Checked boundary, exact coverage, provenance, and runtime disjointness fact review	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=split_at,split_at_mut; src/core/slice/mod.rs.html#1953
VIEW-SPLIT-02	borrowed_shape_partition	slice::{split_at_checked,split_at_mut_checked}	View and split index	Shared or unique borrow	Option of two covering subviews	Outputs tied to source; unique outputs disjoint	mid>len returns None without mutation	O(1)	No movement; exact order and contiguity retained	Split index	Safe checked partition	X for dynamic unique split; shared form U	Failure must not create partial borrows; same fact-channel review as trapping form	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=split_at_checked,split_at_mut_checked
VIEW-CONSUME-01	borrowed_view_cursor	slice::{split_off,split_off_mut,split_off_first,split_off_last,split_off_first_mut,split_off_last_mut}	Mutable binding containing a shared or unique slice reference	Unique access to the reference value, not ownership of payload	Returns one endpoint/range borrow and advances or shortens the stored view	Old reference value is replaced; returned and remaining unique views are disjoint	Invalid one-sided range returns None and leaves reference contractually valid	O(1)	No element movement; range order retained	One-sided range or endpoint	Safe lifetime reassignment inside reference value	X; borrow reassignment/result reborrow not in current ownership core	Singleton provenance update, no overlap, and failure atomicity; returned-versus-remaining unique sibling disjointness	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=split_off,split_off_mut,split_off_first,split_off_last,split_off_first_mut,split_off_last_mut
VIEW-DISJOINT-01	borrowed_multi_access	slice::get_disjoint_mut	Uniquely borrowed view and N indices/ranges	Unique borrow plus copied index descriptors	Array of N unique outputs	All outputs tied to source and pairwise non-overlapping	Out-of-bounds or overlap returns GetDisjointMutError; no borrow escapes on error	Static proof has zero runtime validation; a dynamic path performs one O(N^2)-or-better validation and then O(1) direct access per result	No movement; caller-specified output order	Index descriptors	Safe surface validates a metadata-to-alias fact	X; OWN-7 proves only unequal literal indices	Complete dynamic disjointness proof, duplicate/range-overlap canaries, and hostile fact-channel review; member-scoped bounded unique result reborrow; charge every scratch byte and allocation used by any dynamic validation route	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice member=get_disjoint_mut; src/core/slice/mod.rs.html#5210; pinned Rust 1.97.0 library/core/src/slice/mod.rs:5680-5701 exact quadratic validation loop
VIEW-ARRAY-CHUNKS-01	borrowed_shape_partition	slice::{as_chunks,as_chunks_mut,as_rchunks,as_rchunks_mut,as_flattened,as_flattened_mut}	View of T or fixed arrays	Shared or unique borrow	Maximal array-chunk view plus remainder, or flattened view	Outputs tied to source; mutable pieces disjoint	N=0 is rejected/panics per Rust contract; otherwise total	O(1)	Same contiguous storage; forward or reverse remainder placement is observable	Const N and direction	Safe shape reinterpretation without type punning	X for generic borrowed aggregate shapes	Divisibility arithmetic, exact coverage, alignment inherited from T, and provenance	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=as_chunks,as_chunks_mut,as_rchunks,as_rchunks_mut,as_flattened,as_flattened_mut
VIEW-ITER-01	borrowed_iteration	slice::{iter,iter_mut}; slice helpers={Iter,IterMut}	Valid shared or unique view	Borrow of view	Forward iterator yielding shared or pairwise-disjoint unique elements	Iterator retains source borrow; yielded unique items cannot overlap	Normal or repeated terminal None leaves the cursor and source borrow live; cursor destruction, consuming close, or proven last use releases the borrow and owns no payload Proven last use may release only pure cursor/source-borrow authority after every incompatible yielded child ends and only when no repair, owned retained-state destruction, or allocation disposition remains. Destruction or consuming close performs every pending repair, owned-state destruction, and allocation disposition. Terminal None may retire or replace retained substate only under the exact concrete helper transition. An exhausted next call releases nothing unless separately proven to be the cursor's last use after every incompatible yielded child ends.	O(1) next; O(n) full traversal	Exact source order and exact size	Iterator protocol	Safe implementation uses pointer-range state internally	E through explicit index loop for Copy shared traversal; X for general affine/unique iterator protocol	Provenance-preserving cursor, exact exhaustion, and no duplicate unique yield; member-scoped bounded unique cursor reborrow; non-lending pairwise-live unique-Item disjointness Separate pure last-use authority release from destruction/close duties for owned retained state, repair, and allocation disposition; preserve exact concrete subcursor/epoch retirement.	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=iter,iter_mut; helper paths=alloc::slice::Iter,alloc::slice::IterMut; pinned Rust 1.97.0 library/core/src/iter/traits/iterator.rs:42-78 non-lending Item signature
VIEW-WINDOW-01	borrowed_iteration	slice::{windows,array_windows}; helpers={Windows,ArrayWindows}	Shared view and positive window size or const N	Shared borrow	Overlapping shared windows in order	All windows share source provenance; no mutable variant	Zero dynamic size panics; N=0 is rejected by array-window contract; normal or repeated terminal None leaves the cursor and source borrow live until destruction, consuming close, or proven last use Proven last use may release only pure cursor/source-borrow authority after every incompatible yielded child ends and only when no repair, owned retained-state destruction, or allocation disposition remains. Destruction or consuming close performs every pending repair, owned-state destruction, and allocation disposition. Terminal None may retire or replace retained substate only under the exact concrete helper transition.	O(1) next; O(n) traversal	Overlapping contiguous windows; source order	Window width	Safe shared pointer cursor	U; expressible with checked index loops but no generic helper protocol	Window bounds, overlap read-only rule, zero-width behavior, and abandonment Separate pure last-use authority release from destruction/close duties for owned retained state, repair, and allocation disposition; preserve exact concrete subcursor/epoch retirement.	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=windows,array_windows
VIEW-CHUNKS-01	borrowed_iteration	slice::{chunks,chunks_mut,chunks_exact,chunks_exact_mut,rchunks,rchunks_mut,rchunks_exact,rchunks_exact_mut}; helpers={Chunks,ChunksMut,ChunksExact,ChunksExactMut,RChunks,RChunksMut,RChunksExact,RChunksExactMut}	View and positive chunk size	Shared or unique borrow	Non-overlapping chunks; exact variants expose remainder separately	Iterator retains source; mutable yielded chunks are pairwise disjoint	Zero chunk size panics; normal or repeated terminal None leaves the cursor and source borrow live; cursor destruction, consuming close, or proven last use releases the borrow Proven last use may release only pure cursor/source-borrow authority after every incompatible yielded child ends and only when no repair, owned retained-state destruction, or allocation disposition remains. Destruction or consuming close performs every pending repair, owned-state destruction, and allocation disposition. Terminal None may retire or replace retained substate only under the exact concrete helper transition.	O(1) next; O(n) traversal	Forward or reverse chunk order and remainder placement are observable	Chunk size and direction	Safe implementation tracks cursor and remainder	X for general unique iterator; shared Copy loop is U	Pairwise-disjoint yield, exact remainder, zero-size failure, and provenance; non-lending pairwise-live unique-Item disjointness Separate pure last-use authority release from destruction/close duties for owned retained state, repair, and allocation disposition; preserve exact concrete subcursor/epoch retirement.	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=chunks,chunks_mut,chunks_exact,chunks_exact_mut,rchunks,rchunks_mut,rchunks_exact,rchunks_exact_mut; pinned Rust 1.97.0 library/core/src/iter/traits/iterator.rs:42-78 non-lending Item signature
VIEW-CHUNKBY-01	borrowed_iteration	slice::{chunk_by,chunk_by_mut}; helpers={ChunkBy,ChunkByMut}	View and adjacency predicate	Shared or unique borrow plus callable; Lazy members consume F or Pattern into the returned cursor/searcher; eager members own the behavior value for the call.	Maximal adjacent runs for which predicate holds	Iterator borrows source; mutable chunks are pairwise disjoint	Callback panic/abort ends operation under Rust unwind rules; xlang uses current aborting-trap rule. Normal or repeated terminal None retains the source borrow and owned callable F; cursor destruction from unused, partial, or terminal state releases the borrow and destroys F exactly once. Proven last use may release only pure cursor/source-borrow authority after every incompatible yielded child ends and only when no repair, owned retained-state destruction, or allocation disposition remains. Destruction or consuming close performs every pending repair, owned-state destruction, and allocation disposition. Terminal None may retire or replace retained substate only under the exact concrete helper transition.	O(n) predicate calls	Stable source order	FnMut(&T,&T)->bool	Safe cursor plus open behavior call	X; function-value protocol and unique iterator absent	Static behavior contract, call count/order, no alias escape, trap cleanup, and abandonment; non-lending pairwise-live unique-Item disjointness; stored-borrow preservation for arbitrary retained T, F, State, or cached Item fields; exact once destruction of owned callable, pattern, or searcher state Separate pure last-use authority release from destruction/close duties for owned retained state, repair, and allocation disposition; preserve exact concrete subcursor/epoch retirement.	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=chunk_by,chunk_by_mut; pinned Rust 1.97.0 library/core/src/iter/traits/iterator.rs:42-78 non-lending Item signature; pinned Rust 1.97.0 library/core/src/slice/iter.rs:3013-3114 retained predicate fields
VIEW-SPLIT-PRED-01	borrowed_iteration	slice::{split,split_mut,split_inclusive,split_inclusive_mut,splitn,splitn_mut,rsplit,rsplit_mut,rsplitn,rsplitn_mut}; helpers={Split,SplitMut,SplitInclusive,SplitInclusiveMut,SplitN,SplitNMut,RSplit,RSplitMut,RSplitN,RSplitNMut}	View, predicate, optional limit, and direction	Shared or unique borrow plus callable; Lazy members consume F or Pattern into the returned cursor/searcher; eager members own the behavior value for the call.	Subslice sequence separated by matching elements; delimiter inclusion and limit are row parameters	Iterator retains source; mutable outputs do not overlap	Callback trap follows the aborting rule. Normal or repeated terminal None retains the source borrow and owned predicate F; cursor destruction from unused, partial, or terminal state releases the borrow and destroys F exactly once. Proven last use may release only pure cursor/source-borrow authority after every incompatible yielded child ends and only when no repair, owned retained-state destruction, or allocation disposition remains. Destruction or consuming close performs every pending repair, owned-state destruction, and allocation disposition. Terminal None may retire or replace retained substate only under the exact concrete helper transition.	O(n) total predicate calls	Forward/reverse order, empty fields, inclusion, and limit are observable	FnMut(&T)->bool; direction; inclusive; maximum pieces	Safe cursor and split-state machine	X; behavior-parametric borrowed cursor absent	Exact delimiter ownership, empty-segment behavior, unique disjointness, and trap state; member-scoped bounded unique cursor reborrow; non-lending pairwise-live unique-Item disjointness; stored-borrow preservation for arbitrary retained T, F, State, or cached Item fields; exact once destruction of owned callable, pattern, or searcher state Separate pure last-use authority release from destruction/close duties for owned retained state, repair, and allocation disposition; preserve exact concrete subcursor/epoch retirement.	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=split,split_mut,split_inclusive,split_inclusive_mut,splitn,splitn_mut,rsplit,rsplit_mut,rsplitn,rsplitn_mut; pinned Rust 1.97.0 library/core/src/iter/traits/iterator.rs:42-78 non-lending Item signature; pinned Rust 1.97.0 library/core/src/slice/iter.rs:399-816 retained predicate fields
VIEW-SEARCH-01	sequence_search	slice::{contains,starts_with,ends_with,strip_prefix,strip_suffix}	Shared initialized view and value/pattern	Shared borrows	Boolean or surviving suffix/prefix subview	Returned subview tied to source	No failure	O(n) comparisons in general	Source order preserved	PartialEq or SlicePattern	Safe comparison loop	U; concrete Copy comparisons expressible, generic behavior contracts incomplete	Comparator law scope, returned-view provenance, and no hidden allocation	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=contains,starts_with,ends_with,strip_prefix,strip_suffix
VIEW-SEARCH-02	ordered_sequence_search	slice::{binary_search,binary_search_by,binary_search_by_key,partition_point}	Partitioned or sorted shared view	Shared borrow plus optional callable/key	Found index or insertion index; partition boundary	No invalidation. A materialized key/projection result keeps only provenance authorized by the callable capture or an independent static source; it never acquires provenance from the compared element or container merely because it was computed there.	No structural failure; inconsistent ordering yields unspecified logical result, not memory unsafety. The owned behavior environment is invoked exactly as selected by the member and is destroyed exactly once, including a one-shot environment on a branch that does not invoke it.	O(log n) calls	Index refers to current order	Ord, comparator, key projection, or predicate	Safe indexed search	X for generic static behavior; concrete primitive search is U	Freeze sortedness precondition, callback order envelope, and result semantics. Exact owned behavior-state disposition, capture provenance, zero-or-more invocation count, and direct monomorphized calls; a borrow-bearing environment is a separate stored-borrow branch. Exact disposition and provenance for every materialized key result; each operation-local key is consumed or destroyed exactly once, and this contract owns no cached key array.	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=binary_search,binary_search_by,binary_search_by_key,partition_point
VIEW-ORDER-CHECK-01	order_validation	slice::{is_sorted,is_sorted_by,is_sorted_by_key}	Shared view	Shared borrow plus optional callable	Boolean sortedness result	None. A materialized key/projection result keeps only provenance authorized by the callable capture or an independent static source; it never acquires provenance from the compared element or container merely because it was computed there.	No structural failure; callback trap aborts. The owned behavior environment is invoked exactly as selected by the member and is destroyed exactly once, including a one-shot environment on a branch that does not invoke it.	O(n)	Does not change order	PartialOrd, relation predicate, or key projection	Safe adjacent comparison	U for concrete Copy values; X for general behavior	Static behavior call and exact short-circuit order if exposed. Exact owned behavior-state disposition, capture provenance, zero-or-more invocation count, and direct monomorphized calls; a borrow-bearing environment is a separate stored-borrow branch. Exact disposition and provenance for every materialized key result; each operation-local key is consumed or destroyed exactly once, and this contract owns no cached key array.	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=is_sorted,is_sorted_by,is_sorted_by_key
VIEW-SORT-01	stable_sort	slice::{sort,sort_by,sort_by_key,sort_by_cached_key}	Uniquely borrowed initialized sequence	Unique borrow plus ordering behavior	Elements stably ordered; equal elements retain relative order	All element borrows invalid during operation; addresses stay within same slice but values relocate. A materialized key/projection result keeps only provenance authorized by the callable capture or an independent static source; it never acquires provenance from the compared element or container merely because it was computed there.	Allocation or callback failure must leave every element initialized and dropped once; Rust may allocate scratch. The owned behavior environment is invoked exactly as selected by the member and is destroyed exactly once, including a one-shot environment on a branch that does not invoke it.	O(n log n) worst-case target; cached-key computes each key once	Stable order; contiguous layout retained; element positions change	Ord, comparator, or key projection	Implementation uses scratch storage, raw moves, partial-run guards, and cleanup	X	Affine swap/relocation, partial scratch initialization, failure cleanup, static comparator, and stability proof. Exact owned behavior-state disposition, capture provenance, zero-or-more invocation count, and direct monomorphized calls; a borrow-bearing environment is a separate stored-borrow branch. Exact disposition and provenance for every materialized key result; sort_by_cached_key additionally owns and destroys its retained key array exactly once.	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=sort,sort_by,sort_by_key,sort_by_cached_key; src/alloc/slice.rs.html#131
VIEW-SORT-02	unstable_sort	slice::{sort_unstable,sort_unstable_by,sort_unstable_by_key}	Uniquely borrowed initialized sequence	Unique borrow plus ordering behavior	Elements ordered without equal-element stability guarantee	All element borrows invalid; positions change. A materialized key/projection result keeps only provenance authorized by the callable capture or an independent static source; it never acquires provenance from the compared element or container merely because it was computed there.	Callback trap must not create uninitialized or double-owned elements. The owned behavior environment is invoked exactly as selected by the member and is destroyed exactly once, including a one-shot environment on a branch that does not invoke it.	O(n log n) worst-case target; no allocation required by Rust contract	Contiguous layout retained; equal-element order unspecified	Ord, comparator, or key projection	Implementation uses in-place raw swap/partition machinery	X	Affine swap, comparator containment, stack bound, and exact initialization through partitioning. Exact owned behavior-state disposition, capture provenance, zero-or-more invocation count, and direct monomorphized calls; a borrow-bearing environment is a separate stored-borrow branch. Exact disposition and provenance for every materialized key result; each operation-local key is consumed or destroyed exactly once, and this contract owns no cached key array.	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=sort_unstable,sort_unstable_by,sort_unstable_by_key
VIEW-SELECT-01	order_selection	slice::{select_nth_unstable,select_nth_unstable_by,select_nth_unstable_by_key}	Uniquely borrowed initialized sequence and valid index	Unique borrow plus ordering behavior	Three mutable partitions with nth element in final sorted position; sides unordered within partition constraints	Source borrow replaced by three disjoint borrows; values relocate. A materialized key/projection result keeps only provenance authorized by the callable capture or an independent static source; it never acquires provenance from the compared element or container merely because it was computed there.	Out-of-range index panics; callback trap must retain full initialization. The owned behavior environment is invoked exactly as selected by the member and is destroyed exactly once, including a one-shot environment on a branch that does not invoke it.	Expected O(n) or documented Rust selection bound	Contiguous storage retained; partition order constraints observable	Ord, comparator, or key projection	In-place raw partition machinery	X	Dynamic disjoint result borrows, affine relocation, bounds failure, and comparator cleanup; result-borrow provenance. Exact owned behavior-state disposition, capture provenance, zero-or-more invocation count, and direct monomorphized calls; a borrow-bearing environment is a separate stored-borrow branch. Exact disposition and provenance for every materialized key result; each operation-local key is consumed or destroyed exactly once, and this contract owns no cached key array.	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=select_nth_unstable,select_nth_unstable_by,select_nth_unstable_by_key
VIEW-REORDER-01	in_place_reorder	slice::{reverse,rotate_left,rotate_right}	Uniquely borrowed initialized view	Unique borrow	Permutation completed in place	Existing element-position assumptions invalid; view identity remains	Rotate index beyond len panics; operation must leave full initialization	O(n)	Contiguous layout retained; exact permutation specified	Direction and rotation count	Safe surface implemented with swaps/moves	E for Copy values with loops; X for affine values	Dynamic affine swap/relocation and failure-before-mutation for invalid counts	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=reverse,rotate_left,rotate_right
VIEW-SWAP-01	in_place_relocation	slice::{swap,swap_with_slice}; mem::swap	One uniquely borrowed initialized slice plus two indices, or two uniquely borrowed initialized locations/views	slice::swap uses one unique slice plus two copied indices; swap_with_slice and mem::swap receive two unique places or slices	slice::swap with equal in-bounds indices is a checked no-op; unequal slice indices, swap_with_slice, and mem::swap exchange values without cloning or dropping	References to positions remain but observe exchanged values	slice::swap evaluates the first then second bounds check before mutation; equal in-bounds indices succeed unchanged. swap_with_slice length mismatch traps before element exchange; no branch drops a value	O(1) for element swap; O(n) for slice swap	Addresses fixed; value identities exchange positions	None	Safe surface relies on proven non-overlap or typed swap intrinsics	X for dynamic affine indexed places; Copy swap is E	Member-scoped equal-index checked no-op, unequal-index two-place exclusivity, no intermediate deinitialization visible, and exact failure ordering	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=swap,swap_with_slice; src/core/mem/mod.rs.html#763; pinned Rust 1.97.0 library/core/src/slice/mod.rs:884-917 equal-index contract and implementation; pinned Rust 1.97.0 library/core/src/ptr/mod.rs:1240-1330 overlap-permitting ptr::swap
VIEW-COPY-01	in_place_copy	slice::{copy_from_slice,copy_within}	Initialized destination and Copy source/range	Unique destination plus shared source or same-view indices. The copy_within member consumes its user-defined RangeBounds descriptor R by value; temporary endpoint borrows are bounded by R's live call interval.	Destination bytes replaced by Copy values	Destination content changes; borrows to written positions invalid. R is destroyed exactly once before normal return. No returned view, cursor, or owner derives provenance from R; it derives only from the declared container/source owner or independent payload roots. Each RangeBounds call is a runtime shared-receiver effect: the same nonconsumed outer descriptor owner remains valid on normal return, but its internal leaves may end, be replaced, or move only under the declared RangeBounds behavior-effect relation. Surviving leaves keep roots, ended leaves end once, new leaves are relation-authorized, and a unique transfer ends in the descriptor before destination liveness. Each later call consumes the preceding post-descriptor state. Each invoked runtime behavior is effectful by default, including through a shared receiver. Normal return preserves each nonconsumed outer owner, but its internal leaves may survive, end, move, or be installed only under declared behavior and result relations; later calls consume the preceding post-state.	Length/range errors panic before invalid access. A trap in any invoked user-defined behavior follows xlang EFF-4: immediate abort, no unwind cleanup or recoverable post-state promise, and no invalid read before abort.	O(n)	Order and overlap behavior specified; layout unchanged	Copy	Safe surface lowers to overlap-aware or non-overlap copies	U: primitive Copy loops are narrower than the unproved generic overlap-aware contract	Bounds, overlap direction, exact byte count, and retained checks. Exact by-value RangeBounds descriptor ownership, call-scoped endpoint provenance, descriptor destruction, and rejection of result provenance attributed to R. A temporary descriptor receiver, field address, or call frame mints no physical root. An endpoint result region is receiver-bounded while its physical root independently remains the actual receiver field or a declared pre-existing external/static root. Broken RangeBounds laws mint no bounds, occupancy, liveness, provenance, disjointness, or check-elision fact. Do not infer purity, idempotence, leaf-map preservation, call elision, duplication, common-subexpression elimination, fusion, or reordering without a declared relation or verified-body proof.	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=copy_from_slice,copy_within
VIEW-CLONE-01	in_place_clone	slice::clone_from_slice	Initialized destination and equal-length source	Unique destination, shared source, Clone behavior	Each destination element receives in-place Clone::clone_from from its source counterpart	Destination elements may reuse resources; no whole-value replacement, return, or destruction is guaranteed. Clone source-effect contract: each normal clone_from call maps valid pre-source and pre-destination owners to valid post-source and post-destination owners under the joint declared source and destination behavior-effect relations. Both shells remain valid; surviving leaves keep roots, overwritten or otherwise ended leaves end once, every new leaf is relation-authorized, and a unique transfer ends at its source before destination liveness and is never live in both. Destination storage reuse grants no root. Repeated calls use the preceding post-source and post-destination states.	Length mismatch panics before calls; clone_from trap may leave a valid partially updated prefix while every destination remains initialized. Temporary source views, receiver or field addresses, destination/container storage, and call frames mint no root unless the declared result relation names actual storage. A broken Clone law cannot weaken ownership, provenance, initialization, destruction, or fact-channel safety.	O(n) clone_from calls	Order and layout retained; destination resource reuse is permitted	Clone::clone_from	Pinned safe loop invokes overridable in-place clone_from on each live destination	X for affine Clone; Copy specialization covered by VIEW-COPY-01	Callable in-place clone-from contract, per-element validity and call order, partial-prefix trap safety, no forced whole-value drop, and exact behavior-effect provenance: surviving leaves keep roots, overwritten leaves end once, installed leaves follow clone_from, and destination reuse grants no provenance. Use the compiled clone source-effect, helper, and repeat_n canaries to exercise source root replacement, unique transfer, repeated-call post-source chaining, exact old-leaf disposition, and rejection of temporary roots or duplicate unique authority.	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice member=clone_from_slice; pinned Rust 1.97.0 library/core/src/slice/mod.rs:5602-5613. pinned Rust 1.97.0 library/core/src/clone.rs:194-250,506-562. compiled temporary xlang_clone_source_effects, xlang_clone_helper_source_effects, and xlang_repeat_n_source_effects canaries
