relation_ordinal	evidence_identity	cluster_id	evidence_kind	evidence_key	source_artifact	source_selector	selected_source_value	selected_source_value_sha256	source_row_sha256	evidence_granularity	materialization_policy	applicability	applicability_authority	applicability_primary_refinement_family_or_gate	applicability_required_predecessor_family_ids	applicability_required_predecessor_gate_stage_ids	applicability_additional_operation_gate_stage_ids	applicability_additional_operation_gate_child_specific_immediate_predecessor_family_or_gate_ids	applicability_implicated_or_reopening_family_ids	applicability_implicated_or_reopening_gate_stage_ids	applicability_authority_row_sha256	terminal_disposition_policy	allowed_terminal_dispositions	cluster_relation_count	cluster_relation_sha256	kind_relation_count	kind_relation_sha256	policy_version
339	963613da04a72958f70cc9f5c4300d7b996189fda238423f64971f84b21c52b9	TEXT-TRIM-01	CLUSTER_IMPLEMENTATION_PRIVILEGE_SELECTOR	TEXT-TRIM-01|implementation_privilege_evidence|696d4e85a3f6d317255d15bda7ca9c5e94af6836213498eec65469ed791ecf95	RUST-DATA-CONTRACT-CENSUS.tsv	contract_id=TEXT-TRIM-01;field=implementation_privilege_evidence	Safe boundary scan; left/right are deprecated aliases merged here	696d4e85a3f6d317255d15bda7ca9c5e94af6836213498eec65469ed791ecf95	f252974a2783d8240fceeb3971357739c623c9dd283a7aa7d91a4feca71fc3bb	EXACT_SOURCE_FIELD_SELECTOR_REQUIRES_FAMILY_LOCK_MEMBER_MATERIALIZATION	REFINED_REQUIRES_INDEPENDENT_EXHAUSTIVE_EXPANSION_OF_FROZEN_PARENT_BY_FROZEN_PARSER_OR_HOSTILE_REVIEWED_TOKEN_ANCHOR_LEDGER_AND_EXACT_CHILD_COUNT_SHA256_AND_EACH_CHILD_TERMINAL;PREDECESSOR_REQUIRES_THE_SAME_EXHAUSTIVE_CHILD_EQUALITY_AND_EXACT_PREDECESSOR_TERMINALS;EXCLUSION_BLOCKS_ALL_UNRESOLVED_CHILD_CLAIMS;SELF_SELECTED_CHILD_SET_OR_PARENT_ONLY_REFINEMENT_INVALID	INDEPENDENT_EXHAUSTIVE_EXPANSION_THEN_EXACT_CHILD_ROUTE_REQUIRED	FAMILY_LOCK_INDEPENDENT_SELECTOR_EXPANSION_AND_CHILD_APPLICABILITY_LEDGER	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	7307ba91fb93aa0f5e790cfdc4c5a1a0a41c281764b599bcae8006e18973b86a	EXACTLY_ONE_TERMINAL_PER_APPLICABLE_EVIDENCE_IDENTITY_AND_TARGET;EXCLUSION_FOR_ONE_TARGET_NEVER_ERASES_ANOTHER_TARGET	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	16	7c14592b186d03ac463f6b0b2493db2069f20b62bb948533500f3b797bc28f7c	276	8cca9d357d3dcdd58346a9fc187d545580428fe7835bdb07c24215b6acc756b8	xlang-g0-coverage-evidence-universe-v3
340	2c0c01b45b08e81d2c713c9b8983a2a1f58500b5f9157e0a618ae6221884f5a2	TEXT-TRIM-01	CLUSTER_SOURCE_REFS_SELECTOR	TEXT-TRIM-01|source_refs|ec9f66fede63dd088cdf80b5b40c093a0497a5a06f0e2bc4671e5c3b9f002e3a	RUST-DATA-CONTRACT-CENSUS.tsv	contract_id=TEXT-TRIM-01;field=source_refs	RUST-1.97.0-API-INVENTORY.tsv item_path=std::str members=trim,trim_start,trim_end,trim_left,trim_right,trim_matches,trim_start_matches,trim_end_matches,trim_left_matches,trim_right_matches,trim_ascii,trim_ascii_start,trim_ascii_end	ec9f66fede63dd088cdf80b5b40c093a0497a5a06f0e2bc4671e5c3b9f002e3a	f252974a2783d8240fceeb3971357739c623c9dd283a7aa7d91a4feca71fc3bb	EXACT_SOURCE_FIELD_SELECTOR_REQUIRES_FAMILY_LOCK_MEMBER_MATERIALIZATION	REFINED_REQUIRES_INDEPENDENT_EXHAUSTIVE_EXPANSION_OF_FROZEN_PARENT_BY_FROZEN_PARSER_OR_HOSTILE_REVIEWED_TOKEN_ANCHOR_LEDGER_AND_EXACT_CHILD_COUNT_SHA256_AND_EACH_CHILD_TERMINAL;PREDECESSOR_REQUIRES_THE_SAME_EXHAUSTIVE_CHILD_EQUALITY_AND_EXACT_PREDECESSOR_TERMINALS;EXCLUSION_BLOCKS_ALL_UNRESOLVED_CHILD_CLAIMS;SELF_SELECTED_CHILD_SET_OR_PARENT_ONLY_REFINEMENT_INVALID	INDEPENDENT_EXHAUSTIVE_EXPANSION_THEN_EXACT_CHILD_ROUTE_REQUIRED	FAMILY_LOCK_INDEPENDENT_SELECTOR_EXPANSION_AND_CHILD_APPLICABILITY_LEDGER	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	7307ba91fb93aa0f5e790cfdc4c5a1a0a41c281764b599bcae8006e18973b86a	EXACTLY_ONE_TERMINAL_PER_APPLICABLE_EVIDENCE_IDENTITY_AND_TARGET;EXCLUSION_FOR_ONE_TARGET_NEVER_ERASES_ANOTHER_TARGET	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	16	7c14592b186d03ac463f6b0b2493db2069f20b62bb948533500f3b797bc28f7c	276	5be94c7a50be99f1d2028e205b49b011f1a8477b60251c9a49bb2a00d2a49ef1	xlang-g0-coverage-evidence-universe-v3
341	53f4895d346a22fc0f98208e31498674938a69a76a05f7b1ca9429b04eedcd7b	TEXT-ESCAPE-01	STABLE_SAFE_SURFACE	src/core/str/mod.rs.html#3022|provided_or_inherent_method|escape_debug	RUST-DATA-SURFACE-MAP.tsv	canonical_key=src/core/str/mod.rs.html#3022|provided_or_inherent_method|escape_debug	src/core/str/mod.rs.html#3022|provided_or_inherent_method|escape_debug	c181c8c8252aa12a0086d9d26c1f3d77d0516c619682196270e38815611b64c0	a17cd7f5f69db3204a6ceea37012dfdec63c2ef558bef9b5bbd524f02c279bbb	EXACT_SOURCE_KEY	NONE_EXACT_SOURCE_KEY	INDEPENDENT_EXACT_CHILD_TO_FAMILY_OR_GATE_AUDIT_REQUIRED_BEFORE_DISPOSITION	FAMILY_LOCK_INDEPENDENT_CHILD_APPLICABILITY_LEDGER	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	9e9d09ab7a422671ebe3442284a4e61b6368cbc286d62ff78dac56eed12bc31c	EXACTLY_ONE_TERMINAL_PER_APPLICABLE_EVIDENCE_IDENTITY_AND_TARGET;EXCLUSION_FOR_ONE_TARGET_NEVER_ERASES_ANOTHER_TARGET	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	6	34e6d5100743c0c4809a2e07aee6bc1e8ca936ab67cc00ad54e19fb83408df83	545	61904777ba44c7ef738e4ac637b9ec14965e6018a2e5e449c68868654956a9eb	xlang-g0-coverage-evidence-universe-v3
342	738c2e9dcd83f53249ed0ae965c8d8845fe57ee5b8199bc1ded4b9e2fb309f97	TEXT-ESCAPE-01	STABLE_SAFE_SURFACE	src/core/str/mod.rs.html#3068|provided_or_inherent_method|escape_default	RUST-DATA-SURFACE-MAP.tsv	canonical_key=src/core/str/mod.rs.html#3068|provided_or_inherent_method|escape_default	src/core/str/mod.rs.html#3068|provided_or_inherent_method|escape_default	967e42b3189859820ab2b657ff2faba502b3cd5cec8246c85de9263557a9f46f	d783aad13a0b55559cd348a18dcc81f36bcc07dbeddaf7842492e36e14fc066c	EXACT_SOURCE_KEY	NONE_EXACT_SOURCE_KEY	INDEPENDENT_EXACT_CHILD_TO_FAMILY_OR_GATE_AUDIT_REQUIRED_BEFORE_DISPOSITION	FAMILY_LOCK_INDEPENDENT_CHILD_APPLICABILITY_LEDGER	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	9e9d09ab7a422671ebe3442284a4e61b6368cbc286d62ff78dac56eed12bc31c	EXACTLY_ONE_TERMINAL_PER_APPLICABLE_EVIDENCE_IDENTITY_AND_TARGET;EXCLUSION_FOR_ONE_TARGET_NEVER_ERASES_ANOTHER_TARGET	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	6	34e6d5100743c0c4809a2e07aee6bc1e8ca936ab67cc00ad54e19fb83408df83	545	61904777ba44c7ef738e4ac637b9ec14965e6018a2e5e449c68868654956a9eb	xlang-g0-coverage-evidence-universe-v3
343	8cd83c4f35ec0fead939ebc8d11623f125ca9636ffc790a0da0986aa7085c8d2	TEXT-ESCAPE-01	STABLE_SAFE_SURFACE	src/core/str/mod.rs.html#3106|provided_or_inherent_method|escape_unicode	RUST-DATA-SURFACE-MAP.tsv	canonical_key=src/core/str/mod.rs.html#3106|provided_or_inherent_method|escape_unicode	src/core/str/mod.rs.html#3106|provided_or_inherent_method|escape_unicode	a0fdb013c8555282705fee8bafe6d60a37aa3042651bb973645b74576ba56e71	88216104be7188d466f53614a50101dc7cdb8730c1979fcc43cada13755b7c2a	EXACT_SOURCE_KEY	NONE_EXACT_SOURCE_KEY	INDEPENDENT_EXACT_CHILD_TO_FAMILY_OR_GATE_AUDIT_REQUIRED_BEFORE_DISPOSITION	FAMILY_LOCK_INDEPENDENT_CHILD_APPLICABILITY_LEDGER	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	9e9d09ab7a422671ebe3442284a4e61b6368cbc286d62ff78dac56eed12bc31c	EXACTLY_ONE_TERMINAL_PER_APPLICABLE_EVIDENCE_IDENTITY_AND_TARGET;EXCLUSION_FOR_ONE_TARGET_NEVER_ERASES_ANOTHER_TARGET	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	6	34e6d5100743c0c4809a2e07aee6bc1e8ca936ab67cc00ad54e19fb83408df83	545	61904777ba44c7ef738e4ac637b9ec14965e6018a2e5e449c68868654956a9eb	xlang-g0-coverage-evidence-universe-v3
344	8570dd8bcb8a26077fd62fb74fb89d749e75d32b5a5be5559118018c47bec052	TEXT-ESCAPE-01	CLUSTER_RUST_SURFACES_SELECTOR	TEXT-ESCAPE-01|rust_surfaces|a2a51da553b87eaa75616f2d917302a276563dfd6e0059bcbf5043b2e4329e28	RUST-DATA-CONTRACT-CENSUS.tsv	contract_id=TEXT-ESCAPE-01;field=rust_surfaces	str::{escape_debug,escape_default,escape_unicode}; helpers={EscapeDebug,EscapeDefault,EscapeUnicode}	a2a51da553b87eaa75616f2d917302a276563dfd6e0059bcbf5043b2e4329e28	f2a6262c215343f25302c943a71988c295d593f3c2398eac60993caf338162b2	EXACT_SOURCE_FIELD_SELECTOR_REQUIRES_FAMILY_LOCK_MEMBER_MATERIALIZATION	REFINED_REQUIRES_INDEPENDENT_EXHAUSTIVE_EXPANSION_OF_FROZEN_PARENT_BY_FROZEN_PARSER_OR_HOSTILE_REVIEWED_TOKEN_ANCHOR_LEDGER_AND_EXACT_CHILD_COUNT_SHA256_AND_EACH_CHILD_TERMINAL;PREDECESSOR_REQUIRES_THE_SAME_EXHAUSTIVE_CHILD_EQUALITY_AND_EXACT_PREDECESSOR_TERMINALS;EXCLUSION_BLOCKS_ALL_UNRESOLVED_CHILD_CLAIMS;SELF_SELECTED_CHILD_SET_OR_PARENT_ONLY_REFINEMENT_INVALID	INDEPENDENT_EXHAUSTIVE_EXPANSION_THEN_EXACT_CHILD_ROUTE_REQUIRED	FAMILY_LOCK_INDEPENDENT_SELECTOR_EXPANSION_AND_CHILD_APPLICABILITY_LEDGER	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	7307ba91fb93aa0f5e790cfdc4c5a1a0a41c281764b599bcae8006e18973b86a	EXACTLY_ONE_TERMINAL_PER_APPLICABLE_EVIDENCE_IDENTITY_AND_TARGET;EXCLUSION_FOR_ONE_TARGET_NEVER_ERASES_ANOTHER_TARGET	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	6	34e6d5100743c0c4809a2e07aee6bc1e8ca936ab67cc00ad54e19fb83408df83	276	0c412f72d82d73aa77f0a033219606baf1c32b88ac63dc0c1c9af5177bb4b330	xlang-g0-coverage-evidence-universe-v3
345	ec0aa944507e6a8bc8aa7c5842baaa9dcc44c3881cd9e44f4ac3660f772bff88	TEXT-ESCAPE-01	CLUSTER_IMPLEMENTATION_PRIVILEGE_SELECTOR	TEXT-ESCAPE-01|implementation_privilege_evidence|23ec0c75ce9b7005ceb39772dca5a92524715588089ff824503e5483d452cf2b	RUST-DATA-CONTRACT-CENSUS.tsv	contract_id=TEXT-ESCAPE-01;field=implementation_privilege_evidence	Safe scalar decoder plus escape table	23ec0c75ce9b7005ceb39772dca5a92524715588089ff824503e5483d452cf2b	f2a6262c215343f25302c943a71988c295d593f3c2398eac60993caf338162b2	EXACT_SOURCE_FIELD_SELECTOR_REQUIRES_FAMILY_LOCK_MEMBER_MATERIALIZATION	REFINED_REQUIRES_INDEPENDENT_EXHAUSTIVE_EXPANSION_OF_FROZEN_PARENT_BY_FROZEN_PARSER_OR_HOSTILE_REVIEWED_TOKEN_ANCHOR_LEDGER_AND_EXACT_CHILD_COUNT_SHA256_AND_EACH_CHILD_TERMINAL;PREDECESSOR_REQUIRES_THE_SAME_EXHAUSTIVE_CHILD_EQUALITY_AND_EXACT_PREDECESSOR_TERMINALS;EXCLUSION_BLOCKS_ALL_UNRESOLVED_CHILD_CLAIMS;SELF_SELECTED_CHILD_SET_OR_PARENT_ONLY_REFINEMENT_INVALID	INDEPENDENT_EXHAUSTIVE_EXPANSION_THEN_EXACT_CHILD_ROUTE_REQUIRED	FAMILY_LOCK_INDEPENDENT_SELECTOR_EXPANSION_AND_CHILD_APPLICABILITY_LEDGER	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	7307ba91fb93aa0f5e790cfdc4c5a1a0a41c281764b599bcae8006e18973b86a	EXACTLY_ONE_TERMINAL_PER_APPLICABLE_EVIDENCE_IDENTITY_AND_TARGET;EXCLUSION_FOR_ONE_TARGET_NEVER_ERASES_ANOTHER_TARGET	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	6	34e6d5100743c0c4809a2e07aee6bc1e8ca936ab67cc00ad54e19fb83408df83	276	8cca9d357d3dcdd58346a9fc187d545580428fe7835bdb07c24215b6acc756b8	xlang-g0-coverage-evidence-universe-v3
346	0fd5d108a2daab391896debe2e349803cce08898a2f3b50b8bd38822f36731e5	TEXT-ESCAPE-01	CLUSTER_SOURCE_REFS_SELECTOR	TEXT-ESCAPE-01|source_refs|f6faa81f6c906a5d3199f1959030e7f8997236433a4f1eaa3485b8a830212770	RUST-DATA-CONTRACT-CENSUS.tsv	contract_id=TEXT-ESCAPE-01;field=source_refs	RUST-1.97.0-API-INVENTORY.tsv item_path=std::str members=escape_debug,escape_default,escape_unicode	f6faa81f6c906a5d3199f1959030e7f8997236433a4f1eaa3485b8a830212770	f2a6262c215343f25302c943a71988c295d593f3c2398eac60993caf338162b2	EXACT_SOURCE_FIELD_SELECTOR_REQUIRES_FAMILY_LOCK_MEMBER_MATERIALIZATION	REFINED_REQUIRES_INDEPENDENT_EXHAUSTIVE_EXPANSION_OF_FROZEN_PARENT_BY_FROZEN_PARSER_OR_HOSTILE_REVIEWED_TOKEN_ANCHOR_LEDGER_AND_EXACT_CHILD_COUNT_SHA256_AND_EACH_CHILD_TERMINAL;PREDECESSOR_REQUIRES_THE_SAME_EXHAUSTIVE_CHILD_EQUALITY_AND_EXACT_PREDECESSOR_TERMINALS;EXCLUSION_BLOCKS_ALL_UNRESOLVED_CHILD_CLAIMS;SELF_SELECTED_CHILD_SET_OR_PARENT_ONLY_REFINEMENT_INVALID	INDEPENDENT_EXHAUSTIVE_EXPANSION_THEN_EXACT_CHILD_ROUTE_REQUIRED	FAMILY_LOCK_INDEPENDENT_SELECTOR_EXPANSION_AND_CHILD_APPLICABILITY_LEDGER	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	7307ba91fb93aa0f5e790cfdc4c5a1a0a41c281764b599bcae8006e18973b86a	EXACTLY_ONE_TERMINAL_PER_APPLICABLE_EVIDENCE_IDENTITY_AND_TARGET;EXCLUSION_FOR_ONE_TARGET_NEVER_ERASES_ANOTHER_TARGET	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	6	34e6d5100743c0c4809a2e07aee6bc1e8ca936ab67cc00ad54e19fb83408df83	276	5be94c7a50be99f1d2028e205b49b011f1a8477b60251c9a49bb2a00d2a49ef1	xlang-g0-coverage-evidence-universe-v3
347	54a21affe206d44cbdab80a8ada349ad8014576d84907a36c8cd823303a06dec	TEXT-PARSE-01	STABLE_SAFE_SURFACE	src/core/str/mod.rs.html#2765|provided_or_inherent_method|parse	RUST-DATA-SURFACE-MAP.tsv	canonical_key=src/core/str/mod.rs.html#2765|provided_or_inherent_method|parse	src/core/str/mod.rs.html#2765|provided_or_inherent_method|parse	8af9db46393a0f8e611b2fcc48b645d101aa455355a809b46855f855b5d312f5	120fcce1ffdb2b8eb1e7f0f702de73f637f149de08e0d03f347c7a99d08cf733	EXACT_SOURCE_KEY	NONE_EXACT_SOURCE_KEY	INDEPENDENT_EXACT_CHILD_TO_FAMILY_OR_GATE_AUDIT_REQUIRED_BEFORE_DISPOSITION	FAMILY_LOCK_INDEPENDENT_CHILD_APPLICABILITY_LEDGER	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	9e9d09ab7a422671ebe3442284a4e61b6368cbc286d62ff78dac56eed12bc31c	EXACTLY_ONE_TERMINAL_PER_APPLICABLE_EVIDENCE_IDENTITY_AND_TARGET;EXCLUSION_FOR_ONE_TARGET_NEVER_ERASES_ANOTHER_TARGET	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	4	951918637c68eac2a23a01208d56015d69daf8f24712471b7c546b2db59a1a35	545	61904777ba44c7ef738e4ac637b9ec14965e6018a2e5e449c68868654956a9eb	xlang-g0-coverage-evidence-universe-v3
348	5406415e58d72c44fba328f63a9ef7f6736c30c92b03407314b0ba4e9ea3fc62	TEXT-PARSE-01	CLUSTER_RUST_SURFACES_SELECTOR	TEXT-PARSE-01|rust_surfaces|0518a8f9cee8d4a5d664502589f3dc7158de19913e5166deca8c5ddf66df7b08	RUST-DATA-CONTRACT-CENSUS.tsv	contract_id=TEXT-PARSE-01;field=rust_surfaces	str::parse	0518a8f9cee8d4a5d664502589f3dc7158de19913e5166deca8c5ddf66df7b08	a76228a621a471545aa26fb72d9b31f8588e5df118f5700559b845f17971b96d	EXACT_SOURCE_FIELD_SELECTOR_REQUIRES_FAMILY_LOCK_MEMBER_MATERIALIZATION	REFINED_REQUIRES_INDEPENDENT_EXHAUSTIVE_EXPANSION_OF_FROZEN_PARENT_BY_FROZEN_PARSER_OR_HOSTILE_REVIEWED_TOKEN_ANCHOR_LEDGER_AND_EXACT_CHILD_COUNT_SHA256_AND_EACH_CHILD_TERMINAL;PREDECESSOR_REQUIRES_THE_SAME_EXHAUSTIVE_CHILD_EQUALITY_AND_EXACT_PREDECESSOR_TERMINALS;EXCLUSION_BLOCKS_ALL_UNRESOLVED_CHILD_CLAIMS;SELF_SELECTED_CHILD_SET_OR_PARENT_ONLY_REFINEMENT_INVALID	INDEPENDENT_EXHAUSTIVE_EXPANSION_THEN_EXACT_CHILD_ROUTE_REQUIRED	FAMILY_LOCK_INDEPENDENT_SELECTOR_EXPANSION_AND_CHILD_APPLICABILITY_LEDGER	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	7307ba91fb93aa0f5e790cfdc4c5a1a0a41c281764b599bcae8006e18973b86a	EXACTLY_ONE_TERMINAL_PER_APPLICABLE_EVIDENCE_IDENTITY_AND_TARGET;EXCLUSION_FOR_ONE_TARGET_NEVER_ERASES_ANOTHER_TARGET	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	4	951918637c68eac2a23a01208d56015d69daf8f24712471b7c546b2db59a1a35	276	0c412f72d82d73aa77f0a033219606baf1c32b88ac63dc0c1c9af5177bb4b330	xlang-g0-coverage-evidence-universe-v3
