canonical_key	representative_path	item_kind	member_kind	member_name	caller_safety	surface_evidence_status	surface_evidence_reason	rule_id	domain_id	domain	canonical_contract_id	need_route_kind	need_route_id	need_route_reason	required_frame_ids	safe_displacement_id	ng_authority_reason	canonical_route_or_blocked_claim
src/alloc/borrow.rs.html#27|item|ToOwned	alloc::borrow::ToOwned	trait	item	ToOwned	safe	safe_contract_anchor	the safe Rust declaration supplies caller-contract evidence without selecting xlang admission	DOM-BEHAVIOR-BORROW-ALLOC	D08	shared ownership and weak identity		LATER_FAMILY	FAMILY:D08:SHARED-OWNED-BORROWING	copy-on-write and shared owned borrowing require D08				Owned/borrowed conversion and copy-on-write after dense/shared dependencies.
src/alloc/borrow.rs.html#66|provided_or_inherent_method|clone_into	alloc::borrow::ToOwned	trait	provided_or_inherent_method	clone_into	safe	safe_contract_anchor	the safe Rust declaration supplies caller-contract evidence without selecting xlang admission	DOM-BEHAVIOR-BORROW-ALLOC	D08	shared ownership and weak identity		LATER_FAMILY	FAMILY:D08:SHARED-OWNED-BORROWING	copy-on-write and shared owned borrowing require D08				Owned/borrowed conversion and copy-on-write after dense/shared dependencies.
src/alloc/borrow.rs.html#48|required_method|to_owned	alloc::borrow::ToOwned	trait	required_method	to_owned	safe	safe_contract_anchor	the safe Rust declaration supplies caller-contract evidence without selecting xlang admission	DOM-BEHAVIOR-BORROW-ALLOC	D08	shared ownership and weak identity		LATER_FAMILY	FAMILY:D08:SHARED-OWNED-BORROWING	copy-on-write and shared owned borrowing require D08				Owned/borrowed conversion and copy-on-write after dense/shared dependencies.
alloc::boxed|item|boxed|	alloc::boxed	mod	item	boxed	safe	rust_surface_only	the Rust namespace or source spelling is evidence for an underlying need, not an xlang surface	DOM-DATA-BOX-ALLOC	D07	unique ownership and data structures		NO_INDEPENDENT_NEED	NAMESPACE:DOM-DATA-BOX-ALLOC	a module namespace is accounted by its declarations and adds no caller contract				Unique heap owner/extraction is detailed; conveniences are libraries; raw and custom allocation remain later or inadmissible.
src/alloc/boxed.rs.html#234|item|Box	alloc::boxed::Box	struct	item	Box	safe	safe_contract_anchor	the safe Rust declaration supplies caller-contract evidence without selecting xlang admission	DOM-DATA-BOX-ALLOC	D07	unique ownership and data structures		G0_CONTRACT	CAP:OW-MOVEOUT	the declaration belongs to a named G0 data-floor obligation pending exact family closure				Unique heap owner/extraction is detailed; conveniences are libraries; raw and custom allocation remain later or inadmissible.
src/alloc/boxed.rs.html#1197|provided_or_inherent_method|assume_init	alloc::boxed::Box	struct	provided_or_inherent_method	assume_init	unsafe	unsafe_boundary_evidence	Rust requires caller-provided safety obligations	DOM-DATA-BOX-ALLOC	D07	unique ownership and data structures		G0_CONTRACT	CAP:OW-INIT	checked partial initialization is a named G0 ownership obligation	F-MEM	CAP:OW-INIT		Unique heap owner/extraction is detailed; conveniences are libraries; raw and custom allocation remain later or inadmissible.
src/alloc/boxed.rs.html#1266|provided_or_inherent_method|assume_init	alloc::boxed::Box	struct	provided_or_inherent_method	assume_init	unsafe	unsafe_boundary_evidence	Rust requires caller-provided safety obligations	DOM-DATA-BOX-ALLOC	D07	unique ownership and data structures		G0_CONTRACT	CAP:OW-INIT	checked partial initialization is a named G0 ownership obligation	F-MEM	CAP:OW-INIT		Unique heap owner/extraction is detailed; conveniences are libraries; raw and custom allocation remain later or inadmissible.
src/alloc/boxed/convert.rs.html#333|provided_or_inherent_method|downcast	alloc::boxed::Box	struct	provided_or_inherent_method	downcast	safe	safe_contract_anchor	the safe Rust declaration supplies caller-contract evidence without selecting xlang admission	DOM-DATA-BOX-ALLOC	D13	runtime type identity and reflection	BOX-DOWNCAST-01	LATER_FAMILY	BOX-DOWNCAST-01	runtime type refinement and downcast belong to D13 rather than the data floor				Unique heap owner/extraction is detailed; conveniences are libraries; raw and custom allocation remain later or inadmissible.
src/alloc/boxed/convert.rs.html#392|provided_or_inherent_method|downcast	alloc::boxed::Box	struct	provided_or_inherent_method	downcast	safe	safe_contract_anchor	the safe Rust declaration supplies caller-contract evidence without selecting xlang admission	DOM-DATA-BOX-ALLOC	D13	runtime type identity and reflection	BOX-DOWNCAST-01	LATER_FAMILY	BOX-DOWNCAST-01	runtime type refinement and downcast belong to D13 rather than the data floor				Unique heap owner/extraction is detailed; conveniences are libraries; raw and custom allocation remain later or inadmissible.
src/alloc/boxed/convert.rs.html#451|provided_or_inherent_method|downcast	alloc::boxed::Box	struct	provided_or_inherent_method	downcast	safe	safe_contract_anchor	the safe Rust declaration supplies caller-contract evidence without selecting xlang admission	DOM-DATA-BOX-ALLOC	D13	runtime type identity and reflection	BOX-DOWNCAST-01	LATER_FAMILY	BOX-DOWNCAST-01	runtime type refinement and downcast belong to D13 rather than the data floor				Unique heap owner/extraction is detailed; conveniences are libraries; raw and custom allocation remain later or inadmissible.
src/alloc/boxed.rs.html#1320|provided_or_inherent_method|from_raw	alloc::boxed::Box	struct	provided_or_inherent_method	from_raw	unsafe	unsafe_boundary_evidence	Rust requires caller-provided safety obligations	DOM-DATA-BOX-ALLOC	D04	raw pointers and provenance		LATER_FAMILY	FAMILY:D04:CHECKED-ADDRESS-OWNERSHIP	raw address or ownership transfer requires a checked provenance family	F-MEM	FAMILY:D04:CHECKED-ADDRESS-OWNERSHIP		Unique heap owner/extraction is detailed; conveniences are libraries; raw and custom allocation remain later or inadmissible.
src/alloc/boxed.rs.html#1934|provided_or_inherent_method|into_pin	alloc::boxed::Box	struct	provided_or_inherent_method	into_pin	safe	safe_contract_anchor	the safe Rust declaration supplies caller-contract evidence without selecting xlang admission	DOM-DATA-BOX-ALLOC	D23	pinning and address-sensitive values	BOX-PIN-01	LATER_FAMILY	BOX-PIN-01	physical address stability belongs to the D23 pinning family				Unique heap owner/extraction is detailed; conveniences are libraries; raw and custom allocation remain later or inadmissible.
src/alloc/boxed.rs.html#1430|provided_or_inherent_method|into_raw	alloc::boxed::Box	struct	provided_or_inherent_method	into_raw	safe	safe_boundary_evidence	safe Rust surface exports a raw address, ownership, lifetime, or spare-capacity obligation	DOM-DATA-BOX-ALLOC	D04	raw pointers and provenance	RAW-SAFE-OWNERSHIP-01	LATER_FAMILY	RAW-SAFE-OWNERSHIP-01	raw address export, ownership transfer, or lifetime suppression requires a checked D04 family	F-MEM	FAMILY:D04:CHECKED-OWNERSHIP-TRANSFER		Unique heap owner/extraction is detailed; conveniences are libraries; raw and custom allocation remain later or inadmissible.
src/alloc/boxed.rs.html#1894|provided_or_inherent_method|leak	alloc::boxed::Box	struct	provided_or_inherent_method	leak	safe	safe_boundary_evidence	safe Rust surface exports a raw address, ownership, lifetime, or spare-capacity obligation	DOM-DATA-BOX-ALLOC	D04	raw pointers and provenance	RAW-SAFE-LEAK-01	LATER_FAMILY	RAW-SAFE-LEAK-01	raw address export, ownership transfer, or lifetime suppression requires a checked D04 family	F-MEM	FAMILY:D04:EXPLICIT-RESOURCE-ABANDONMENT		Unique heap owner/extraction is detailed; conveniences are libraries; raw and custom allocation remain later or inadmissible.
src/alloc/boxed.rs.html#284|provided_or_inherent_method|new	alloc::boxed::Box	struct	provided_or_inherent_method	new	safe	safe_contract_anchor	the safe Rust declaration supplies caller-contract evidence without selecting xlang admission	DOM-DATA-BOX-ALLOC	D07	unique ownership and data structures	BOX-NEW-01	G0_CONTRACT	BOX-NEW-01	a coarse non-importable coverage cluster is in the bounded sequential data-floor accounting	F-ALLOC			Unique heap owner/extraction is detailed; conveniences are libraries; raw and custom allocation remain later or inadmissible.
src/alloc/boxed.rs.html#311|provided_or_inherent_method|new_uninit	alloc::boxed::Box	struct	provided_or_inherent_method	new_uninit	safe	safe_boundary_evidence	safe Rust surface crosses raw-pointer, partial-initialization, or manual-lifetime state	DOM-DATA-BOX-ALLOC	D07	unique ownership and data structures	BOX-INIT-01	G0_CONTRACT	BOX-INIT-01	a coarse non-importable coverage cluster is in the bounded sequential data-floor accounting	F-ALLOC	CAP:OW-INIT		Unique heap owner/extraction is detailed; conveniences are libraries; raw and custom allocation remain later or inadmissible.
src/alloc/boxed.rs.html#916|provided_or_inherent_method|new_uninit_slice	alloc::boxed::Box	struct	provided_or_inherent_method	new_uninit_slice	safe	safe_boundary_evidence	safe Rust surface crosses raw-pointer, partial-initialization, or manual-lifetime state	DOM-DATA-BOX-ALLOC	D07	unique ownership and data structures	BOX-INIT-01	G0_CONTRACT	BOX-INIT-01	a coarse non-importable coverage cluster is in the bounded sequential data-floor accounting	F-ALLOC	CAP:OW-INIT		Unique heap owner/extraction is detailed; conveniences are libraries; raw and custom allocation remain later or inadmissible.
src/alloc/boxed.rs.html#340|provided_or_inherent_method|new_zeroed	alloc::boxed::Box	struct	provided_or_inherent_method	new_zeroed	safe	safe_boundary_evidence	safe Rust surface crosses raw-pointer, partial-initialization, or manual-lifetime state	DOM-DATA-BOX-ALLOC	D07	unique ownership and data structures	BOX-INIT-01	G0_CONTRACT	BOX-INIT-01	a coarse non-importable coverage cluster is in the bounded sequential data-floor accounting	F-ALLOC	CAP:OW-INIT		Unique heap owner/extraction is detailed; conveniences are libraries; raw and custom allocation remain later or inadmissible.
src/alloc/boxed.rs.html#939|provided_or_inherent_method|new_zeroed_slice	alloc::boxed::Box	struct	provided_or_inherent_method	new_zeroed_slice	safe	safe_boundary_evidence	safe Rust surface crosses raw-pointer, partial-initialization, or manual-lifetime state	DOM-DATA-BOX-ALLOC	D07	unique ownership and data structures	BOX-INIT-01	G0_CONTRACT	BOX-INIT-01	a coarse non-importable coverage cluster is in the bounded sequential data-floor accounting	F-ALLOC	CAP:OW-INIT		Unique heap owner/extraction is detailed; conveniences are libraries; raw and custom allocation remain later or inadmissible.
src/alloc/boxed.rs.html#355|provided_or_inherent_method|pin	alloc::boxed::Box	struct	provided_or_inherent_method	pin	safe	safe_contract_anchor	the safe Rust declaration supplies caller-contract evidence without selecting xlang admission	DOM-DATA-BOX-ALLOC	D23	pinning and address-sensitive values	BOX-PIN-01	LATER_FAMILY	BOX-PIN-01	physical address stability belongs to the D23 pinning family				Unique heap owner/extraction is detailed; conveniences are libraries; raw and custom allocation remain later or inadmissible.
src/alloc/boxed.rs.html#1231|provided_or_inherent_method|write	alloc::boxed::Box	struct	provided_or_inherent_method	write	safe	safe_contract_anchor	the safe Rust declaration supplies caller-contract evidence without selecting xlang admission	DOM-DATA-BOX-ALLOC	D07	unique ownership and data structures	BOX-INIT-01	G0_CONTRACT	BOX-INIT-01	a coarse non-importable coverage cluster is in the bounded sequential data-floor accounting	F-ALLOC			Unique heap owner/extraction is detailed; conveniences are libraries; raw and custom allocation remain later or inadmissible.
alloc::collections|item|collections|	alloc::collections	mod	item	collections	safe	rust_surface_only	the Rust namespace or source spelling is evidence for an underlying need, not an xlang surface	DOM-DATA-COLLECTIONS-ALLOC	D09	sequential and associative data structures		NO_INDEPENDENT_NEED	NAMESPACE:DOM-DATA-COLLECTIONS-ALLOC	a module namespace is accounted by its declarations and adds no caller contract				Deque, list, heap, B-tree map/set, allocation errors, and later convenience derivations.
src/alloc/collections/mod.rs.html#71|item|TryReserveError	alloc::collections::TryReserveError	struct	item	TryReserveError	safe	safe_contract_anchor	the safe Rust declaration supplies caller-contract evidence without selecting xlang admission	DOM-DATA-COLLECTIONS-ALLOC	D09	sequential and associative data structures		G0_CONTRACT	CAP:AB-GENERIC	the declaration belongs to a named G0 data-floor obligation pending exact family closure				Deque, list, heap, B-tree map/set, allocation errors, and later convenience derivations.
alloc::collections::binary_heap|item|binary_heap|	alloc::collections::binary_heap	mod	item	binary_heap	safe	rust_surface_only	the Rust namespace or source spelling is evidence for an underlying need, not an xlang surface	DOM-DATA-COLLECTIONS-ALLOC	D09	sequential and associative data structures		NO_INDEPENDENT_NEED	NAMESPACE:DOM-DATA-COLLECTIONS-ALLOC	a module namespace is accounted by its declarations and adds no caller contract				Deque, list, heap, B-tree map/set, allocation errors, and later convenience derivations.
src/alloc/collections/binary_heap/mod.rs.html#274|item|BinaryHeap	alloc::collections::binary_heap::BinaryHeap	struct	item	BinaryHeap	safe	safe_contract_anchor	the safe Rust declaration supplies caller-contract evidence without selecting xlang admission	DOM-DATA-COLLECTIONS-ALLOC	D09	sequential and associative data structures		G0_CONTRACT	CAP:AB-GENERIC	the declaration belongs to a named G0 data-floor obligation pending exact family closure				Deque, list, heap, B-tree map/set, allocation errors, and later convenience derivations.
src/alloc/collections/binary_heap/mod.rs.html#999|provided_or_inherent_method|append	alloc::collections::binary_heap::BinaryHeap	struct	provided_or_inherent_method	append	safe	safe_contract_anchor	the safe Rust declaration supplies caller-contract evidence without selecting xlang admission	DOM-DATA-COLLECTIONS-ALLOC	D09	sequential and associative data structures	HEAP-APPEND-01	G0_CONTRACT	HEAP-APPEND-01	a coarse non-importable coverage cluster is in the bounded sequential data-floor accounting				Deque, list, heap, B-tree map/set, allocation errors, and later convenience derivations.
src/alloc/collections/binary_heap/mod.rs.html#1363|provided_or_inherent_method|as_slice	alloc::collections::binary_heap::BinaryHeap	struct	provided_or_inherent_method	as_slice	safe	safe_contract_anchor	the safe Rust declaration supplies caller-contract evidence without selecting xlang admission	DOM-DATA-COLLECTIONS-ALLOC	D09	sequential and associative data structures	HEAP-VIEW-01	G0_CONTRACT	HEAP-VIEW-01	a coarse non-importable coverage cluster is in the bounded sequential data-floor accounting				Deque, list, heap, B-tree map/set, allocation errors, and later convenience derivations.
src/alloc/collections/binary_heap/mod.rs.html#1165|provided_or_inherent_method|capacity	alloc::collections::binary_heap::BinaryHeap	struct	provided_or_inherent_method	capacity	safe	safe_contract_anchor	the safe Rust declaration supplies caller-contract evidence without selecting xlang admission	DOM-DATA-COLLECTIONS-ALLOC	D09	sequential and associative data structures	HEAP-META-01	G0_CONTRACT	HEAP-META-01	a coarse non-importable coverage cluster is in the bounded sequential data-floor accounting				Deque, list, heap, B-tree map/set, allocation errors, and later convenience derivations.
src/alloc/collections/binary_heap/mod.rs.html#1517|provided_or_inherent_method|clear	alloc::collections::binary_heap::BinaryHeap	struct	provided_or_inherent_method	clear	safe	safe_contract_anchor	the safe Rust declaration supplies caller-contract evidence without selecting xlang admission	DOM-DATA-COLLECTIONS-ALLOC	D09	sequential and associative data structures	HEAP-DRAIN-01	G0_CONTRACT	HEAP-DRAIN-01	a coarse non-importable coverage cluster is in the bounded sequential data-floor accounting				Deque, list, heap, B-tree map/set, allocation errors, and later convenience derivations.
src/alloc/collections/binary_heap/mod.rs.html#1496|provided_or_inherent_method|drain	alloc::collections::binary_heap::BinaryHeap	struct	provided_or_inherent_method	drain	safe	safe_contract_anchor	the safe Rust declaration supplies caller-contract evidence without selecting xlang admission	DOM-DATA-COLLECTIONS-ALLOC	D09	sequential and associative data structures	HEAP-DRAIN-01	G0_CONTRACT	HEAP-DRAIN-01	a coarse non-importable coverage cluster is in the bounded sequential data-floor accounting				Deque, list, heap, B-tree map/set, allocation errors, and later convenience derivations.
src/alloc/collections/binary_heap/mod.rs.html#774|provided_or_inherent_method|into_sorted_vec	alloc::collections::binary_heap::BinaryHeap	struct	provided_or_inherent_method	into_sorted_vec	safe	safe_contract_anchor	the safe Rust declaration supplies caller-contract evidence without selecting xlang admission	DOM-DATA-COLLECTIONS-ALLOC	D09	sequential and associative data structures	HEAP-CONVERT-01	G0_CONTRACT	HEAP-CONVERT-01	a coarse non-importable coverage cluster is in the bounded sequential data-floor accounting				Deque, list, heap, B-tree map/set, allocation errors, and later convenience derivations.
src/alloc/collections/binary_heap/mod.rs.html#1417|provided_or_inherent_method|into_vec	alloc::collections::binary_heap::BinaryHeap	struct	provided_or_inherent_method	into_vec	safe	safe_contract_anchor	the safe Rust declaration supplies caller-contract evidence without selecting xlang admission	DOM-DATA-COLLECTIONS-ALLOC	D09	sequential and associative data structures	HEAP-CONVERT-01	G0_CONTRACT	HEAP-CONVERT-01	a coarse non-importable coverage cluster is in the bounded sequential data-floor accounting				Deque, list, heap, B-tree map/set, allocation errors, and later convenience derivations.
src/alloc/collections/binary_heap/mod.rs.html#1467|provided_or_inherent_method|is_empty	alloc::collections::binary_heap::BinaryHeap	struct	provided_or_inherent_method	is_empty	safe	safe_contract_anchor	the safe Rust declaration supplies caller-contract evidence without selecting xlang admission	DOM-DATA-COLLECTIONS-ALLOC	D09	sequential and associative data structures	HEAP-META-01	G0_CONTRACT	HEAP-META-01	a coarse non-importable coverage cluster is in the bounded sequential data-floor accounting				Deque, list, heap, B-tree map/set, allocation errors, and later convenience derivations.
src/alloc/collections/binary_heap/mod.rs.html#1100|provided_or_inherent_method|iter	alloc::collections::binary_heap::BinaryHeap	struct	provided_or_inherent_method	iter	safe	safe_contract_anchor	the safe Rust declaration supplies caller-contract evidence without selecting xlang admission	DOM-DATA-COLLECTIONS-ALLOC	D09	sequential and associative data structures	HEAP-VIEW-01	G0_CONTRACT	HEAP-VIEW-01	a coarse non-importable coverage cluster is in the bounded sequential data-floor accounting				Deque, list, heap, B-tree map/set, allocation errors, and later convenience derivations.
src/alloc/collections/binary_heap/mod.rs.html#1443|provided_or_inherent_method|len	alloc::collections::binary_heap::BinaryHeap	struct	provided_or_inherent_method	len	safe	safe_contract_anchor	the safe Rust declaration supplies caller-contract evidence without selecting xlang admission	DOM-DATA-COLLECTIONS-ALLOC	D09	sequential and associative data structures	HEAP-META-01	G0_CONTRACT	HEAP-META-01	a coarse non-importable coverage cluster is in the bounded sequential data-floor accounting				Deque, list, heap, B-tree map/set, allocation errors, and later convenience derivations.
src/alloc/collections/binary_heap/mod.rs.html#514|provided_or_inherent_method|new	alloc::collections::binary_heap::BinaryHeap	struct	provided_or_inherent_method	new	safe	safe_contract_anchor	the safe Rust declaration supplies caller-contract evidence without selecting xlang admission	DOM-DATA-COLLECTIONS-ALLOC	D09	sequential and associative data structures	HEAP-META-01	G0_CONTRACT	HEAP-META-01	a coarse non-importable coverage cluster is in the bounded sequential data-floor accounting				Deque, list, heap, B-tree map/set, allocation errors, and later convenience derivations.
src/alloc/collections/binary_heap/mod.rs.html#1147|provided_or_inherent_method|peek	alloc::collections::binary_heap::BinaryHeap	struct	provided_or_inherent_method	peek	safe	safe_contract_anchor	the safe Rust declaration supplies caller-contract evidence without selecting xlang admission	DOM-DATA-COLLECTIONS-ALLOC	D09	sequential and associative data structures	HEAP-PEEK-01	G0_CONTRACT	HEAP-PEEK-01	a coarse non-importable coverage cluster is in the bounded sequential data-floor accounting				Deque, list, heap, B-tree map/set, allocation errors, and later convenience derivations.
src/alloc/collections/binary_heap/mod.rs.html#651|provided_or_inherent_method|peek_mut	alloc::collections::binary_heap::BinaryHeap	struct	provided_or_inherent_method	peek_mut	safe	safe_contract_anchor	the safe Rust declaration supplies caller-contract evidence without selecting xlang admission	DOM-DATA-COLLECTIONS-ALLOC	D09	sequential and associative data structures	HEAP-PEEK-01	G0_CONTRACT	HEAP-PEEK-01	a coarse non-importable coverage cluster is in the bounded sequential data-floor accounting				Deque, list, heap, B-tree map/set, allocation errors, and later convenience derivations.
src/alloc/collections/binary_heap/mod.rs.html#675|provided_or_inherent_method|pop	alloc::collections::binary_heap::BinaryHeap	struct	provided_or_inherent_method	pop	safe	safe_contract_anchor	the safe Rust declaration supplies caller-contract evidence without selecting xlang admission	DOM-DATA-COLLECTIONS-ALLOC	D09	sequential and associative data structures	HEAP-MUTATE-01	G0_CONTRACT	HEAP-MUTATE-01	a coarse non-importable coverage cluster is in the bounded sequential data-floor accounting				Deque, list, heap, B-tree map/set, allocation errors, and later convenience derivations.
src/alloc/collections/binary_heap/mod.rs.html#747|provided_or_inherent_method|push	alloc::collections::binary_heap::BinaryHeap	struct	provided_or_inherent_method	push	safe	safe_contract_anchor	the safe Rust declaration supplies caller-contract evidence without selecting xlang admission	DOM-DATA-COLLECTIONS-ALLOC	D09	sequential and associative data structures	HEAP-MUTATE-01	G0_CONTRACT	HEAP-MUTATE-01	a coarse non-importable coverage cluster is in the bounded sequential data-floor accounting				Deque, list, heap, B-tree map/set, allocation errors, and later convenience derivations.
src/alloc/collections/binary_heap/mod.rs.html#1222|provided_or_inherent_method|reserve	alloc::collections::binary_heap::BinaryHeap	struct	provided_or_inherent_method	reserve	safe	safe_contract_anchor	the safe Rust declaration supplies caller-contract evidence without selecting xlang admission	DOM-DATA-COLLECTIONS-ALLOC	D09	sequential and associative data structures	HEAP-RESERVE-01	G0_CONTRACT	HEAP-RESERVE-01	a coarse non-importable coverage cluster is in the bounded sequential data-floor accounting	F-ALLOC			Deque, list, heap, B-tree map/set, allocation errors, and later convenience derivations.
src/alloc/collections/binary_heap/mod.rs.html#1196|provided_or_inherent_method|reserve_exact	alloc::collections::binary_heap::BinaryHeap	struct	provided_or_inherent_method	reserve_exact	safe	safe_contract_anchor	the safe Rust declaration supplies caller-contract evidence without selecting xlang admission	DOM-DATA-COLLECTIONS-ALLOC	D09	sequential and associative data structures	HEAP-RESERVE-01	G0_CONTRACT	HEAP-RESERVE-01	a coarse non-importable coverage cluster is in the bounded sequential data-floor accounting	F-ALLOC			Deque, list, heap, B-tree map/set, allocation errors, and later convenience derivations.
src/alloc/collections/binary_heap/mod.rs.html#1061|provided_or_inherent_method|retain	alloc::collections::binary_heap::BinaryHeap	struct	provided_or_inherent_method	retain	safe	safe_contract_anchor	the safe Rust declaration supplies caller-contract evidence without selecting xlang admission	DOM-DATA-COLLECTIONS-ALLOC	D09	sequential and associative data structures	HEAP-RETAIN-01	G0_CONTRACT	HEAP-RETAIN-01	a coarse non-importable coverage cluster is in the bounded sequential data-floor accounting				Deque, list, heap, B-tree map/set, allocation errors, and later convenience derivations.
src/alloc/collections/binary_heap/mod.rs.html#1342|provided_or_inherent_method|shrink_to	alloc::collections::binary_heap::BinaryHeap	struct	provided_or_inherent_method	shrink_to	safe	safe_contract_anchor	the safe Rust declaration supplies caller-contract evidence without selecting xlang admission	DOM-DATA-COLLECTIONS-ALLOC	D09	sequential and associative data structures	HEAP-RESERVE-01	G0_CONTRACT	HEAP-RESERVE-01	a coarse non-importable coverage cluster is in the bounded sequential data-floor accounting	F-ALLOC			Deque, list, heap, B-tree map/set, allocation errors, and later convenience derivations.
src/alloc/collections/binary_heap/mod.rs.html#1319|provided_or_inherent_method|shrink_to_fit	alloc::collections::binary_heap::BinaryHeap	struct	provided_or_inherent_method	shrink_to_fit	safe	safe_contract_anchor	the safe Rust declaration supplies caller-contract evidence without selecting xlang admission	DOM-DATA-COLLECTIONS-ALLOC	D09	sequential and associative data structures	HEAP-RESERVE-01	G0_CONTRACT	HEAP-RESERVE-01	a coarse non-importable coverage cluster is in the bounded sequential data-floor accounting	F-ALLOC			Deque, list, heap, B-tree map/set, allocation errors, and later convenience derivations.
