rule_id	family	rule_kind	multiplicity	input_authorities	output_authorities	authority_origin	normal_behavior	recoverable_behavior	abort_behavior	abandonment_behavior	binding_and_invalidators	disposition	checking	erasure	native_need	deletion_witness	hostile_negative	falsifier
K2-CALLABLE	K2 SEALED-STATE	primitive	closed shared(Reusable)|affine(Once)	A-OWNER,A-DISPOSITION,A-RETIRED,A-LOAN	A-CALLABLE	Reusable sealing requires shareable captures; Once sealing consumes the exact environment and existing obligations but creates no captured authority.	Seal a reusable callable or affine Once<W,A,Sigma> with fixed effects, capture provenance, gate, and finite sink signature set.	Failed inline or boxed packing returns the original environment; boxed allocation failure is explicit.	Abort has no successor.	Normal scope exit with an outstanding Once is rejected; abort need not invoke it.	Every capture binds exact roots, generations, ranges, thread rule, effects, and gate invalidators.	Once normal flow only transfers or consume-before-invokes; reusable captures retain their declared disposition.	Structural capture/effect checking, finite signature membership, inline size/alignment test, and affine CFG accounting.	Static signatures and capture authority erase; only the source-selected call pointer and environment words or explicit box remain.	Crossbeam uses an inline heterogeneous once action; mimalloc separately uses an existing reusable callback.	Without Once, the native route needs per-type queues, tags, boxes, refcounts, a second dynamic layer, or unsafe raw environments.	A copyable address in place of a retired/disposition token or a second invocation is rejected.	A Once is copied, invoked before its gate, or gains a hidden allocation or destructor pointer.
K2-OBSERVER	K2 SEALED-STATE	primitive	closed affine(Domain|IngressSet|PublishedCustody|Retired)|scoped(Observation)|shared(Quiescent)	A-PARTITION,A-SHARED,A-CUSTODY,A-INGRESS,A-DOMAIN	A-DOMAIN,A-INGRESS	A domain originates only by sealing a complete fixed registry and ordering profile; ingress lineage originates only in checked publication and this rule merely seals its complete structural set.	Seal finite lane roles, registry coverage, a complete Open-or-Closed ingress product/sum/span/strict source, and fixed ordering profile for later admission and observer validation.	Incomplete registry, incomplete ingress cover, or profile failure returns every predecessor unchanged.	Abort has no successor.	A domain with open ingress, outstanding observations, or retired roots cannot release its registry.	Binds generative domain identity, registry roots, lane generations, exact target ingress slots, ordering profile, and structural invalidators.	Domain disposition requires every ingress closed, every lane inactive, no retired rights, and reunited registry roots.	Finite role/profile validation and exact structural cover; registry and ingress lengths are symbolic folds, never writer reachability proofs.	Domain, ingress, and lane certificates erase; native registry, pointer slots, and gate state remain.	Allocator abandoned-page readers and epoch participants require one generic observer closure schema.	Without it, release needs locks, per-load/per-object records, a policy-specific form, arbitrary unreachability, or arbitrary quiescence.	A guard, epoch integer, successful CAS alone, address, policy name, partial ingress set, or absent participant scan cannot produce a closed domain state.	An unlisted tail or auxiliary ingress remains open while the target becomes Retired.
K2-FACT	K2 SEALED-STATE	primitive	shared within dependency scope	A-ROOT,A-PARTITION,A-CLASSIFIED,A-STRICT,A-LOAN,A-CONTROL,A-DOMAIN,A-OBSERVATION,A-QUIESCENT	A-FACT	Projection from an accepted K1-K3 judgment is the only fact origin.	Project exactly Bounds, Alignment, LiveRole, SameRoot, Disjoint, CurrentGeneration, ProtocolState, Publication, or NonInterference.	Failed projection produces no fact and retains runtime checks.	Abort has no successor.	Dropping a fact changes no program semantics.	The checker derives the complete dependency and invalidator set; matching lambda or epsilon change, scope end, interference, or release invalidates it, and source cannot add or omit invalidators.	Facts carry no owner or cleanup.	Closed producer table and dependency-set inclusion only.	Facts erase; facts-off retains checks and semantics.	All projects can reuse accepted safety proofs as optimization facts.	Without facts, repeated bounds and alias checks may remain; widening them creates stale optimizer authority.	A writer assertion, writer invalidator list, unlisted fact kind, or stale fact cannot produce safety authority or check elision.	A fact survives an invalidator, appears in an authority-origin premise, or facts-off changes semantics.
K3-OWNER	K3 LINEAR-STEP	primitive	linear	A-OWNER,A-VACANT,A-BYTES,A-LIVE,A-PARTITION,A-CLASSIFIED,A-STRICT,A-SUBOWNER,A-TRANSIT	A-OWNER,A-VACANT,A-BYTES,A-LIVE,A-PARTITION,A-CLASSIFIED,A-STRICT,A-SUBOWNER,A-TRANSIT	Checked construction, installation, adoption, and predecessor transitions establish value lineage; every other output is a transfer.	Perform fixed initialize, take, replace-return-old, swap, overlap-checked relocate, destroy, byte overwrite, or reclassify traffic with one logical commit.	Precommit failure returns every offered owner and predecessor; partial completion names exact successor obligations.	Abort has no successor.	Returning abandonment may not discard an owner, Transit, or release escrow.	Every operand and result retains rho, lambda, epsilon, interval, type/layout, and exact invalidators.	Every branch consumes, returns, moves, destroys, or escrows each owner exactly once.	Opcode-specific affine multiset equations and checked place-map validation; no general relation inference.	Authority annotations erase; each opcode lowers to its exact native owner traffic.	The frozen routes require materially distinct initialize, take, replace, swap, relocate, destroy, and reclassify traffic.	Deleting a traffic form forces an extra move, copy, temporary owner, allocation, overlap restriction, or project special case.	A branch duplicates, loses, reconstructs, or restores an owner without its predecessor.	Generated owner traffic differs from the declared opcode or a failure arm has the wrong multiset.
K3-BORROW	K3 LINEAR-STEP	primitive	linear scope transition	A-LIVE,A-ROLEVIEW,A-PARTITION,A-LOAN	A-LOAN,A-PARTITION	K2-LOAN is the only loan origin; this step begins, reborrows, and ends its fixed scope.	Begin or end an exact shared/unique loan and return escrowed authority at scope end.	Compatibility failure creates no loan.	Abort has no successor.	A loan cannot be leaked into a usable successor beyond its region.	Uses exact root, generations, interval, mode, and invalidators from the sealed source.	Scope end accounts every borrowed capability; it never destroys the underlying owner.	Affine/scoped CFG dataflow plus interval conflict checks.	Borrow transitions erase.	All fourteen operations require zero-copy exact-root access.	Without fixed borrowing, safe code copies, serializes unrelated places, or pays runtime borrow tables.	A RoleView after its classifier mutation or a guard without observation cannot borrow payload.	A stale, overlapping, or wrong-root loan is accepted.
K3-CONTROL	K3 LINEAR-STEP	primitive	linear	A-CONTROL,A-TRANSIT,A-DISPOSITION,A-PARTITION	A-CONTROL,A-TRANSIT,A-DISPOSITION,A-PARTITION	K2-CONTROL supplies the initial sealed state; all K3 results are lineage-preserving transfers.	Open focus, advance one structural item, and select exact success, recoverable, repair, poison, or terminal outcomes.	Each returning arm exposes only its enumerated resource multiset.	Abort has no successor.	No returning abandonment may regain Stable or erase carried obligations.	Binds exact roots, generations, measure, prior events, and branch invalidators.	Success closes all obligations; repair and poison retain restricted executable disposition.	Finite outcome lookup, local measure decrease, and exact multiset equality.	Progress state erases except native cursor and protocol state already present.	Rehash, allocator lifecycle, page algorithms, rollback, and collection require partial progress.	Without it, code needs snapshots, inverse closures, persistent tags, unsafe stable exposure, or container-specific cleanup.	A wildcard error arm, arbitrary rollback body, or callback boolean cannot choose authority.	A rare path loses an owner or makes Stable before its obligations are empty.
K3-DISPOSE	K3 LINEAR-STEP	primitive	linear	A-DISPOSITION,A-PARTITION,A-CLASSIFIED,A-STRICT,A-SUBOWNER,A-RETIRED,A-QUIESCENT,A-CALLABLE	A-DISPOSITION,A-PARTITION,A-SUBOWNER	A disposition originates only by converting an existing affine owner, partial outcome, detached source, or retired right to one fixed terminal action.	Remove one obligation before fixed destroy, release, stable transfer, or admitted once invocation; structural folds consume a closed source measure.	Failure retains the current obligation or returns an exact smaller source plus remaining action.	Abort has no successor.	Returning abandonment cannot silently discard the target or release its root.	Source, action, target root, generation, cutoff, and invalidators remain exact across transfer.	Every normal step strictly reduces a closed span, chain, child, product, or active-prefix measure.	Constructor-specific fold equation and exact terminal-action whitelist.	Disposition and measure certificates erase; source iteration and terminal actions are exactly native.	Partial rehash, allocator chains, page pins, and deferred active prefixes need executable cleanup.	Without it, code leaks, scans capacity, duplicates destruction, adds one finalizer per container, or accepts arbitrary cleanup code.	A writer cleanup closure, nondecreasing returning step, or Retired without Quiescent is rejected.	An owner disappears, a target releases twice, or an ineligible target is destroyed.
K3-CALLABLE	K3 LINEAR-STEP	primitive	closed shared invoke|linear once transfer/invoke	A-CALLABLE,A-QUIESCENT,A-DISPOSITION	A-CALLABLE,A-TRANSIT,A-PARTITION	K2-CALLABLE is the only callable seal origin; invocation produces no new captured authority.	Pack, transfer, enqueue, or consume-before-invoke an admitted callable; Once removes the slot before the existing indirect call.	Packing or full-sink failure returns the unchanged environment or package; callable return follows its exact effect row.	Package is consumed before a trap or divergent call; abort has no cleanup successor.	Normal exit with outstanding Once is rejected.	Binds exact environment provenance, effects, target roots, thread rule, gate, and sink signature.	Normal return must consume or transfer every captured obligation.	Finite signature membership, affine CFG flow, and direct effect-row checking.	Only the native call pointer, inline data, or explicit existing box remains.	Crossbeam requires one existing indirect once call; mimalloc needs a distinct reusable leaf.	Without it, heterogeneous actions require tags, allocation, refcount, extra indirection, per-type containers, or unsafe raw bytes.	Invoking before quiescence, copying Once, or moving thread-affine destruction is rejected.	A second invocation is reachable or lowering adds runtime metadata/events.
K3-ATOMIC	K3 LINEAR-STEP	primitive	linear event transition	A-OWNER,A-LIVE,A-SUBOWNER,A-CUSTODY,A-INGRESS,A-SHARED	A-OWNER,A-LIVE,A-SUBOWNER,A-CUSTODY,A-INGRESS,A-SHARED	Successful exact publication is the sole custody/share/initial-ingress origin; later atomic events linearly transform only their bound slot, and failed events preserve offered authority.	Perform a fixed atomic event with exact success/failure custody, ordering, publication, and one slot-bound Open-to-Closed or ingress-move result.	Failure and retry retain every offered owner and ingress state and expose observed native bits only.	Abort has no successor.	Abandonment cannot treat a failed event as a transfer or replay a successful event.	Binds target root, atomic slot, complete ingress-set identity, offered owner, old/new values, generation, ordering, and interference invalidators.	PublishedCustody remains affine; shared publication retains one release escrow; closing one slot does not close another.	Opcode and target-profile memory-order table plus exact branch multiset and nominal ingress-state equations.	Only the selected native atomic or fence remains.	Remote free and Crossbeam publication/unlink require exact native custody events.	Without it, ownership moves before CAS, extra locks/events appear, or atomics become unsafe assertions.	A failed CAS loses its offered owner, a head CAS silently closes a tail ingress, or a relaxed event claims stronger ordering.	Authority transfers on the wrong arm, one event is replayed, an unlisted ingress closes, or lowering strengthens the protected path.
K3-OBSERVE	K3 LINEAR-STEP	primitive	closed affine/scoped transition	A-DOMAIN,A-SHARED,A-CUSTODY,A-INGRESS,A-OBSERVATION,A-RETIRED	A-DOMAIN,A-OBSERVATION,A-ROLEVIEW,A-RETIRED,A-QUIESCENT	Begin-observe events alone create Observation; retirement consumes PublishedCustody plus the complete all-Closed ingress set; OBS-CLOSE alone creates Quiescent.	Begin/end observation, eliminate a complete ClosedIngress set into one Retired right, validate complete lanes strictly beyond cutoff, and combine Retired with matching Quiescent for terminal disposition.	Open ingress, active old lane, incomplete registry, concurrent structural change, or stalled observer returns block/retry with no retirement or quiescence credit.	Abort has no successor.	A stalled observation blocks release; abandonment never fabricates ingress closure or observer exit.	Binds domain, target root, complete ingress identity, cutoff, lane generation, registration events, ordering profile, and ABA-invalidating root identity.	Each target keeps one affine PublishedCustody or Retired right; Quiescent owns no target and cannot release without it.	Finite ClosedIngress and OBS-CLOSE premise checks plus one structural fold step; no per-load event, solver, reachability proof, or policy callback.	Ingress, observation, and cutoff proofs erase; only native pointer slots, registration, gate, scan, epoch, atomic, and queue state remain.	Mimalloc abandoned-page validation and Crossbeam participant epochs instantiate the same closure theorem.	Without it, code needs global locks, per-load/per-object records, project policy forms, arbitrary reachability/invariants, or premature release.	A guard, copied epoch, successful CAS alone, partial ingress/registry scan, unsafe defer promise, or wrapped label cannot produce Retired or Quiescent.	An open ingress or pre-cutoff observer remains while target disposition becomes executable.
K3-EXTERNAL	K3 LINEAR-STEP	primitive	linear exact-event transition	A-ROOT,A-RELEASE,A-VACANT,A-BYTES,A-CONTROL,A-TRANSIT	A-ROOT,A-RELEASE,A-VACANT,A-BYTES,A-CONTROL,A-TRANSIT	Exact allocation or acquisition creates root, release, and vacant bytes; successful full read or a sealed-profile fully initialized short-read result creates Bytes; no high-level state originates here.	Execute one sealed low-level allocation, open/acquire, filesize, access, range read/write, truncate/resize, sync, lock/unlock, close/delete, target, or individually admitted ABI event.	A failed read returns no readable byte authority unless its profile initializes the entire requested buffer; failed write, truncate, sync, delete, or lock transition returns either its reported effect or a closed conservative Indeterminate effect, and K3-CONTROL retains Repair or selects Poison.	Abort has no successor.	Cancellation preserves only the exact or conservative event state and cannot restore unstated bytes, durability, existence, or lock state.	Binds sealed platform row, ABI, handles, roots, requested range, success extent, declared indeterminate effect set, ordering, error class, and every invalidator.	Handles, buffers, scratch roots, and recoverable event state remain owned until transferred or closed; a consumed close may end software access while recording a possible external leak.	Finite compiler-owned profile/opcode table lookup plus exact authority equations; no high-level pager, WAL, callback, reinitializer, provider catch-all, or project recognition.	Only the source-selected low-level event remains.	Allocation/release, SQLite open/filesize/access/I/O/truncate/sync/locks/close/delete, target atomics, barriers, and individually sealed ABI rows are irreducible external semantics.	Without these leaves external effects are unavailable; widening them hides pager, recovery, allocator, container, or reclamation operations.	A generic read error yields Bytes, unknown failed write is unchanged, open provider control yields authority, or a row returns Stable, Quiescent, RepairComplete, role, edge, or unstated fact.	A hidden pager/WAL operation closes the route or an unreported partial effect is accepted as exact success.
K3-FACT	K3 LINEAR-STEP	primitive	copyable projection	A-ROOT,A-PARTITION,A-CLASSIFIED,A-STRICT,A-LOAN,A-CONTROL,A-DOMAIN,A-OBSERVATION,A-QUIESCENT	A-FACT	Projection from a successfully checked judgment is the sole producer class.	Create or invalidate one fixed-schema optimizer fact with exact dependencies.	Projection failure leaves the runtime check and produces no fact.	Abort has no successor.	Dropping a fact changes no safety or runtime semantics.	Binds exact roots, generations, scopes, events, and invalidators.	Facts carry no disposition and cannot feed authority.	Finite projection table and dependency-set comparison.	All fact state erases; facts-off is semantically identical.	Repeated bounds, layout, publication, and alias facts can justify proof-elision.	Without it, checks remain; widening it allows stale or writer-defined optimization assumptions.	A fact is used to mint liveness, ownership, observation, retirement, quiescence, or release.	Facts-on changes authority acceptance or a stale fact removes a check.
K3-RELEASE	K3 LINEAR-STEP	primitive	linear terminal	A-ROOT,A-RELEASE,A-PARTITION,A-DOMAIN,A-QUIESCENT	-	Exact allocation/acquisition is the only release-authority origin; this rule only consumes it.	Release one reunited whole root after every subowner, loan, observation, progress, retired right, and disposition has ended.	Failed release event retains the exact restricted successor required by its leaf contract.	Abort has no successor.	Abandonment leaks but cannot expose reusable or addressable successor authority.	Consumes rho, lambda, whole partition, release escrow, and all root-bound facts; reuse starts a fresh rho.	Release is terminal; no place or footprint survives.	Exact whole-cover, empty-obligation, and terminal leaf checks.	Only the native release event remains.	Every allocation-backed route eventually needs exact safe root release.	Without it, code leaks or permits release through an unrelated wrapper/address.	Release with an Out fragment, loan, observation, retired target, or partial repair is rejected.	A released root remains addressable or reuse revives an old authority.
D-BS1	DERIVED	derived	static composition	-	-	No authority origin; acyclic composition of K1-NAMES, K1-PLACE, K1-PARTITION, and K2-LEAF.	Derive the former physical-place analytical job from the normalized core.	Component failures fail closed.	Abort has no successor.	No independent abandonment rule.	Inherits exact rho, lambda, epsilon, intervals, and invalidators.	Inherits component disposition.	Deterministic expansion only.	Fully erases.	All four projects.	Deleting the derivation only removes a name; deleting a dependency has the dependency's witness.	No extra primitive or syntax is admitted.	Expansion differs from the named dependency list.
D-BS2	DERIVED	derived	affine composition	-	-	No authority origin; acyclic composition of K1-PARTITION, K2-LEAF, K2-COMPOSE, K2-CLASSIFY, and K2-STRICT.	Derive structural-live layouts from closed partition constructors.	Component failures fail closed.	Abort has no successor.	No independent abandonment rule.	Inherits all root, generation, range, and metadata invalidators.	Inherits structural disposition.	Deterministic expansion only.	Fully erases except native representation state.	All four projects.	Deleting a dependency forces its recorded tag, bitmap, scan, copy, or unsafe alternative.	No writer predicate or topology family is admitted.	Expansion contains a project identity or open grammar.
D-BS3	DERIVED	derived	linear composition	-	-	No authority origin; acyclic composition of K3-OWNER, K3-ATOMIC, K3-CONTROL, and K2-COMPOSE.	Derive fixed owner transitions and their exact outcomes.	Component outcomes preserve exact owners.	Abort has no successor.	No independent abandonment rule.	Inherits operand roots, generations, ranges, and events.	Inherits exact owner disposition.	Deterministic expansion only.	Lowers to component opcodes.	Owner-moving operations across the corpus.	Deleting a component forces extra owner traffic or loses an exact atomic transfer.	No project-named traffic form is admitted.	Expansion adds a move, copy, allocation, or hidden owner.
D-BS4	DERIVED	derived	affine composition	-	-	No authority origin; acyclic composition of K2-CONTROL, K3-CONTROL, and K3-DISPOSE.	Derive focus, monotone progress, repair, and poison.	Every outcome is exact.	Abort has no successor.	No independent abandonment rule.	Inherits control-state roots, measure, events, and invalidators.	Inherits restricted repair/poison disposition.	Deterministic expansion only.	Erases except native cursor/state.	Partial-progress routes in every project family.	Deleting control or disposition forces snapshots, inverse cleanup, persistent tags, or unsafe stable exposure.	No arbitrary protocol or rollback program is admitted.	An intermediate state escapes as Stable.
D-BS5	DERIVED	derived	scoped composition	-	-	No authority origin; acyclic composition of K1-PLACE, K1-PARTITION, K2-LOAN, and K3-BORROW.	Derive exact physical-root footprints for every borrow and source map.	Failed derivations produce no borrow.	Abort has no successor.	No independent abandonment rule.	Inherits exact rho, lambda, epsilon, ranges, modes, and invalidators.	Scope end closes all loans.	Deterministic expansion only.	Fully erases.	All fourteen operations.	Deleting a dependency forces copies, dynamic checks, coarse aliasing, backpointers, or wrong-root acceptance.	No wrapper, handle, address, or logical key can re-root a borrow.	A result names the wrong physical allocation.
D-BS6	DERIVED	derived	affine composition	-	-	No authority origin; acyclic composition of K2-COMPOSE, K2-CLASSIFY, K2-STRICT, K2-CALLABLE, K3-DISPOSE, K3-CALLABLE, and K3-RELEASE.	Derive executable disposition as a closed structural fold with fixed leaves.	Each failure retains an exact smaller or unchanged source.	Abort has no successor.	No independent abandonment rule.	Inherits source roots, action identities, measures, gates, and invalidators.	Every returning step removes one obligation before its terminal action.	Deterministic expansion only.	Only native iteration and terminal actions remain.	Rehash, allocator chains, page resources, and deferred active prefixes.	Deleting a dependency forces leaks, capacity scans, container finalizers, tags, boxes, or arbitrary cleanup.	No writer cleanup program or hidden dynamic action set is admitted.	A returning step fails to reduce or duplicates a terminal action.
D-BS7	DERIVED	derived	shared scoped composition	-	-	No authority origin; acyclic composition of K2-FACT and K3-FACT.	Derive invalidatable facts only as read-only projections.	Failure retains checks.	Abort has no successor.	No independent abandonment rule.	Inherits exact dependency and invalidator sets.	No owner disposition.	Deterministic expansion only.	Fully erases.	All project families may use proof-elision.	Deleting it retains checks; widening it risks stale optimizer authority.	Facts cannot feed safety authority.	Facts-on changes accepted authority or facts-off changes semantics.
