contract_id	stored_borrow_scope	scope_owner_contract_ids	rationale
TEXT-LINES-01	NO_STORED_BORROW_COMPLEMENT	NONE	The base matrix flags every direct borrowed or borrow-bearing result through BR-PROV/BR-RESULT obligations, and this coverage cluster retains no additional arbitrary borrow-bearing value as data across public calls.
TEXT-TRIM-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
TEXT-ESCAPE-01	NO_STORED_BORROW_COMPLEMENT	NONE	The base matrix flags every direct borrowed or borrow-bearing result through BR-PROV/BR-RESULT obligations, and this coverage cluster retains no additional arbitrary borrow-bearing value as data across public calls.
TEXT-PARSE-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
TEXT-ASCII-01	NO_STORED_BORROW_COMPLEMENT	NONE	This coverage cluster has no live borrow-bearing generic payload branch that requires a stored-borrow complement.
TEXT-UNICASE-01	NO_STORED_BORROW_COMPLEMENT	NONE	This coverage cluster has no live borrow-bearing generic payload branch that requires a stored-borrow complement.
TEXT-REPLACE-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
TEXT-REPEAT-01	NO_STORED_BORROW_COMPLEMENT	NONE	This coverage cluster has no live borrow-bearing generic payload branch that requires a stored-borrow complement.
TEXT-BOX-CONVERT-01	NO_STORED_BORROW_COMPLEMENT	NONE	This coverage cluster has no live borrow-bearing generic payload branch that requires a stored-borrow complement.
BOX-NEW-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
BOX-PIN-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
BOX-DOWNCAST-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
BOX-INIT-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
SEQ-META-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
SEQ-RESERVE-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
SEQ-TRY-RESERVE-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
SEQ-SHRINK-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
SEQ-VIEW-01	NO_STORED_BORROW_COMPLEMENT	NONE	The base matrix flags every direct borrowed or borrow-bearing result through BR-PROV/BR-RESULT obligations, and this coverage cluster retains no additional arbitrary borrow-bearing value as data across public calls.
SEQ-PUSH-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
SEQ-INSERT-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
SEQ-POP-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
SEQ-REMOVE-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
SEQ-APPEND-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
SEQ-EXTEND-COPY-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
SEQ-RESIZE-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
SEQ-TRUNCATE-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
SEQ-RETAIN-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
SEQ-DEDUP-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
SEQ-DRAIN-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
SEQ-EXTRACT-01	ACTIVE_BR_STORED	NONE	The base matrix row explicitly covers arbitrary borrow-bearing retained values under BR-STORED and its pinned provenance, result, destruction, and disjointness obligations as applicable.
SEQ-SPLICE-01	ACTIVE_BR_STORED	NONE	The base matrix row explicitly covers arbitrary borrow-bearing retained values under BR-STORED and its pinned provenance, result, destruction, and disjointness obligations as applicable.
SEQ-SPLIT-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
SEQ-CONVERT-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
DEQUE-META-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
DEQUE-RESERVE-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
DEQUE-VIEW-01	NO_STORED_BORROW_COMPLEMENT	NONE	The base matrix flags every direct borrowed or borrow-bearing result through BR-PROV/BR-RESULT obligations, and this coverage cluster retains no additional arbitrary borrow-bearing value as data across public calls.
DEQUE-CONTIG-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
DEQUE-ACCESS-01	NO_STORED_BORROW_COMPLEMENT	NONE	The base matrix flags every direct borrowed or borrow-bearing result through BR-PROV/BR-RESULT obligations, and this coverage cluster retains no additional arbitrary borrow-bearing value as data across public calls.
DEQUE-RANGE-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
DEQUE-ITER-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
DEQUE-PUSH-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
DEQUE-POP-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
DEQUE-INSERT-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
DEQUE-REMOVE-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
DEQUE-SWAP-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
DEQUE-BULK-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
DEQUE-RESIZE-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
DEQUE-RETAIN-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
DEQUE-DRAIN-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
DEQUE-ROTATE-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
DEQUE-SEARCH-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
LIST-META-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
LIST-END-01	NO_STORED_BORROW_COMPLEMENT	NONE	The base matrix flags every direct borrowed or borrow-bearing result through BR-PROV/BR-RESULT obligations, and this coverage cluster retains no additional arbitrary borrow-bearing value as data across public calls.
LIST-PUSH-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
LIST-POP-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
LIST-BULK-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
LIST-DROP-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
LIST-ITER-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
LIST-SEARCH-01	NO_STORED_BORROW_COMPLEMENT	NONE	This coverage cluster has no live borrow-bearing generic payload branch that requires a stored-borrow complement.
LIST-EXTRACT-01	ACTIVE_BR_STORED	NONE	The base matrix row explicitly covers arbitrary borrow-bearing retained values under BR-STORED and its pinned provenance, result, destruction, and disjointness obligations as applicable.
HEAP-META-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
HEAP-RESERVE-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
HEAP-PEEK-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
HEAP-MUTATE-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
HEAP-APPEND-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
HEAP-RETAIN-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
HEAP-DRAIN-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
HEAP-VIEW-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
HEAP-CONVERT-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
OMAP-META-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
OMAP-LOOKUP-01	NO_STORED_BORROW_COMPLEMENT	NONE	The base matrix flags every direct borrowed or borrow-bearing result through BR-PROV/BR-RESULT obligations, and this coverage cluster retains no additional arbitrary borrow-bearing value as data across public calls.
OMAP-END-01	NO_STORED_BORROW_COMPLEMENT	NONE	The base matrix flags every direct borrowed or borrow-bearing result through BR-PROV/BR-RESULT obligations, and this coverage cluster retains no additional arbitrary borrow-bearing value as data across public calls.
OMAP-INSERT-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
MAP-ENTRY-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
MAP-OCCUPIED-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
MAP-VACANT-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
OMAP-REMOVE-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
OMAP-RANGE-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
OMAP-ITER-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
OMAP-FILTER-01	ACTIVE_BR_STORED	NONE	The base matrix row explicitly covers arbitrary borrow-bearing retained values under BR-STORED and its pinned provenance, result, destruction, and disjointness obligations as applicable.
OMAP-BULK-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
OMAP-CLEAR-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
OSET-META-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
OSET-LOOKUP-01	NO_STORED_BORROW_COMPLEMENT	NONE	The base matrix flags every direct borrowed or borrow-bearing result through BR-PROV/BR-RESULT obligations, and this coverage cluster retains no additional arbitrary borrow-bearing value as data across public calls.
OSET-INSERT-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
OSET-REMOVE-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
OSET-RANGE-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
OSET-FILTER-01	ACTIVE_BR_STORED	NONE	The base matrix row explicitly covers arbitrary borrow-bearing retained values under BR-STORED and its pinned provenance, result, destruction, and disjointness obligations as applicable.
OSET-BULK-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
SET-REL-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
SET-ALG-01	NO_STORED_BORROW_COMPLEMENT	NONE	The base matrix flags every direct borrowed or borrow-bearing result through BR-PROV/BR-RESULT obligations, and this coverage cluster retains no additional arbitrary borrow-bearing value as data across public calls.
SET-ALG-02	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
HMAP-META-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
HMAP-RESERVE-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
HMAP-LOOKUP-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
