candidate	operation	route_state	capability_composition	performance_blocker_removed	owner_cleanup	provenance	concurrency	runtime_state	structural_delta	extension_effect	unresolved	falsifier
B-FORMS	S-ROLLBACK	OPEN	BF-1 byte roots, BF-2 Product, BF-4 protocol, BF-5 footprints, BF-9 cleanup, BF-10 invalidation, and C0 external events.	The intended route would stream old page images through one scratch page without per-mutation inverse closures or duplicate snapshots.	Journal/WAL owns old images; each cache root is overwritten and reinitialized; success releases transaction resources; failure enters persistent error state.	Logical page number selects data but does not replace cache, journal, scratch, or backup physical roots.	File locks, WAL writer state, and external ordering require exact C0 rows, not a shared-lifecycle form.	Reference journal/WAL records, one scratch page, dirty list, file state, cache roots, and pager state.	BF-9 local cleanup cannot express library repair with I/O and a failing reinitializer, and C0 rows are unenumerated.	Adding rollback-journal or WAL cleanup forms hard-codes policy and grows toward C.	Exact VFS/WAL events, replay failure, reinitializer effects, and poisoned-state operations are undefined.	A partial replay returns a stable pager, or the route adds one undo closure/snapshot per B-tree mutation.
B-FORMS	X-PROTECTED-LOAD	OPEN	BF-5 footprint, BF-8 shared lifecycle, BF-10 facts, and C0 atomic load/fence rows.	The intended route would pay pin work once and make every protected load exactly the caller-selected atomic load.	No pointee owner moves; one scoped guard delays disposition and is consumed on unpin.	The returned borrow must name the pointee allocation root and one static collector domain, never the guard root.	Observation, publication, same-domain association, payload interference, and reclamation must remain separate.	Reference participant state, guard, collector state, and one atomic pointer word only.	BF-8 does not define how the exact Crossbeam pin events mint a nonforgeable observation without a per-load check or fixed policy.	Adding an epoch-guard form converges toward C; arbitrary association/invariant proofs converge toward A.	Guard construction, same-domain typing, publication, portable barriers, and interference invalidation are undefined.	Guard presence alone authorizes a wrong-domain, unpublished, or racing payload borrow, or adds a per-load event.
B-FORMS	X-RETIRE	OPEN	BF-3 atomic take, BF-4 protocol, BF-6 result provenance, BF-8 shared lifecycle, BF-9 cleanup, and C0 callables/atomics.	The intended route would derive one retirement right from successful unlink and preserve the three-word inline deferred path.	Failed unlink returns the offered owner; success creates one deferred root disposition; the one-shot action consumes it once.	The target allocation remains the root while the disposition moves through participant bag and global queue roots.	Unlink ordering, collector domain, observation, and later quiescence are independent.	Reference unlink events, inline deferred record, amortized bag/queue allocation, and existing sealing fence only.	BF-8 does not derive unique retirement from a copyable address, and C0-2 has no heterogeneous erased one-shot callable.	Adding an epoch-deferred operation is C-like; adding general erased callable authority broadens the common lower bound without repeated evidence.	Unreachability, collector association, erased environment, callback effects, and exact-once invocation are undefined.	A copied address can retire, or safe representation adds per-retire allocation, count, fence, or second owner box.
B-FORMS	X-COLLECT	OPEN	BF-2 Prefix, BF-4 protocol, BF-8 shared lifecycle, BF-9 cleanup, BF-10 facts, and C0 atomics/callables.	The intended route would scan participants and execute only active deferred entries with the source's bounded queue work.	Eligible sealed bags move once; each active action is taken before invocation; ineligible bags remain owned by the queue.	Bag, participant, queue, and target allocations retain distinct roots and one collector domain.	A safe quiescence producer must validate policy-specific scans and barriers without making epoch policy language law.	Reference epoch word, participant records, 64-entry bags, queue, at most eight pops, and existing fences.	BF-8 and BF-9 do not define policy-neutral quiescence or heterogeneous callback disposition.	Adding epoch advance/expiry forms converges toward C; arbitrary participant invariants converge toward A.	Quiescence, stalled traversal, portable fences, nested deferral, callback effects, and shutdown disposition are undefined.	A bag is destroyed before every relevant observer is past its cutoff, or collection adds a stronger scan/fence/background worker.
B-STRATA	H-LOOKUP	CLOSED	BS-1 physical places, BS-2 closed byte classifier and slot map, BS-5 root footprint, and BS-7 role/version facts.	FULL metadata authorizes exactly one payload slot without initializing vacant slots or touching payload on a miss.	Lookup moves no owner; temporary candidate/key borrows end normally or on callback abort.	The payload borrow names the table allocation root, layout version, slot range, and metadata invalidators.	Unique table access; equality receives only an already-authorized key borrow and creates no liveness.	Only reference control bytes, probe state, and payload bytes.	No structural event beyond the source classifier/probe/load path is identified.	One classifier grammar covers metadata admission used again by mimalloc and SQLite roles; no Hashbrown form is added.	Formal validation and generated code shape remain untested, but no paper rule is missing.	A classifier declaration can mint liveness without a maintained certificate, or lookup loads payload for a vacant class.
B-STRATA	H-INSERT	CLOSED	BS-1 places, BS-2 vacant/live roles, BS-3 initialize and commit, BS-4 focus, BS-5 provenance, BS-7 invalidation, and C0 failure/allocation.	One offered key/value pair moves directly into the selected uninitialized slot; no Option tag, box, clone, or dummy payload.	Precommit failure returns both owners; commit makes one place live and consumes both once; growth preserves source owners until root commit.	Entry and result tokens carry table root, version, slot, and exact payload range; growth re-roots only at successful commit.	Unique mutation; hash/equality calls cannot create occupancy.	Reference control/counter writes, offered owners, and optional new root only.	No additional initialization, movement, allocation, metadata, branch, or scan is identified.	Reuses generic initialize/focus/root rules shared by allocator and page operations.	Formal write-order refinement and code generation are untested.	Occupancy publishes before payload liveness, or any precommit failure loses an offered owner.
B-STRATA	H-REPLACE	CLOSED	BS-2 live role, BS-3 replace-return-old, BS-4 finite outcome focus, BS-5 source map, BS-6 terminal disposition, and BS-7 invalidation.	Stored key remains in place, new value moves once, old value returns once, and no temporary container or clone is required.	Each finite branch accounts stored key, offered key/value, displaced value, callback state, and restored/removed slot exactly once.	Returned owner and borrow source maps select the exact offered or stored physical root and current version.	Unique mutation; callback effects invalidate overlapping content and occupancy facts.	Reference callback state and direct payload/control traffic only.	No extra movement, allocation, tag, or owner record is identified.	The same finite owner-transition/outcome grammar serves Hashbrown and SQLite/mimalloc owner changes.	Formal callback-state checking and lowering remain untested.	Any branch leaves both displaced and replacement owner live in one place or destroys the duplicate key twice.
B-STRATA	H-REMOVE	CLOSED	BS-2 live/vacant role table, BS-3 take/reclassify, BS-4 focus, BS-5 result provenance, and BS-7 erase facts.	One owner moves out while stale payload bytes remain and control becomes the representation-selected vacant class.	The payload owner moves exactly once to the result; the place becomes vacant and is never destroyed as live.	The result remains rooted in the exact former payload place until ownership transfer; all slot borrows and old version facts invalidate.	Unique mutation; no shared state.	Reference erase classifier, control/counter writes, and returned owner only.	No zeroing, tag, copy, allocation, or extra check is identified.	Reuses generic take/reclassify and role tables rather than a remove operation form.	Formal proof of classifier/transition coupling is untested.	The old live role survives after owner take or a DELETED/EMPTY class grants stale payload access.
B-STRATA	H-REHASH	CLOSED	BS-1 roots, BS-2 stable and phase-local roles, BS-3 relocate/swap, BS-4 progress, BS-5 root maps, BS-6 classified disposition, BS-7 invalidation, and C0 allocation.	Each live owner moves once; in-place DELETED-live exists only statically inside progress; no snapshot or persistent phase tag is required.	Progress partitions processed, pending, vacant, and carried owners; success closes stable; recoverable cleanup consumes exactly remaining obligations.	Resize changes roots only at commit; in-place steps preserve exact source/destination root/version and invalidate phase facts.	Unique mutation; hash calls borrow only authorized source owners.	Reference control bytes, counters, progress variables, optional new root, and carried owner.	No success-path scan, extra owner copy, universal bitmap, tag, or allocation is identified.	The same progress/disposition rules serve detached allocator chains and bounded page protocols.	Formal exceptional-state model and code-size behavior remain untested.	Phase-local DELETED authority escapes, or recoverable partial progress leaks/duplicates a pending owner.
B-STRATA	M-ALLOC	CLOSED	BS-1 page partitions, BS-2 free-node/raw-byte overlay and owned edge, BS-3 take/reclassify plus cold atomic custody, BS-4 focus/progress, BS-5 physical-root provenance, BS-6 bounded detached-chain handling, and C0 allocation.	The hot path pops one node and returns uninitialized caller bytes with no whole-block initialization, permanent tag, or per-block allocation; cold collect/extend/retry/null remains explicit.	Hot success turns one free-node owner into one caller block subowner; cold collection transfers detached blocks once, extension initializes only link words, allocation failure returns no block, and page coverage remains exact.	Every returned or collected block retains the physical page root and exact range even when page metadata is separate.	Hot allocation is thread-local and uses no atomic; cold remote collection uses only the source's existing custody events.	Existing hot head/load/store/counter state plus source-selected cold collect, page extension, one retry, fresh-root acquisition, and null outcome.	No hot-path zeroing, metadata, backpointer, allocation, atomic, or scan is identified; cold work is confined to the source's existing branch.	Role overlay, progress, bounded-chain, and root rules also serve other audited operations; no allocator operation form is added.	Formal overlay/reuse rules, exact cold lowering, and generated hot/cold code shape remain untested, but no paper rule is missing.	The hot path acquires a cold event, a cold failure loses a block/root owner, or both free-node and caller layout remain live.
B-STRATA	M-LOCAL-FREE	OPEN	BS-1 block/page coverage, BS-2 payload/free-node overlay, BS-3 reclassify and queue transfer, BS-4 focus plus page lifecycle, BS-5 page-root provenance, BS-8 observation, and C0 release.	The ordinary block relink remains direct and non-atomic without zeroing, a tag, count, or backpointer.	Caller owner ends once and becomes a strict next edge; used/full state changes once; an all-free page may remain retired, move queues, or release its root only after complete block and observer disposition.	The block range remains under its physical page root across heap/queue changes; final release consumes that root.	Block mutation is same-thread and non-atomic, but final page release must exclude page-map observations and account the exact release event.	Existing link/head/counter updates plus rare unfull, retire-expiry, queue removal, page-map, arena release, and purge work.	No delta is identified on the ordinary relink; the rare end-to-end page disposition cannot yet be accounted safely.	A project-independent final-root/quiescence producer could close both local and remote page release; a local-free operation form is forbidden.	Exact observer exclusion, page-map unregister/release ordering, retired-page progress, and platform release rows remain open.	Local free pays remote synchronization on the common path or a rare page root releases while an observer/subowner remains live.
B-STRATA	M-REMOTE-FREE	OPEN	BS-1 page partitions, BS-2 intrusive roles, BS-3 atomic custody, BS-4 detached progress, BS-5 root provenance, BS-6 bounded chain disposition, BS-8 retirement/quiescence, and C0 atomics.	The composition preserves CAS-committed transfer and bounded later collection without per-block counts or local-path atomics.	Failed CAS retains the block; success transfers it; detached collection consumes each block once; final page release needs all subowners and readers gone.	Every block/disposition remains tied to the page allocation across metadata, heap, and map moves.	Atomic custody is finite, but the audited page-map reader protocol has no policy-neutral nonforgeable quiescence producer.	Reference packed atomic state, link words, counters, page map, retries, and bounded traversal.	The local and remote owner traffic has no identified delta; final safe page release cannot yet be structurally accounted.	A generic observer/quiescence rule must serve both mimalloc and Crossbeam without becoming a policy catalog or proof language.	Page-map memory orders, reader exclusion, weak-CAS progress, and the exact quiescence producer remain open.	A page can be released while a block/map reader lives, or closure adds a per-block/per-load event absent from the source.
B-STRATA	S-INSERT-SPLIT	OPEN	BS-1 byte roots/ranges, BS-2 checked subranges/products over already-live bytes, BS-3 relocate/attach, BS-4 progress and repair-required, BS-5 multi-root source maps, BS-6 finite pin/scratch disposition, BS-7 invalidation, and exact C0 allocation/external dependencies.	The in-memory composition moves exact cells without whole-page borrowing, per-cell boxes, inverse closures, or eager initialization.	Page pins, overflow pages, scratch roots, staged cells, and payload owners are accounted locally; failure transfers a sealed repair-required pager state.	Cell/range borrows retain cache or scratch physical roots through page-number rekey and dependency-ordered mutation.	Mutex/write transaction/table lock and pager/file policy must be exact C0/library state; no additional synchronization is permitted.	Reference page bytes, pointer arrays, journal-before-write, fixed sibling/page sets, pins, scratch/overflow allocation, pointer maps, and page release.	No in-memory delta is identified, but the complete journal/pager/VFS event path cannot be accounted from the unenumerated C0 table.	The missing rows are common exact machine/external leaves, not a B-tree capability or writer contract.	Exact journal writeability, pager allocation/free, pointer-map/file effects, error-to-rollback path, and VFS rows remain open.	A failed balance is usable as stable, coarse aliasing forces a copy, or a graph/stratum invents an external event contract.
B-STRATA	S-DELETE-BALANCE	OPEN	BS-1 byte/page roots, BS-2 live/free ranges over already-live bytes and strict overflow edges, BS-3 take/relocate/destroy, BS-4 progress/repair, BS-5 root maps, BS-6 finite disposal, BS-7 exact invalidation, and exact C0 external dependencies.	The in-memory composition preserves stale-byte policy and exact cell/overflow traffic without universal destruction, secure-delete zeroing, or whole-tree traversal.	Deleted cell/overflow pages are consumed once; predecessor ownership transfers; pins/scratch close; later error yields repair-required state.	Page-number changes do not re-root cache allocations; moved cell/overflow relations select exact physical roots.	Existing SQLite mutex, transaction, table lock, no-conflicting-reader, and pager/file policy must be represented without new events.	Reference overflow traversal, fixed sibling balancing, page freelist/pointer-map work, pins, journaling, page release, and policy-selected zeroing.	No in-memory delta is identified, but exact pager/freelist/file events and the route to rollback are absent.	The gap belongs to common exact C0 leaves; adding a B-tree delete or rollback form would converge toward C.	Journal-before-write, page allocation/free, pointer-map/file effects, higher-level rollback enforcement, and release rows remain open.	Overflow ownership duplicates, ordinary mode is forced to zero/write, or the route invents pager/VFS semantics.
B-STRATA	S-ROLLBACK	OPEN	BS-1 cache/journal/scratch roots, BS-2 byte spans, BS-4 repair/poison states, BS-5 source maps, BS-6 local resource disposition, BS-7 full-root invalidation, and C0 external/callable rows.	The composition preserves one streamed scratch page and avoids inverse closures or in-memory old/new owner pairs per mutation.	Journal/WAL owns old images; replay overwrites cache roots; success releases transaction resources; failure must retain one unusable pager owner.	Logical page numbers select records but cache, journal, scratch, backup, and reinitializer roots remain distinct.	File/WAL locks and crash-visible event ordering require exact external rows.	Reference journal/WAL records, one scratch page, cache/dirty list, page versions, locks, and pager state.	The B-specific progress/root/disposition route has no identified extra event, but shared C0 VFS/WAL and callback contracts are absent.	No new B rule is justified; closure belongs in exact external-event and callable tables shared by every candidate.	VFS/WAL atomicity and sync rows, page reinitializer failure, recovery error, and backup effects remain open.	Partial replay returns a stable pager or closure invents a snapshot/undo action beyond the selected journal/WAL policy.
B-STRATA	X-PROTECTED-LOAD	OPEN	BS-5 pointee-root footprint, BS-7 publication/noninterference facts, BS-8 protected observation/domain, and C0 atomic/fence rows.	The intended route pays pin work once and leaves each load as exactly the caller-selected atomic load.	No pointee owner moves; one scoped observation ends on unpin and only delays disposition.	The borrow must name the pointee allocation and static collector domain, not the guard/participant allocation.	A finite rule must show how exact pin events mint same-domain observation without a runtime collector field or per-load check; publication and payload races remain separate.	Reference participant/collector state, guard, barriers, and one atomic pointer load.	No per-load delta is permitted, but the observation constructor and portable barrier relation are not defined.	A generic observation-domain constructor must also serve mimalloc or another independent protocol without fixing epoch policy.	Same-domain association, portable pin barriers, pointer publication, and interference invalidation remain open.	Guard presence alone grants access, or the safe route adds a lookup, check, count, fence, or hazard publication to each load.
B-STRATA	X-RETIRE	OPEN	BS-3 atomic custody, BS-4 finite outcome, BS-5 root maps, BS-6 invoke-once disposition, BS-8 deferred custody/domain, and C0 atomics/callables.	The intended route creates one retirement right on successful unlink and preserves Crossbeam's inline deferred record and amortized bag allocation.	Failure returns the offered owner; success creates one deferred disposition; bag/queue moves preserve it; invoke-once consumes it before the callback.	The target allocation remains the root across participant bag, queue node, and executing thread.	Unlink publication/interference is checked separately; later destruction also needs quiescence.	Reference unlink atomics, three-word deferred record, existing indirect call, bag sealing, and amortized queue work.	Atomic owner traffic and root movement have no identified delta; safe heterogeneous erased one-shot action is absent from C0-2.	Only Crossbeam in the frozen set irreducibly needs heterogeneous erased actions, so the extension rule forbids adding a B form from this evidence alone.	Erased environment validity, inline/boxed representation, one-shot code pointer, callback effects, cross-thread call, and quiescence remain open.	A copied address can retire or the safe route adds per-retire allocation, metadata, synchronization, or a second owner box.
B-STRATA	X-COLLECT	OPEN	BS-2 active span, BS-4 bounded progress, BS-5 distinct roots, BS-6 invoke-once fold, BS-7 invalidation, BS-8 retirement/quiescence, and C0 atomics/callables.	The intended route scans only native participants, pops at most the native bound, and invokes only initialized bag entries without a language-selected epoch policy.	Eligible bag moves once; each action is removed before invocation; ineligible bags and newly deferred work remain separately owned.	Participant, bag, queue, and target allocations keep distinct roots and the target disposition retains its collector domain/cutoff.	A nonforgeable quiescence producer must justify the participant scan and memory orders; callback effects remain independent.	Reference epoch/participant words, 64-slot bags with active length, queue, at most eight pops, and existing fences.	No extra event is claimed because the policy-neutral quiescence and erased callback routes are not defined.	Hard-coding epoch/expiry converges toward C; arbitrary global observer invariants converge toward A.	Quiescence production, portable barriers, stalled traversal, heterogeneous callbacks, nested deferral, and shutdown remain open.	An ineligible target is destroyed or closure adds a stronger scan, grace pass, fence, lock, background worker, or all-capacity traversal.
B-GRAPHS	H-LOOKUP	CLOSED	BG-1 roots/places, BG-2 live/vacant tokens, BG-3 finite stable/probe nodes, BG-4 access edges, BG-5 closed byte guards, BG-6 facts, and C0 callables.	A finite graph branches on existing control bytes and authorizes only the exact live payload, avoiding vacant initialization and miss traffic.	No owner moves; graph-local borrows end at the edge or callback result.	Each live token carries table root, version, slot, and payload range.	Unique access; equality edge cannot mint liveness.	Reference control/probe/payload state only; graph identity erases.	No runtime delta is identified for this finite local graph.	Each library spells a graph; no new primitive or project form is needed.	Graph validation, specialization, and diagnostics are unimplemented.	A guard edge accepts a payload without the closed role token or materializes graph dispatch.
B-GRAPHS	H-INSERT	CLOSED	BG-1 roots, BG-2 owner/live/vacant tokens, BG-3 insertion nodes, BG-4 initialize/commit edges, BG-5 guards/progress, BG-6 invalidation, and C0 failure/allocation.	Offered owners move directly into one vacant place with exact precommit return and no tag, box, or clone.	Graph nodes retain offered owners until commit; success consumes them once; growth preserves source owners until root transfer.	Entry/result tokens carry exact root/version/place and commit re-roots once.	Unique mutation; callbacks have no authority to alter graph state except declared outcomes.	Reference control/counter state, offered owners, and optional root only.	No runtime delta is identified; the finite graph specializes.	Protocol detail repeats per library but adds no semantic primitive.	State-graph size, code duplication, and diagnostic behavior are untested.	A graph branch loses an offered owner or exposes a partially committed slot.
B-GRAPHS	H-REPLACE	CLOSED	BG-2 owner tokens, BG-3 finite outcome nodes, BG-4 replace edges, BG-5 closed guards, BG-6 disposition/source maps, and C0 callables.	Every replacement outcome can preserve direct stored/offered/displaced traffic without a temporary allocation or clone.	Finite nodes name every stored, offered, returned, restored, removed, and destroyed owner exactly once.	Source maps retain stored/offered physical roots and invalidate the old table version.	Unique mutation; callback result chooses one admitted edge.	Reference payload/control traffic and callback state only.	No runtime delta is identified after static graph specialization.	Each callback outcome enlarges this library graph rather than the compiler form table.	Graph interaction and generated-code size are unmeasured.	Two successor nodes retain the same affine owner or callback failure reaches an unlisted state.
B-GRAPHS	H-REMOVE	CLOSED	BG-1 places, BG-2 live/vacant/owner tokens, BG-3 removal nodes, BG-4 take/reclassify edges, BG-5 erase guards, and BG-6 invalidation.	One owner moves out and stale bytes remain without zeroing or per-slot tag.	Take edge transfers one owner to the result; successor node carries only a vacant role.	Result and invalidators retain exact table root/version/place.	Unique mutation; no shared protocol.	Reference erase classifier, control/counter writes, and result only.	No runtime delta is identified.	The graph repeats representation-specific erase edges but adds no primitive.	Static graph normalization and fact deduplication are untested.	The successor node retains both live and vacant authority for one slot.
B-GRAPHS	H-REHASH	CLOSED	BG-1 roots/maps, BG-2 owner/live role tokens, BG-3 stable/progress/carried nodes, BG-4 relocate/swap edges, BG-5 structural cursor/guards, BG-6 terminal disposition, and C0 allocation.	A finite phase graph preserves one-copy relocation and transition-local roles without a runtime graph tag or snapshot.	Each node partitions processed, pending, vacant, and carried owners; terminal edges close stable or dispose exact pending obligations.	Resize root map commits once; in-place edges retain exact source/destination roots/versions.	Unique mutation; callbacks borrow only tokens present in the current node.	Reference control/counters/progress, optional root, and carried owner only.	No runtime delta is identified if all graph state erases into source variables.	The complete rehash protocol is repeated in the library graph rather than a compiler family.	Graph/code-size growth and proof of erasure are untested.	Graph node identity materializes or an edge duplicates/loses a pending owner.
B-GRAPHS	M-ALLOC	CLOSED	BG-1 page/block places, BG-2 role/owner/atomic tokens, BG-3 hot/cold allocation nodes, BG-4 take/reclassify/collect/acquire edges, BG-5 local guards and bounded cursors, BG-6 facts/disposition, and C0 allocation.	The hot graph changes one block from intrusive link to uninitialized caller bytes without initialization, tag, or allocation; cold nodes retain collect/extend/retry/null.	Hot success returns one block subowner; cold nodes account detached blocks, link-word extension, fresh page roots, one retry, and failure with no returned owner.	Every token retains page root/range across metadata nodes and root acquisition.	Hot node is local and non-atomic; only cold collection contains source-selected atomic edges.	Reference hot free-list/page state plus existing cold collect, extension, fresh-root, retry, and null state; graph identity erases.	No hot-path event is added and cold graph edges correspond only to source events.	Library graph spells the complete allocation protocol using existing primitives.	Overlay safety, exact cold specialization, and hot/cold code placement remain untested, but no paper rule is missing.	Graph dispatch or a cold event enters the hot path, or any cold failure loses/duplicates a root or block owner.
