cluster_ordinal	cluster_id	family	semantic_class	importability	refinement_policy	evidence_universe_policy	allowed_evidence_dispositions	prohibited_direct_uses	census_row_sha256	derivation_row_sha256	policy_version
11	VIEW-SPLIT-01	borrowed_shape_partition	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	aa82754bc75d3662814810f4c617fa0023693d752602d39fb31187265fe0353a	e01f7363d9fd13fa07a6603b8d3f8300bcf56a577ee7cfe6fee1fb4186904dc1	xlang-g0-coverage-cluster-policy-v1
12	VIEW-SPLIT-02	borrowed_shape_partition	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	72af26be8db1b1d35352f43fa821a104e0e195275299c45051b467ce3aa77b14	7787842e627799230d4e70a4787696b5d7ce174b845558a505a43a901a61a164	xlang-g0-coverage-cluster-policy-v1
13	VIEW-CONSUME-01	borrowed_view_cursor	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	3fe56b4aebf7b897eeb7425dcd309f9a52b8507b16340c6b18f614d5d4d0d5d6	78edbffd88b5fa1c5c9166e3d8c76dea78235fe95955383a072025538e5c653e	xlang-g0-coverage-cluster-policy-v1
14	VIEW-DISJOINT-01	borrowed_multi_access	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	ce24bb753b3db8b6df0c485ce937fd87154c0938e3de271a75061c3907bb8bfd	feaca82b3be02f7aea4d506c8dc0eccede55030ade89bb5ca30e741c7069122e	xlang-g0-coverage-cluster-policy-v1
15	VIEW-ARRAY-CHUNKS-01	borrowed_shape_partition	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	8a1e270811f49722fbd235be0946e2ab70d8889100f4d797e42c2db9a910c16e	5b78e34a9c1297b0241838f1e0148b29a11711690f0fbc65de80467446fc9a7f	xlang-g0-coverage-cluster-policy-v1
16	VIEW-ITER-01	borrowed_iteration	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	18214456c66429a2781f49a73cd6338ad7632953f83379082526d1950b0fbebe	33cf9f6e2163450128897888c4efe7b066cbf659e4c9a99f5c386d2a92f3fda9	xlang-g0-coverage-cluster-policy-v1
17	VIEW-WINDOW-01	borrowed_iteration	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	7d5f181c9d0bc8b1853c0c1c7fbd668ffd5645986ab3d6267c556a90c59fc2fc	167136b95b20bd2c624189a4fed4cf0f794e84d04a3b529a42956d1b0f063329	xlang-g0-coverage-cluster-policy-v1
18	VIEW-CHUNKS-01	borrowed_iteration	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	2d65c875e886df96e794cf749452f6bbb883300e43a9fe523d5a6a69bccaba37	e0852c87c31a9ba52b127cdbce70fb6e65973ab70258bf24a3a90958871aea70	xlang-g0-coverage-cluster-policy-v1
19	VIEW-CHUNKBY-01	borrowed_iteration	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	63af1bfbf493ba0296189a2a7e26f921ea5879950e1c6e9feef2b9b73df9a399	2f70da694b22966934fb3ecf7868f3be1f5fa3a1461fd5f7d0cde4a897294573	xlang-g0-coverage-cluster-policy-v1
20	VIEW-SPLIT-PRED-01	borrowed_iteration	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	bdfb5762dac813ce7519c7dea863a83e9c2446c3096ba29315b8c204faa9e411	2c068cce567f869d258512ee83712904b7dc10ef7e792906c3770ea4120bcf54	xlang-g0-coverage-cluster-policy-v1
21	VIEW-SEARCH-01	sequence_search	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	095b4d580a2010fc29f9cb9c97709cf6dc52e26d6debe468683c5c029720602c	43eb6b24f0f2be1f117246fbd32b2015d8c35f546d3aa81ca143b2cf093a8d51	xlang-g0-coverage-cluster-policy-v1
22	VIEW-SEARCH-02	ordered_sequence_search	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	412950a1c5dabc13f609aa957840dec183e9f2bb0eb7bd14f91d8936ad2bfdeb	321cdf62820ae0971e004e98fe46b3f65e097a04ccf4f5e1e938e1795abfe2fb	xlang-g0-coverage-cluster-policy-v1
23	VIEW-ORDER-CHECK-01	order_validation	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	91dfd5a9bee0d429597b7909630030d0a499b7381ac730ce315f221860826961	7e713170bd231ef22e533f93dbbb2b9e7ef5e58f10a311f0520530c6f0017c27	xlang-g0-coverage-cluster-policy-v1
24	VIEW-SORT-01	stable_sort	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	356a4aeec019a56d575629527e15508c6ee7e52d0185f4eda5e3c36f28233d5f	a651a4987128aa4cf57eecd21978678fe78e6caac7f15fe22c2fbb6d629769ae	xlang-g0-coverage-cluster-policy-v1
25	VIEW-SORT-02	unstable_sort	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	3ae5de686b3f78946ebc9538ff38c3e0bb4fde112ed5f22acd6de1070685ef6b	8ef3ad5993f2616be711145294868b1479adaef66a7c31f6bf6e5778fc31b1c8	xlang-g0-coverage-cluster-policy-v1
26	VIEW-SELECT-01	order_selection	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	2559bfbe1df76228f96024a13730954b1f4be104b58733f044ba314600e7536f	ce66650bbfd9d3f6e88478f5832ccc9506fa459103722ddfb6086ee098aeb8bc	xlang-g0-coverage-cluster-policy-v1
27	VIEW-REORDER-01	in_place_reorder	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	102be3346ed3a5b16e967d3d1647c75b068d112bbf4fe437a4597db7748dd428	420af61bde63bb7f3130a1d5355326889b780ec389f3f7cf2e874d7c331a1d96	xlang-g0-coverage-cluster-policy-v1
28	VIEW-SWAP-01	in_place_relocation	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	7d17d2be83d45646b9cf9a7ce2c54d9590754d0a2b089b25d77a0aa776a2ca72	4c7853f6ce84fb5787aa051ab1091c53e8ee547ab619770b7362df87044ae1c3	xlang-g0-coverage-cluster-policy-v1
29	VIEW-COPY-01	in_place_copy	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	9885f98043dc1d0c74b6bd59823fae2b684a3ee25763e881efd45ab312358e8d	ed581fbb8d11b12eabfcb579db99d0b2234cc692e5925571bdaab2ff08cc218e	xlang-g0-coverage-cluster-policy-v1
30	VIEW-CLONE-01	in_place_clone	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	7e9d3b20b354647fd0c698d50366d2e794617ab297030d47f48003b12b962cac	e9fb9262270db0a86d25dd6c933d6e82253d870bf87601e1156b4ac4374e3fd9	xlang-g0-coverage-cluster-policy-v1
31	VIEW-FILL-01	in_place_fill	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	e4b59bc19d4359e206afb31984f83d23547780198f064647e61e74e1cd5edc3b	799f91a14c684c95a98678703e259be0d431b5721dd34731543cfe269197218d	xlang-g0-coverage-cluster-policy-v1
32	VIEW-ELEMENT-OFFSET-01	identity_query	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	2c4f250ca91f73060b875afd82d81115b262d0a4e61e0db0a101b1dc4ab8f701	f2abec3c17f227af91edc9fbd3b4014dc5e7b7cf8d960c5ee71d418a561e0a64	xlang-g0-coverage-cluster-policy-v1
